id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,EB #post,EB #pre,#voxels
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,231,218,3938,313,1316105284
1002848661,PEG(PB07)_R7,PEG,PEG,Traced,1004,139,735,,259,133,574633074
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,239,211,3834,286,1209456657
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,490,3,220,111,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,188,144,2733,187,965411401
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,176,178,3813,256,1185019251
1034220115,EL(EQ5)_R,EBGAs,EL,Traced,4159,922,12,,3903,849,1099839854
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,226,208,3804,252,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3,,1217,1160,5331729469
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,839,2,773,335,994963622
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,530,1,245,125,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,197,153,2937,188,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,8,,3853,751,1067970589
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,618,,885,461,1146383370
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,185,164,2842,184,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,766,9,184,96,612853083
1126647624,EPG(PB08)_R8,EPG,EPG,Traced,2943,376,217,170,2696,204,1089813706
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,327,1,853,430,866409069
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,167,171,3001,211,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,677,1,183,100,586585085
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,186,6,,1,592330392
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,20,11,35,21,4308407118
1167965225,EL(EQ5)_R,EBGAs,EL,Traced,4003,873,1,,3985,857,1203007342
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,208,174,3475,234,960598574
1168659995,EPGt(PB09)_R9,EPGt,EPGt,Traced,611,154,423,144,182,10,585738930
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,383,135,120,9,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,387,137,122,11,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,173,144,3529,240,1000269781
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,828,,310,134,718304874
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,95,,2,2,454288161
1197993940,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1496,327,690,,470,240,597758855
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,525,7,147,91,435112897
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,561,,457,206,706646004
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,477,1,805,385,1008550189
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,525,154,163,4,571937645
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,324,,899,466,883794470
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,355,1,482,202,524380567
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,438,2,792,301,839952860
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,458,1,691,318,619565622
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,279,1,553,275,467834236
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,1,57,34,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,299,251,4615,321,1568187447
1508334312,PEN_a(PB06a)_L3,PEN1,PEN_a(PEN1),Traced,1937,604,533,1,831,481,945241267
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,446,1,535,215,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,600,2,596,235,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,852,1,659,325,883989562
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,223,197,3503,255,1075949177
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,288,236,3775,268,1255365813
5813014882,PEG(PB07)_R5,PEG,PEG,Traced,1147,143,863,1,273,140,613166421
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,271,211,2836,253,1213503168
5813027103,EPG(PB08)_R5,EPG,EPG,Traced,3574,491,273,227,3286,259,1188874706
5813040233,EPG(PB08)_R8,EPG,EPG,Traced,3384,433,257,185,3118,246,1239795168
5813047157,PEN_b(PB06b)_L2,PEN2,PEN_b(PEN2),Traced,1966,434,753,,679,317,809851972
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,398,1,657,315,766389254
5813059834,PEG(PB07)_R8,PEG,PEG,Traced,1060,99,874,4,169,92,598312740
5813061251,EPG(PB08)_R8,EPG,EPG,Traced,2853,373,177,164,2649,206,1102701348
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,1007,1,745,298,904493834
5813077544,EPG(PB08)_R1,EPG,EPG,Traced,5176,601,289,240,4842,360,1546927969
5813080838,EPG(PB08)_R3,EPG,EPG,Traced,4198,552,350,284,3831,267,1248939309
5813080979,PEN_a(PB06a)_L5,PEN1,PEN_a(PEN1),Traced,1655,544,451,,748,439,931602278
