id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,#voxels
395593103,,,,Traced,106,38,106,38,24865456
395597495,,,,Traced,72,25,72,25,11652071
395601647,,,,Assign,1,2,1,2,36304
395601763,,,,Traced,112,42,109,40,26675469
395601879,,,,Orphan,18,1,18,1,220782
395601886,,,,Traced,92,17,92,17,9549679
395605873,,,,Traced,143,17,143,17,21745898
395605946,,,,Traced,19,10,19,10,4922457
395929522,,,,Traced,19,8,19,8,5550537
395929660,,,,Assign,12,1,12,1,125183
395929913,,,,Traced,17,3,17,3,2807157
395930073,,,,Assign,8,2,8,2,124698
395934237,,,,Traced,197,6,197,6,7045093
395938413,,,,Assign,10,1,10,1,37494
395942759,,,,Traced,39,23,39,23,14234756
395942880,,,,Traced,51,24,51,24,14241275
395942936,,,,Traced,48,28,48,28,17591009
395942961,,,,Traced,154,51,154,51,37708369
395946756,,,,Traced,41,19,41,19,13441959
395946790,,,,Traced,62,27,62,27,14181825
395946798,,,,Traced,13,6,13,6,5220926
395946825,,,,Traced,9,3,9,3,884668
395946861,,,,Traced,48,21,48,21,17896113
395946937,,,,Traced,7,7,7,7,2908922
395946958,,,,Traced,10,5,10,5,10836435
395946959,,,,Traced,6,3,6,3,1759301
395946974,,,,Traced,26,12,26,12,8943335
395947061,,,,Traced,12,4,12,4,1933120
395947148,,,,Traced,2,3,2,3,1600070
395947252,,,,Traced,9,5,9,5,4276798
396275473,,,,Traced,14,6,14,6,4550198
396279549,,,,Traced,12,8,12,8,3821964
396279611,,,,Traced,27,3,27,3,4889735
396279754,,,,Traced,26,11,26,11,5763977
396279799,,,,Traced,16,6,16,6,4164158
396283938,,,,Traced,61,39,51,30,25828566
396287955,,,,Traced,95,34,92,34,28788435
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,6,2320900064
424926789,,,,Traced,38,17,33,15,12237660
424927018,,,,Traced,41,15,24,11,10336193
424927146,,,,Traced,52,14,36,9,10254849
425263529,,,,Traced,72,31,10,4,31973230
425263865,,,,Traced,52,24,44,20,17484145
425268123,,,,Traced,87,32,76,31,23698638
425600246,,,,Traced,21,2,21,2,954711
425600928,,,,Traced,10,2,10,2,1581132
425605155,,,,Traced,51,19,49,19,11655179
425613378,,,,Traced,46,23,11,1,28810472
425617523,,,,Traced,41,14,40,14,9855283
425617734,,,,Traced,16,5,15,4,6325040
425617798,,,,Traced,8,6,4,2,3819195
425617805,,,,Traced,9,6,4,4,4069558
425941282,,,,Traced,78,29,75,29,20029031
425941322,,,,Traced,11,5,11,5,3987099
425941385,,,,Traced,10,4,10,4,1843767
425941387,,,,Traced,6,2,6,2,849330
425941482,,,,Traced,59,24,52,19,15801138
425941528,,,,Traced,46,25,38,22,12579917
425941529,,,,Traced,40,18,37,16,11696035
425941532,,,,Traced,82,23,82,23,22731919
425958816,,,,Orphan,37,9,37,9,5754533
425958879,,,,Traced,5,4,5,4,2672340
426282416,,,,Traced,18,2,18,2,670186
426282447,,,,Traced,16,12,16,12,5411835
426282670,,,,Traced,3,2,3,2,737226
426282736,,,,Traced,47,15,46,14,11216416
426286759,,,,Traced,52,17,52,17,7164371
426287162,,,,Traced,72,34,72,34,13536965
426291334,,,,Traced,83,31,83,31,16579150
426295316,,,,Assign,1,2,1,2,33739
426295685,,,,Traced,106,49,106,49,23980690
426299919,,,,Traced,98,43,98,43,19879320
426623357,,,,Traced,12,3,12,3,3012319
426623453,,,,Traced,54,27,54,27,17558316
426623525,,,,Traced,7,4,7,4,2261147
426623583,,,,Traced,7,3,7,3,1230745
426623595,,,,Traced,9,3,9,3,1479529
426623651,,,,Traced,44,23,43,22,14294499
426623736,,,,Traced,41,18,40,18,14160294
426627730,,,,Traced,205,11,205,11,16980356
426632044,,,,Traced,74,25,74,25,14497341
426632360,,,,Traced,115,46,115,46,19006720
426632417,,,,Traced,298,52,298,52,27658549
426640770,,,,Traced,148,4,148,4,6154468
426964813,,,,Traced,14,2,14,2,5169615
426964819,,,,Traced,29,11,29,11,10621499
426964887,,,,Traced,15,8,15,8,4731293
426964902,,,,Traced,6,6,6,6,5365913
426977825,,,,Orphan,14,2,14,2,1541006
426981815,,,,Traced,22,7,22,7,4444829
426982151,,,,Traced,10,5,10,5,3657394
427309796,,,,Assign,1,2,1,2,16803
455961961,,,,Traced,676,139,231,40,111338720
455962621,,,,Traced,181,75,7,1,58481452
455967474,,,,Traced,93,53,6,5,41126312
456302927,,,,Traced,43,20,7,1,25208234
456303359,,,,Traced,47,21,46,20,17135414
456311730,,,,Traced,93,54,8,2,36591698
456644298,,,,Traced,141,53,136,51,29302758
456648216,,,,Traced,371,33,344,31,35142557
456648237,,,,Traced,131,26,131,26,12581368
456648380,,,,Traced,30,15,1,1,19333097
456648435,,,,Traced,13,4,9,2,4657183
456652970,,,,Traced,15,5,13,5,5345001
456653004,,,,Traced,74,31,9,3,25765310
456985148,,,,Assign,1,2,1,2,36208
457196444,MBON18(a2sc)(PDL05)_L,,MBON18,Traced,2723,522,2274,53,848699136
457317240,,,,Assign,2,2,2,2,66703
457317330,,,,Traced,52,24,52,24,15336723
457322090,,,,Traced,63,24,63,24,9203414
457326172,,,,Traced,135,45,135,45,20448364
457334621,,,,Traced,5,2,5,2,482836
457334726,,,,Traced,196,31,196,31,16326117
457334787,,,,Traced,18,7,18,7,3294873
457334848,,,,Traced,7,4,7,4,3275893
457658277,,,,Traced,40,25,37,24,20530601
457658357,,,,Traced,41,22,40,22,13772773
457667382,,,,Traced,129,45,129,45,20325375
457671590,,,,Traced,115,41,115,41,21266734
457675630,,,,Traced,15,9,15,9,4229919
457675846,,,,Traced,41,17,41,17,8029745
457675943,,,,Traced,25,6,25,6,8763002
458012641,,,,Traced,19,9,19,9,6973526
458016625,,,,Traced,24,10,24,10,6360221
458016785,,,,Traced,35,11,35,11,10669881
458016841,,,,Traced,39,25,38,25,14709939
458016859,,,,Traced,27,10,27,10,6340791
458016904,,,,Traced,30,18,2,2,15253611
458016957,,,,Traced,97,37,9,2,45770694
458016988,,,,Traced,20,12,20,11,9772436
458017012,,,,Traced,22,10,19,10,6551811
458017024,,,,Traced,37,12,37,12,11815724
458017030,,,,Traced,17,9,17,9,9878246
486997200,,,,Traced,129,16,12,3,19402594
487006268,,,,Traced,89,10,10,2,13833013
487006336,,,,Traced,9,4,3,1,5572031
487334232,,,,Traced,44,27,4,4,28125352
487334519,,,,Traced,99,46,6,1,38143710
487342501,,,,Traced,77,35,5,3,26566442
487346341,,,,Traced,112,51,4,2,37068907
487674743,,,,Traced,40,19,6,3,25399972
487683624,,,,Assign,2,2,2,2,85831
487683639,,,,Traced,42,20,37,18,17301759
488019960,,,,Assign,1,2,1,2,19476
488361045,,,,Assign,1,2,1,2,8811
488365439,,,,Traced,73,26,73,26,13943448
488369398,,,,Traced,6,3,6,3,1912317
488369410,,,,Traced,11,1,11,1,3155177
488369500,,,,Traced,4,2,4,2,2503983
488369718,,,,Traced,11,4,11,4,2550469
488697698,,,,Assign,2,2,2,2,48985
488706519,,,,Traced,99,34,99,34,16322078
488710500,,,,Traced,20,6,20,6,5470213
488710526,,,,Traced,20,12,20,12,8076340
488710531,,,,Traced,22,2,22,2,3981563
488710557,,,,Traced,13,10,11,10,6146934
488710565,,,,Traced,42,26,42,26,14257440
488710625,,,,Traced,34,10,34,10,7121068
488710636,,,,Traced,42,14,41,12,9692976
488710642,,,,Traced,10,4,4,4,6387720
488710656,,,,Traced,30,12,30,12,8510542
488710776,,,,Traced,17,6,17,6,7211007
488710778,,,,Traced,12,6,12,4,6027010
