id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
5813060643,KCab-p_R,,KCab-p,Traced,681,264,178,80,7,2,369871738
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,2,1,284,121,333533652
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,2,2,262,150,338596004
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,2,,359,123,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,21,14,294,101,391939830
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,2,3,300,145,436486264
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,19,11,311,124,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,5,3,323,107,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,19,7,315,116,402291796
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,6,3,318,142,429764535
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,3,2,331,116,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,2,1,21,3,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,2,1,308,127,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,5,3,337,124,453604666
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,5,2,333,126,442358082
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,1,1,276,117,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,11,6,287,94,373028028
5813091744,KCab-p_R,,KCab-p,Traced,635,285,148,80,12,6,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,195,77,24,6,375350336
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,16,6,291,123,412868274
5813105172,DPM_R,,DPM,Traced,77269,17628,12898,2694,13555,3386,15191654896
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,1,,349,186,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,196,68,16,1,347875742
