id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
540389646,KCg-m_R,,KCg-m,Traced,845,252,1,1,2,1,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,13,2,2,1,378955754
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,26,10,239,105,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,8,4,297,135,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,6,4,332,115,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,11,8,340,121,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,5,2,306,120,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,20,6,238,102,437355377
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,9,4,309,115,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,4,2,316,135,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,38,18,308,103,370237636
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,1,,348,157,387491401
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,1,2,289,129,415488258
549248200,KCab-p_R,,KCab-p,Traced,714,256,237,107,5,1,392920755
549567614,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,250,1,,338,131,430799378
549571627,KCab-p_R,,KCab-p,Traced,742,260,207,88,,1,368796696
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,2,,331,157,438957339
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,1,1,369,189,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,3,1,318,108,433385122
569317846,KCab-m_R,,KCab-m,Traced,529,208,204,100,,1,270885312
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,4,3,379,154,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,194,96,6,3,379155378
576502536,LHPD2c7_R,,LHPD2c7,Traced,2004,450,2,,10,2,1038566176
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,559,177,21,8,399312668
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,3,2,281,124,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,6,5,319,132,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,22,11,329,136,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,14,1,348,136,417324948
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,2,2,302,126,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,3,1,306,125,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,1,1,320,146,427496011
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,2,,357,171,452235552
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1,1,10,9,434243909
600365719,KCab-p_R,,KCab-p,Traced,657,271,210,103,1,1,366582664
602459213,KCg-m_R,,KCg-m,Traced,755,246,2,,,1,399181449
607195856,LHAV9a1_a_R,,LHAV9a1_a,Traced,590,216,4,,4,1,407368704
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,1,,356,151,427745414
611304789,KCab-s_R,,KCab-s,Traced,587,240,197,120,2,1,304981734
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,2,,343,131,406286707
611646050,KCab-p_R,,KCab-p,Traced,697,263,193,94,11,2,346062859
