id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,bL(L) #post,bL(L) #pre,#voxels
1358007728,,,,Traced,168,61,2,1,165,60,38594065
1358007750,,,,Traced,153,55,6,2,147,53,37173376
1358007777,,,,Traced,164,64,1,1,161,62,41374187
1358007839,,,,Traced,160,75,6,,154,75,34751496
1358007840,,,,Traced,130,57,1,,129,57,26948605
1358007843,,,,Traced,226,77,11,1,215,76,51035066
1358007857,,,,Traced,144,62,4,3,140,59,36132638
1358012014,,,,Traced,166,59,6,2,160,57,36803950
1358344644,,,,Traced,162,70,1,,161,70,40472904
1358348803,,,,Traced,201,83,4,2,197,79,50443033
1358348850,,,,Traced,151,55,1,,150,55,36398873
1358348941,,,,Traced,128,56,3,1,119,52,36659557
1358353097,,,,Traced,190,63,1,,188,63,43860510
1358353131,,,,Traced,163,72,7,3,156,69,37279110
1358357466,,,,Traced,229,76,6,2,223,74,45869797
1358685642,,,,Traced,203,70,8,,194,69,50064268
1358694192,,,,Traced,161,63,2,1,159,62,37459129
1358694219,,,,Traced,166,59,2,2,164,57,41226151
1358698413,,,,Traced,198,67,3,2,195,65,49214649
1358698461,,,,Traced,240,81,5,1,235,80,50871205
1386975092,,,,Traced,162,69,3,3,159,66,40815924
1387324647,,,,Traced,115,55,1,1,114,54,37477504
1387324803,,,,Traced,170,64,15,5,155,59,45207491
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,13,3,175,48,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,40,14,228,59,193662875
1387665837,,,,Traced,166,55,9,,157,55,39802364
1388356258,,,,Traced,273,20,7,,266,20,25640858
1388693197,,,,Traced,152,57,1,,151,57,30638854
1388697099,,,,Traced,172,60,1,1,171,59,40419645
1388697542,,,,Traced,156,63,1,,155,63,30324350
1388706333,,,,Traced,153,72,3,3,150,69,36922988
1388706548,,,,Traced,560,52,1,1,554,51,75136692
1389029776,,,,Traced,944,82,1,,943,82,107990582
1389029807,,,,Traced,143,70,3,1,140,69,31622005
1389034086,,,,Traced,1450,155,13,,1424,155,172422349
1389034092,,,,Traced,114,71,2,2,112,69,31962972
1389038375,,,,Traced,135,64,2,,133,64,34847251
1389038376,,,,Traced,105,64,4,2,101,62,28246893
1389038377,,,,Traced,131,60,1,1,130,59,30106174
1389370832,,,,Traced,105,60,3,1,102,59,27836434
1389370949,,,,Traced,160,71,2,1,158,70,37296522
1389383632,,,,Traced,220,73,18,4,198,66,46734846
1389383830,,,,Traced,117,51,2,1,115,50,30645731
1389387935,,,,Traced,215,19,6,,199,17,29710065
1389716254,,,,Traced,122,51,3,,119,50,29646169
1389720662,,,,Traced,141,54,7,2,134,52,23927834
1418001281,,,,Traced,148,78,1,,147,78,44626075
1418005570,,,,Traced,169,57,7,,161,56,41505551
1418009871,,,,Traced,214,77,4,2,210,75,50716490
1418013722,,,,Traced,168,71,2,1,166,70,45444010
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,2,1,226,61,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,88,29,6190229391
1419007201,,,,Traced,74,40,4,6,70,34,24198657
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,10,1,570,92,383407340
1419024366,,,,Traced,145,53,1,,140,51,42347535
1419033151,,,,Traced,141,60,1,,139,60,37108892
1419041597,,,,Traced,168,72,3,1,165,70,42692128
1419369823,,,,Traced,129,51,2,1,127,50,30397781
1419727927,,,,Traced,168,67,1,1,167,66,33525492
1419732022,,,,Traced,102,49,3,1,99,47,25168297
1420073258,,,,Traced,1156,105,3,,1153,105,127663885
1420082185,,,,Traced,103,52,4,2,98,48,28880766
1420082189,,,,Traced,129,54,2,2,127,52,34837267
1420755481,,,,Traced,116,58,11,4,105,54,29658537
1421087862,,,,Traced,198,69,1,,197,69,43075358
1449381432,,,,Traced,144,64,7,2,137,62,34031882
1449704866,,,,Traced,117,49,3,3,114,46,25204823
1449705038,,,,Traced,75,46,5,1,70,45,26156125
1450037306,,,,Traced,147,60,7,3,137,52,30719312
1450386947,,,,Traced,121,54,3,1,118,53,28279384
1450767010,,,,Traced,124,54,4,1,120,53,30180876
1481776067,,,,Traced,93,38,4,5,89,33,22601378
5812979616,,,,Traced,179,77,178,76,1,1,60815554
5812979789,,,,Traced,123,67,1,1,121,66,37393428
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,4,1,55,30,431109241
5812981868,,,,Traced,137,65,2,3,134,61,43086952
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,14,3,422,83,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,10,3,2,4,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,33,18,70,11,151824685
5812996052,,,,Traced,609,368,11,13,197,63,688274394
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,11,3,5,2,248528210
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,806,4,8835,81,3410455915
5813032593,,,,Traced,180,53,174,52,6,1,68630842
5813054270,,,,Traced,706,62,11,,695,62,76294715
5813056180,,,,Traced,278,99,274,97,,1,101246071
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,3,,4,1,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,4,1,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,11148,221,2038784377
5813062604,,,,Traced,145,62,5,4,140,58,40821962
5813075810,,,,Traced,136,60,1,,135,60,31389319
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,12,3,276,74,547363626
5813087625,,,,Traced,951,208,5,7,943,196,126240451
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,44,19,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,18,2,1283,208,324522133
5901193007,,,,Traced,126,56,1,1,125,55,31105317
