id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,#voxels
1016123127,KCab-c_R,,KCab-c,Traced,331,134,109,44,102349842
1016459595,KCab-m_R,,KCab-m,Traced,543,211,144,68,285357188
1016805008,KCab-p_R,,KCab-p,Traced,703,242,228,80,378892564
1034198388,KCab-p_R,,KCab-p,Traced,733,260,219,79,361965654
1046812283,KCab-m_R,,KCab-m,Traced,596,210,142,65,257606131
1046816660,KCab-c_R,,KCab-c,Traced,461,165,107,48,226401523
1047153433,KCab-c_R,,KCab-c,Traced,306,139,105,52,96727963
1047157746,KCab-m_R,,KCab-m,Traced,501,193,128,59,288332712
1047157958,KCab-c_R,,KCab-c,Traced,330,141,112,48,116529181
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1616,276,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,9,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,220,79,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,451,131,430816435
1064891781,KCab-p_R,,KCab-p,Traced,741,271,178,79,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,551823489
1077851524,KCab-c_R,,KCab-c,Traced,435,159,116,48,235645571
1077851551,KCab-c_R,,KCab-c,Traced,308,143,100,46,100630758
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,953,186,367958807
1078525257,KCab-m_R,,KCab-m,Traced,437,172,100,45,247281210
1078534091,KCab-s_R,,KCab-s,Traced,582,221,201,82,312135006
1078534115,KCab-s_R,,KCab-s,Traced,642,250,186,84,311703345
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,155,42,135784276
1078874826,KCab-p_R,,KCab-p,Traced,586,221,215,75,360621538
1078875017,KCab-s_R,,KCab-s,Traced,615,255,222,109,338005696
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,133,41,96768615
1108541296,KCab-m_R,,KCab-m,Traced,556,193,122,56,313007621
1108545472,KCab-p_R,,KCab-p,Traced,628,250,181,88,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,162,82,315709589
1109223365,KCab-m_R,,KCab-m,Traced,584,192,155,53,175505058
1109568528,KCab-s_R,,KCab-s,Traced,592,230,154,79,285855787
