id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,#voxels
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,150,43,175868484
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,354,45,2716937442
1032643905,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,545,140,293,38,363225756
1034703497,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,147,54,111,25,147176282
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,153,31,148000552
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,148,22,212169182
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,567,125,994963622
1069757725,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,156,36,88,12,113987135
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,19,2,1027285919
1094722478,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,298,80,228,38,175772979
1094934199,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1410,281,539,90,683485050
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,409,53,1949749132
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,272,144,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,310,157,1579340978
1101133698,FB4B(NO2)_L,NO2LALFB4,FB4B,Traced,3594,915,760,75,1317034611
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,713,74,2142474039
1125411720,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,480,117,318,44,247192520
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,584,136,1146383370
1125964651,PFNv(PB05)_R8_C3,PFNv,PFNv,Traced,1191,347,674,166,607539930
1125964879,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,180,47,83,22,146574800
1125964899,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,150,33,70,6,111011326
1126301255,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,640,141,276,52,400991774
1126301622,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,411,101,269,50,265534016
1126305687,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,167,41,107,22,148659739
1126306451,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1342,293,500,80,710219740
1126310716,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,416,80,244,43,213817246
1126310776,PFNa(PB03)_R8_C2,PFNa,PFNa,Traced,583,123,316,49,358744120
1126310807,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,188,65,90,23,158827656
1126310841,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,211,56,107,28,89825484
1126310969,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,583,138,268,43,348721689
1127471202,PFNd(PB04)_L8_C7,,PFNd,Traced,1051,258,609,111,350288881
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,633,143,866409069
1127808629,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,47,89,22,121365609
1128495875,PFNd(PB04)_L8_C7,,PFNd,Traced,973,275,552,105,352459296
1129456907,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,132,40,89,27,130305771
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,244,121,2860197903
1131831822,FB3A_R,,FB3A,Traced,2774,451,580,96,1522866333
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,1019,171,1390563331
1135518161,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,182,83,1,1,177730173
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,24,28,4308407118
1155302782,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,546,119,375,54,319944629
1155652503,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,597,134,309,47,412774414
1156663078,PFNm_b(PB02b)_R8_C3,PFNm_b,PFNm_b,Traced,517,99,298,37,246283752
1156999846,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,175,52,93,24,148449235
1157000178,PFNp_e(PB01a)_R8_C3,PFNp_e,PFNp_e,Traced,348,79,165,35,183649556
1158507458,PFNp_e(PB01a)_L8_C7,PFNp_e,PFNp_e,Traced,287,75,175,37,179574042
1158507467,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,168,57,120,30,123595201
1159530101,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,347,96,236,38,197650113
1160833169,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,148,41,74,16,134082097
1162529693,FB3A_R,,FB3A,Traced,2547,449,561,92,1488371650
1162866390,FB3A_L,,FB3A,Traced,1682,474,479,97,748100151
1164597572,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,50,99,19,113308724
1187693355,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,162,44,104,16,142162178
1187831582,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,682,181,355,66,384194515
1187844616,PFNd(PB04)_L9_C8,,PFNd,Traced,1212,301,586,109,502728141
1188043606,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,114,29,65,4,107834774
1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,580,121,375,48,251157582
1188181261,PFNd(PB04)_L9_C8,,PFNd,Traced,1132,276,580,117,489974838
1188371481,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,151,53,83,19,139693719
1188716311,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,152,31,68,12,127026545
1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PFNm_b,Traced,375,88,191,34,200887917
1189882785,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,135,48,93,16,111933746
1189887646,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,160,43,112,17,116529422
1193560072,FB3A_L,,FB3A,Traced,1702,444,464,78,733766372
1197993940,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1496,327,333,83,597758855
1217385533,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,798,169,353,52,490492585
1217394039,PFNm_b(PB02b)_R9_C1,PFNm_b,PFNm_b,Traced,536,113,230,27,253744616
1218728463,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,242,66,139,27,134505617
1218728541,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,864,195,476,64,527636691
1218728544,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,189,55,108,19,130675048
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,394,93,706646004
1218728588,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,207,56,116,27,144326219
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,658,175,1008550189
1218732781,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1297,275,523,105,652471029
1218732931,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1361,263,596,92,598588168
1218733141,PFNp_b(PB01b)_R9_C2,PFNp_b,PFNp_b,Traced,186,51,136,29,145939775
1219069788,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,310,73,176,33,170005012
1219410844,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,189,49,113,27,143591103
1219756158,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,288,76,133,39,170645565
