id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,2,,377,114,295914008
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,5,,1190,140,394678553
1141691881,KCg-m_R,,KCg-m,Traced,686,231,1,1,464,201,339175454
1141692008,PAM08_a(y4)_R,,PAM08_a,Traced,1126,202,3,,659,151,370793520
1141972202,KCg-m_R,,KCg-m,Traced,815,267,13,5,540,209,420915787
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,7,4,359,206,426294048
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,4,,591,160,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,6,,508,112,393275875
1142658717,KCg-m_R,,KCg-m,Traced,697,264,1,1,461,214,372743702
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,273,127,16,6,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,350,147,6,3,448903191
1169989859,PAM05(B'2p)_R,,PAM05,Traced,624,255,203,131,42,18,326669074
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,309,147,5,6,420909311
1170326295,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,726,297,386,168,4,5,498227413
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,309,134,37,23,393635014
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,382,161,6,3,452309484
1170400248,APL fragment?,,,Traced,2026,235,481,47,19,3,293828523
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,374,179,12,8,514238091
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,10,,264,39,302471572
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,653,119,78,12,324421746
1171690479,PAM05(B'2p)_R,,PAM05,Traced,1518,294,520,169,132,28,385559301
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,13,3,901,152,387429139
1172372291,KCg-m_R,,KCg-m,Traced,625,196,1,,402,159,338314005
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,644,145,57,6,330410034
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,1,,151,36,317578750
1172665846,KCg-m_R,,KCg-m,Traced,895,281,18,3,552,221,308381801
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,25,13,1669,734,1054848410
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,164,35,120,15,311773637
1173016042,KCg-m_R,,KCg-m,Traced,706,241,12,5,419,199,346336785
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,2,1,579,126,396639821
1173347968,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,225,315,139,19,6,420189546
1174008477,KCg-m_R,,KCg-m,Traced,805,254,5,1,474,202,371070877
1175070762,KCg-d_R,,KCg-d,Traced,646,251,10,3,429,188,369691167
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,339,127,2,2,445817696
1200683283,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,518,220,291,132,9,3,425677562
1201028519,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,623,236,392,162,34,24,434693605
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,314,139,24,14,404305308
1202060409,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,262,357,153,22,13,450169171
1202673723,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,244,312,146,5,3,432305951
1202737975,KCg-m_R,,KCg-m,Traced,754,271,8,3,527,228,371682997
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,15,,371,116,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,245,123,11,3,411264180
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,18,,902,99,360645236
1204124281,KCg-d_R,,KCg-d,Traced,564,188,2,,367,139,330641650
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,4,,999,150,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,299,141,8,3,366409907
