id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,bL(R) #post,bL(R) #pre,#voxels
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,134,81,1,2,452235552
600365719,KCab-p_R,,KCab-p,Traced,657,271,2,2,237,90,366582664
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,185,84,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,6,2,243,90,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,3,210,81,368031615
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,161,68,12,5,405985069
630373497,KCab-s_R,,KCab-s,Traced,575,248,1,,162,82,302148793
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,164,83,2,2,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,10,5,230,82,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,157,85,2,3,440563976
642680826,KCab-p_R,,KCab-p,Traced,670,262,4,2,221,81,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,10,5,238,95,398461486
643363111,KCab-s_R,,KCab-s,Traced,619,253,2,2,179,81,340653450
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,136,66,6,2,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,158,84,3,1,368237390
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,147,91,3,3,426186749
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,2,9,5,392525010
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,118,63,5,3,362640450
704409534,KCab-p_R,,KCab-p,Traced,685,243,2,,284,94,354049999
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,103,57,12,3,354105707
704746457,KCab-p_R,,KCab-p,Traced,741,247,2,1,246,79,389043123
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,32,,538,1,1520161953
735790008,KCab-s_R,,KCab-s,Traced,619,256,1,1,154,79,344825613
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,190,97,3,2,440292610
767494105,KCab-p_R,,KCab-p,Traced,633,218,6,2,157,56,365582357
797514653,KCab-m_R,,KCab-m,Traced,569,220,3,,172,71,273685229
798869986,KCab-s_R,,KCab-s,Traced,572,259,2,2,158,85,299310021
799219795,KCab-p_R,,KCab-p,Traced,661,250,4,2,247,96,362078093
816613438,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,558,231,111,58,,1,375502650
