id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,287,133,172,92,434027068
487489064,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,203,311,92,147,81,413858538
487493197,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,723,280,359,149,196,110,462839023
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,393,189,145,87,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,312,149,144,73,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,326,150,137,80,448443256
488179878,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,241,343,139,136,82,409972326
488520820,KCab-p_R,,KCab-p,Traced,667,231,4,1,3,1,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,319,129,186,94,448221441
508939879,KCg-m_R,,KCg-m,Traced,679,237,144,53,54,23,391159969
511271574,LHCENT8_R,,LHCENT8,Traced,3391,2465,5,,7,2,3641958064
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,305,136,156,97,410542571
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,64,,2108,892,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,14,20,1964048244
517847127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,651,261,290,122,189,107,454494825
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,269,116,192,93,410906156
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,298,119,200,93,451451628
518187118,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,257,328,152,199,88,416264592
518191547,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,638,270,326,145,178,109,443819373
518195738,KCab-p_R,,KCab-p,Traced,765,254,16,5,12,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,306,103,165,94,449871654
518528152,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,280,332,150,185,100,406965578
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,308,122,103,56,408741628
518864844,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,708,282,371,170,160,85,477341060
518864924,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,215,320,117,164,90,466625910
518869381,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,290,349,169,146,97,487559505
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,320,145,115,79,418664355
518899665,LHPV4m1_R,,LHPV4m1,Traced,3967,1255,25,2,89,1,1662469777
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,313,171,152,87,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,327,165,152,70,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,360,164,148,72,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,359,163,143,81,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,2,1,8,1,350846940
539975122,KC(incomplete?),,,Traced,671,213,227,90,19,9,394579982
542371432,KCab-p_R,,KCab-p,Traced,691,271,1,,13,1,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,239,105,127,58,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,297,135,196,96,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,332,115,197,91,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,340,121,171,69,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,306,120,166,76,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,238,102,137,71,437355377
548885313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,260,297,137,193,99,392539188
548885407,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,560,254,287,137,174,98,422373053
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,309,115,209,110,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,316,135,200,92,432164604
548898403,KCa'b'-m_R,,KCa'b'-m,Traced,782,286,388,157,213,107,439619060
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,308,103,168,61,370237636
549222167,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,712,278,313,137,219,120,454928374
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,348,157,127,84,387491401
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,289,129,164,88,415488258
549252548,SMP247_R,,SMP247,Traced,713,278,1,,1,2,641902395
549567614,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,250,338,131,204,103,430799378
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,331,157,121,81,438957339
549904227,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,569,272,308,154,155,106,459101009
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,369,189,150,81,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,318,108,206,99,433385122
550245056,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,542,242,320,156,131,74,424536592
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,379,154,168,78,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,6,3,10,7,379155378
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,281,124,191,92,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,319,132,188,94,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,329,136,143,75,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,348,136,137,57,417324948
579912201,LHCENT5_R,,LHCENT5,Traced,3042,992,8,,12,3,2301471871
579916831,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2652,246,29,,2205,14,504515769
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,302,126,197,106,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,306,125,141,77,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,320,146,144,102,427496011
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,357,171,134,81,452235552
580935628,,,,Traced,254,298,2,,,1,222268704
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,345,155,124,69,470261330
600365719,KCab-p_R,,KCab-p,Traced,657,271,1,1,2,2,366582664
601725442,KC(incomplete?),,,Traced,611,242,64,34,29,21,428233069
602808843,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,248,359,124,200,107,433657854
610618198,KCa'b'-m_R,,KCa'b'-m,Traced,690,239,339,135,163,76,404899542
610968248,KCa'b'-m_R,,KCa'b'-m,Traced,728,241,304,95,239,121,425258436
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,356,151,143,83,427745414
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,2,1,304981734
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,343,131,179,86,406286707
611629428,CRE077_R,,CRE077,Traced,4028,748,3,,8,1,1769946727
611646050,KCab-p_R,,KCab-p,Traced,697,263,11,2,6,2,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,1,5,3,368031615
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,320,153,161,94,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,324,103,161,68,405985069
613083375,CRE032_L,,CRE032,Traced,918,233,18,1,52,1,653637060
630748479,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,601,250,303,134,146,85,456227034
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,346,139,164,83,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,17,7,10,5,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,354,162,157,85,440563976
642664141,MBON15(a'1)_R,,MBON15,Traced,1864,234,96,,1139,1,481492436
642680826,KCab-p_R,,KCab-p,Traced,670,262,6,2,4,2,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,11,3,10,5,398461486
642732835,MBON32(y2)_R,,MBON32,Traced,15863,691,106,,1295,6,4367730421
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,297,125,136,66,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,272,117,158,84,368237390
662107551,KCg-m_R,,KCg-m,Traced,747,238,3,1,21,8,322816525
662409505,KCa'b'-m_R,,KCa'b'-m,Traced,590,221,239,106,102,47,409839983
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,315,133,147,91,426186749
662461539,KCg-m_R,,KCg-m,Traced,793,285,14,8,34,15,406055113
663134970,KCg-m_R,,KCg-m,Traced,784,259,5,1,9,2,392525010
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,275,111,161,67,383192868
673366263,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,247,331,138,160,89,458158360
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,287,106,118,63,362640450
673702721,MBON15(a'1)_R,,MBON15,Traced,1249,231,130,,586,5,483565747
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,336,130,176,93,436340617
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,318,145,149,91,452846628
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,306,1,2914,18,1733289825
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,306,129,103,57,354105707
704746457,KCab-p_R,,KCab-p,Traced,741,247,20,9,2,1,389043123
704759205,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,668,247,351,133,212,104,423151400
705082892,KCa'b'-m_R,,KCa'b'-m,Traced,701,235,392,132,177,83,398279539
706819341,PAM13(B'1ap)_R,,PAM13,Traced,754,215,187,99,3,1,296744630
723508068,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,570,217,355,144,62,27,372966329
724142845,KCg-m_R,,KCg-m,Traced,734,247,30,17,14,9,371756429
735112319,PAM14(B'1m)_R,,PAM14,Traced,539,174,266,118,3,1,293613873
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,334,145,130,73,435548368
736808522,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,265,114,175,91,462910829
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,260,113,221,113,442032641
737149964,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,712,263,415,174,154,72,505631206
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,309,163,139,80,430026335
737491062,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,628,267,341,158,155,92,433911426
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,295,123,190,97,440292610
754893183,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,648,230,306,111,192,95,374622528
755851102,KCg-m_R,,KCg-m,Traced,648,254,6,4,11,6,231680764
767494105,KCab-p_R,,KCab-p,Traced,633,218,5,1,6,2,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,360,122,185,88,419723448
768184496,KCa'b'-m_R,,KCa'b'-m,Traced,609,215,320,113,188,88,410130754
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,298,125,179,97,453806345
768184623,KCa'b'-m_R,,KCa'b'-m,Traced,624,240,338,134,173,86,396386656
768525593,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,262,332,163,156,96,414304618
768525608,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,277,314,170,157,87,459423549
768525647,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,709,261,325,127,201,106,429009272
797187575,CRE055_R,,CRE055,Traced,652,169,5,2,9,1,333114208
797687628,PAM14(B'1m)_L,,PAM14,Traced,297,107,176,84,8,2,122502582
798528850,KCa'b'-m_R,,KCa'b'-m,Traced,650,245,318,127,204,85,407487653
799219511,KCa'b'-m_R,,KCa'b'-m,Traced,722,253,328,135,186,95,416375679
799219795,KCab-p_R,,KCab-p,Traced,661,250,1,,4,2,362078093
799560834,KCa'b'-m_R,,KCa'b'-m,Traced,661,265,325,143,184,104,446272112
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,251,15,50,36,4762453854
799901370,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,629,268,335,161,137,80,442840883
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,297,141,172,79,406524522
816276925,KCg-m_R,,KCg-m,Traced,818,259,11,,5,2,342972796
816613438,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,558,231,297,152,111,58,375502650
816962833,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,571,235,245,107,218,112,383807289
817294806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,543,237,301,128,126,79,440837776
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,275,108,161,69,436705876
829593966,CRE055_R,,CRE055,Traced,667,150,6,,15,17,323679131
830586919,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,647,249,320,123,185,111,452127041
831273286,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,588,247,375,177,63,41,425970435
859265651,PPL107_R,,PPL107,Traced,12366,5040,20,4,4,2,3767188818
861285145,KCab-p_R,,KCab-p,Traced,735,266,2,2,6,2,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,310,148,191,98,433072770
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,347,138,162,88,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,367,2,3287,23,1813984393
862312670,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,543,257,289,160,142,88,387383456
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,384,141,160,79,347955774
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,292,138,167,104,446443832
893688605,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,599,278,325,170,125,79,474136121
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,734,3,4979,43,2722993954
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,313,115,189,88,409554421
924723528,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,635,272,324,175,149,83,458805864
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,285,117,171,80,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,21,10,11,1,361940760
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,314,132,167,88,428622683
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,187,102,1,2,192486246
986793149,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,723,243,398,133,150,84,434247761
1001453586,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,500,226,290,144,107,60,415416436
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,323,164,116,69,389074673
1003474283,KCg-m_R,,KCg-m,Traced,821,250,1,,7,4,361361087
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,335,135,180,95,411433282
1018164997,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,609,262,310,150,174,95,420995644
1018510191,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,561,241,321,149,100,68,376534767
1036563762,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,576,266,323,167,134,87,419805354
1043151516,,,,Traced,156,246,4,4,,3,889810212
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,303,118,149,82,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,300,72,2886,850,4211579375
1048517845,KCa'b'-m_R,,KCa'b'-m,Traced,689,244,365,131,178,79,408966176
1048854479,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,262,327,143,174,98,408398286
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,328,170,134,81,443024347
1049549412,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,275,327,165,134,84,442704993
1064891781,KCab-p_R,,KCab-p,Traced,741,271,7,3,6,1,389121740
1079215685,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,674,256,318,138,185,97,460159372
1080566792,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,669,261,333,145,195,106,407579775
1080579786,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,511,228,312,146,98,60,403841758
1080579985,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,707,263,387,151,155,81,462416152
1111615136,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,262,321,154,158,79,434589802
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,350,169,116,67,444926933
1129323248,KCg-m_R,,KCg-m,Traced,882,293,1,,16,5,366105863
1139667240,MBON13(a'2)_R,,MBON13,Traced,9664,1277,3,,8448,16,2294799280
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,7,4,36,9,426294048
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,273,127,161,90,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,350,147,154,84,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,309,147,145,70,420909311
1170326256,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,609,283,337,175,182,95,433858148
1170326295,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,726,297,386,168,193,114,498227413
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,309,134,90,52,393635014
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,382,161,163,78,452309484
1170400248,APL fragment?,,,Traced,2026,235,481,47,25,1,293828523
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,374,179,181,110,514238091
1173347968,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,225,315,139,154,67,420189546
1174008477,KCg-m_R,,KCg-m,Traced,805,254,5,1,17,9,371070877
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,339,127,181,103,445817696
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,309,140,118,68,350624191
1200683283,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,518,220,291,132,119,74,425677562
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,308,132,165,91,451995760
1200700424,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,262,323,141,184,102,454737930
1201028519,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,623,236,392,162,51,35,434693605
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,314,139,116,62,404305308
1202060409,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,262,357,153,149,88,450169171
1202673723,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,244,312,146,144,75,432305951
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,245,123,162,92,411264180
1231718414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,246,327,135,177,94,424896625
1231735257,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,204,298,102,177,88,424144752
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,330,143,161,85,446959185
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,262,135,202,106,428214535
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,299,113,121,63,429239588
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,,1,6190229391
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,244,95,117,55,407157814
5812979175,KCg-m_R,,KCg-m,Traced,761,212,1,,10,2,353700102
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,10,6,3,1,3325948715
5812980940,KCab-p_R,,KCab-p,Traced,655,260,1,,1,1,352333297
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,317,147,170,85,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,301,105,180,86,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,322,114,185,76,393185864
5812981160,KCg-m_R,,KCg-m,Traced,911,269,1,,6,1,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,335,160,120,64,447193387
5812981270,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,678,228,341,111,197,96,440624810
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,260,114,177,100,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,308,123,215,126,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,332,130,146,90,474294817
5812981279,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,232,315,120,188,95,449082312
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,305,122,165,100,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,243,76,155,69,390005539
5812981318,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,269,329,134,223,119,427512487
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,320,161,164,93,446321131
5812981322,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,681,228,336,109,212,100,439255704
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,330,140,235,97,438108998
5812981332,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,249,310,136,154,97,496581517
5812981333,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,698,228,339,111,209,107,449909211
5812981339,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,634,214,318,127,147,65,426256262
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,404,186,97,49,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,344,122,148,86,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,346,151,137,66,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,254,122,159,72,390359463
5812981373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,604,226,307,119,176,88,433377539
5812981379,KCab-s_R,,KCab-s,Traced,570,236,2,1,1,1,300101280
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,316,108,220,85,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,339,121,179,95,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,303,104,189,78,418827569
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,310,125,182,83,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,356,130,132,66,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,329,122,146,72,391061782
5812981569,KCa'b'-m_R,,KCa'b'-m,Traced,617,240,322,120,188,108,412855226
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,312,128,193,92,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,281,98,200,103,399710677
5812981581,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,645,213,313,101,203,98,458081929
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,329,117,208,86,413897094
5812981586,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,598,237,322,136,135,74,424512481
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,313,82,162,84,404873540
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,303,122,209,94,417470359
5812981680,KCab-p_R,,KCab-p,Traced,734,281,2,1,,1,282267054
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,396,101,168,82,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,316,112,172,72,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,327,115,210,91,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,313,147,135,68,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,321,107,139,64,402147766
5812981858,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,261,323,158,174,89,481499224
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,299,106,196,71,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,270,119,179,96,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,240,124,162,85,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,294,140,168,80,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,320,111,120,63,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,294,103,222,101,399100731
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,326,126,204,90,417445903
5812982149,KCa'b'-m_R,,KCa'b'-m,Traced,707,234,279,111,218,97,412946042
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,295,114,181,72,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,329,121,97,64,408201604
