id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
1049549412,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,275,134,84,327,165,442704993
1064891781,KCab-p_R,,KCab-p,Traced,741,271,6,1,7,3,389121740
1078874826,KCab-p_R,,KCab-p,Traced,586,221,1,,7,2,360621538
1079215685,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,674,256,185,97,318,138,460159372
1080566792,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,669,261,195,106,333,145,407579775
1080579786,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,511,228,98,60,312,146,403841758
1080579985,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,707,263,155,81,387,151,462416152
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,,19,2,720192159
1111615136,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,262,158,79,321,154,434589802
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,116,67,350,169,444926933
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,36,9,7,4,426294048
1143332046,KCg-m_R,,KCg-m,Traced,794,264,12,10,,1,395900791
1169657925,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,226,161,90,273,127,411320098
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,154,84,350,147,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,145,70,309,147,420909311
1170322501,PAM06_a(B'2m)_R,,PAM06_a,Traced,1190,304,1,,304,183,419481355
1170326256,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,609,283,182,95,337,175,433858148
1170326295,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,726,297,193,114,386,168,498227413
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,90,52,309,134,393635014
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,163,78,382,161,452309484
1170400248,APL fragment?,,,Traced,2026,235,25,1,481,47,293828523
1170412847,,,,Traced,2034,249,19,,142,19,280315243
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,181,110,374,179,514238091
1172665846,KCg-m_R,,KCg-m,Traced,895,281,1,,18,3,308381801
1173347968,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,225,154,67,315,139,420189546
1174008477,KCg-m_R,,KCg-m,Traced,805,254,17,9,5,1,371070877
