id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,bL(R) #post,bL(R) #pre,#voxels
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,326,150,5,1,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,4,1,217,75,346345890
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,3,15,2,521006485
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,222,34,1964048244
517850316,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,594,227,269,116,,1,410906156
517858947,KCab-p_R,,KCab-p,Traced,674,269,13,3,204,81,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,298,119,6,4,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,16,5,270,93,415425333
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,308,122,29,1,408741628
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,359,163,2,1,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,2,1,177,80,350846940
519573128,KCab-p_R,,KCab-p,Traced,728,249,8,1,270,88,360265700
542371432,KCab-p_R,,KCab-p,Traced,691,271,1,,244,95,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,239,105,6,3,387116321
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,340,121,3,2,321780254
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,308,103,15,4,370237636
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,289,129,,1,415488258
549248200,KCab-p_R,,KCab-p,Traced,714,256,5,1,244,91,392920755
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,18,8,956,282,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,14,4,449,109,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,12,1,856,147,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,7,3,704,152,403977461
573065577,KCab-p_R,,KCab-p,Traced,669,256,6,3,242,72,379155378
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,21,8,77,24,399312668
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,329,136,4,3,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,348,136,8,2,417324948
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,357,171,1,2,452235552
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,10,,,1,343929818
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,13,3,394,101,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,10,9,1046,316,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,4,1,215,46,200058563
600365719,KCab-p_R,,KCab-p,Traced,657,271,1,1,237,90,366582664
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,185,84,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,11,2,243,90,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,1,210,81,368031615
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,324,103,12,5,405985069
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,5319,7,4,1,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,7,4,264,75,261596710
612668833,KCab-s_R,,KCab-s,Traced,544,235,1,1,132,63,286463671
630373497,KCab-s_R,,KCab-s,Traced,575,248,1,1,162,82,302148793
632086737,KCg-d_R,,KCg-d,Traced,543,215,1,1,2,2,328980177
633144545,KCg-m_R,,KCg-m,Traced,723,227,1,1,,2,339522438
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,346,139,2,2,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,17,7,230,82,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,354,162,2,3,440563976
642680826,KCab-p_R,,KCab-p,Traced,670,262,6,2,221,81,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,11,3,238,95,398461486
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,8,7,850,245,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,13,6,306,101,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,12,2,283,73,279472747
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,297,125,6,2,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,272,117,3,1,368237390
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,315,133,3,3,426186749
662789529,KCab-s_R,,KCab-s,Traced,641,226,1,,209,84,335022825
663134970,KCg-m_R,,KCg-m,Traced,784,259,5,1,9,5,392525010
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,287,106,5,3,362640450
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,2,1,233,94,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,5,2,194,58,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,2,,339,88,220213685
693927941,ALIN1_R,,ALIN1,Traced,1553,406,28,27,138,37,2113783525
704409534,KCab-p_R,,KCab-p,Traced,685,243,4,1,284,94,354049999
704409742,KCab-s_R,,KCab-s,Traced,633,241,4,2,177,91,292719846
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,306,129,12,3,354105707
704746449,KCab-p_R,,KCab-p,Traced,697,254,6,1,240,78,395383220
704746457,KCab-p_R,,KCab-p,Traced,741,247,20,9,246,79,389043123
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,4,1,256,59,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,10,2,624,125,311089027
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,18,,538,1,1520161953
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,13,6,291,108,357006298
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,295,123,3,2,440292610
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,12,5,4,1,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,5,1,157,56,365582357
799215269,KCab-p_R,,KCab-p,Traced,696,262,3,,178,73,325014264
799219795,KCab-p_R,,KCab-p,Traced,661,250,1,,247,96,362078093
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,18,3,849,182,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,7,3,191,55,135248805
816613438,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,558,231,297,152,,1,375502650
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,275,108,12,5,436705876
829235909,KCab-p_R,,KCab-p,Traced,756,257,3,1,270,89,370647687
847989021,KCab-m_R,,KCab-m,Traced,558,197,1,,158,65,316359111
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,28,10,107,36,159577026
861280857,KCab-p_R,,KCab-p,Traced,664,252,18,7,202,84,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,2,2,215,83,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,310,148,3,3,433072770
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,384,141,1,1,347955774
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,20,7,134,35,104991789
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,292,138,3,1,446443832
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,313,115,8,2,409554421
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,10,,1055,205,486729507
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,15,,5,1,1395825196
940075056,KCab-p_R,,KCab-p,Traced,726,259,21,10,228,86,361940760
984453829,,,,Traced,659,689,6,,,1,584836699
1016805008,KCab-p_R,,KCab-p,Traced,703,242,10,3,228,80,378892564
1034198388,KCab-p_R,,KCab-p,Traced,733,260,31,11,219,79,361965654
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,11,1,1616,276,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,7,6,9,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,13,4,220,79,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,25,4,451,131,430816435
1064891781,KCab-p_R,,KCab-p,Traced,741,271,7,3,178,79,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,7,4,17,4,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,7,1,953,186,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,7,2,155,42,135784276
1078874826,KCab-p_R,,KCab-p,Traced,586,221,7,2,215,75,360621538
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,11,3,133,41,96768615
1108545472,KCab-p_R,,KCab-p,Traced,628,250,6,2,181,88,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,2,1,162,82,315709589
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,3,9,2,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,606,148,8,2,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,19,2,1243,291,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,3,,458,92,258964557
1140950118,KCg-m_R,,KCg-m,Traced,761,244,1,2,8,1,335259195
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,19,2,1273,219,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,25,4,695,173,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,21,2,847,155,408798680
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,653,119,4,1,324421746
1172372291,KCg-m_R,,KCg-m,Traced,625,196,1,,,1,338314005
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,25,13,3,7,1054848410
1175070762,KCg-d_R,,KCg-d,Traced,646,251,10,3,5,3,369691167
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,314,139,,1,404305308
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,528,134,17,2,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,25,1,1307,236,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,9,1,1230,239,444720536
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,15,,8,2,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,245,123,2,1,411264180
1204447548,KCg-m_R,,KCg-m,Traced,723,224,1,,1,2,392214550
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,25,5,52,9,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,47,16,241,53,239327987
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,30,10,176,42,145351462
1293516024,KCa'B'_L?,,,Traced,261,110,68,30,4,1,93745473
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,6,2,67,16,225739136
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,588,131,7,2,317425488
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,14,4,1015,286,472380184
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,299,113,12,4,429239588
1328505485,KCab-p_R,,KCab-p,Traced,723,261,6,1,237,94,394578410
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,28,14,955,290,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,15,7,765,239,355086914
1387575003,KCab-p_R,,KCab-p,Traced,706,261,6,1,262,89,398985389
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,10,3,109,36,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,32,10,107,35,193662875
1388585088,KCab-p_R,,KCab-p,Traced,635,220,2,1,253,91,352744706
1418273110,KCab-p_R,,KCab-p,Traced,608,250,4,2,212,84,278789370
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,4,2,183,65,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,48,28,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,14,1,828,157,383407340
1450011431,KCab-c_R,,KCab-c,Traced,328,134,1,3,84,35,211232050
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,244,95,14,8,407157814
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,339,66,8,2,394753648
5812979693,KCa'B'_L?,,,Traced,375,122,65,25,1,2,107809791
5812980425,KCab-s_R,,KCab-s,Traced,601,213,1,1,168,77,254520884
5812980561,KCab-m_R,,KCab-m,Traced,561,213,1,,151,57,288691782
5812980566,KCab-p_R,,KCab-p,Traced,708,255,4,,217,75,364085447
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,15,5,142,53,431109241
5812980792,KCab-p_R,,KCab-p,Traced,667,280,13,3,219,93,374117772
5812980938,KCab-p_R,,KCab-p,Traced,693,270,4,2,231,95,399456127
5812980940,KCab-p_R,,KCab-p,Traced,655,260,1,,179,77,352333297
5812981046,KCg-t_R,,KCg-t,Traced,572,187,1,,,1,357596550
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,301,105,7,1,385557469
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,308,123,3,1,487373247
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,243,76,17,5,390005539
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,404,186,2,1,446538834
5812981379,KCab-s_R,,KCab-s,Traced,570,236,2,1,161,89,300101280
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,,2,3349981626
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,356,130,,1,453767469
5812981643,KCab-p_R,,KCab-p,Traced,682,252,8,3,234,96,374726947
5812981680,KCab-p_R,,KCab-p,Traced,734,281,2,1,248,96,282267054
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,316,112,4,1,478708280
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,321,107,4,1,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,299,106,3,1,331043517
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,240,124,5,1,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,294,140,5,2,425938168
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,295,114,7,3,365482537
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,306,123,8,4,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,155,62,363758686
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,315,119,13,4,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,338,120,6,1,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,4,1,225,78,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,14,4,190,66,389662255
5812983009,KCg-m_R,,KCg-m,Traced,757,230,2,1,,2,354509134
5812983147,KCg-m_R,,KCg-m,Traced,919,285,3,,1,2,351871022
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,306,114,12,6,386511183
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,6,1,257,61,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,18,8,1,1,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,76,29,105,32,151824685
5812996052,,,,Traced,609,368,5,9,102,36,688274394
5813010617,KCab-p_R,,KCab-p,Traced,675,277,19,4,219,90,391055197
5813019609,KCab-s_R,,KCab-s,Traced,620,266,2,,187,102,318658265
5813021033,KCab-p_R,,KCab-p,Traced,804,252,12,3,284,97,410859481
5813021788,KCab-p_R,,KCab-p,Traced,713,247,12,3,261,95,417804388
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,353,137,1,1,454399393
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,327,161,,3,467946092
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,3,3,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,508,,7725,12,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,5,1,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,54,44,1,1,975624467
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,321,126,,1,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,4,2,263,78,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,369,70,8,1,281021176
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,308,121,18,4,437993906
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,292,145,,1,420504766
5813055914,KCab-s_R,,KCab-s,Traced,650,235,1,1,162,72,322349102
5813060643,KCab-p_R,,KCab-p,Traced,681,264,7,2,243,87,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,280,132,6,2,436369804
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,294,101,7,1,391939830
5813063229,KCab-s_R,,KCab-s,Traced,685,277,4,,228,116,347967311
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,311,124,4,3,440340877
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,13,,329,94,547363626
5813077575,KCg-d_R,,KCg-d,Traced,625,242,3,2,,1,361698810
5813078053,KCab-s_R,,KCab-s,Traced,691,238,1,,181,66,268635703
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,287,94,8,3,373028028
5813091744,KCab-p_R,,KCab-p,Traced,635,285,12,6,174,77,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,24,6,259,82,375350336
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,2,1,648,118,324522133
5813105172,DPM_R,,DPM,Traced,77269,17628,13555,3386,8630,1738,15191654896
5813114700,KCab-p_R,,KCab-p,Traced,746,234,16,1,261,80,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,2,,186,79,368295685
