id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,45,8,,1,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,35,1,45,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,8437,41,73,85,2278694286
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,12,,15,7,627397855
988632865,VES045(PDM13)_L,,VES045,Traced,1849,90,2,,86,1,1640753057
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,19,20,6,8,4703423471
1013066710,CRE071_R,,CRE071,Traced,1410,623,3,1,21,7,1233966102
1015143077,CRE024_L,,CRE024,Traced,4924,969,100,,5,3,1768786393
1015484487,,,,Traced,623,710,3,,30,18,523595977
1015570297,CRE059(AVM13)_L,,CRE059,Traced,667,563,6,,41,17,593637995
1016248907,(PDM13)_L,,,Traced,646,241,14,1,29,6,955221841
1016506999,LAL198_R,,LAL198,Traced,2427,780,39,,1,8,1609357758
1017617049,,,,Traced,1431,765,62,4,51,42,834504936
1017880794,,,,Traced,269,499,39,3,9,38,582186870
1043919973,,,,Traced,567,56,2,,140,26,364338728
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,16,2,63,16,552011293
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,79,2,4211579375
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,1,26,46,1317529596
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,11,1,16,2,699203176
1050067438,,,,Traced,80,146,9,,12,21,141775715
1050067540,,,,Traced,80,150,8,,42,60,172299801
1079687209,(PVL05)_L,,,Traced,157,176,3,1,1,8,165023040
1080386873,,,,Traced,550,431,23,3,39,20,374813331
1080705988,(PVL05)_L,,,Traced,177,209,6,,15,20,189135489
1101142279,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2700,526,6,,175,10,713952917
1109025922,,,,Traced,131,8,56,,3,1,73211844
1109707604,,,,Traced,116,17,5,,23,1,94120769
1111762690,,,,Traced,681,586,22,1,,3,591386255
1112099400,SMP163(AVM04)_L,,SMP163,Traced,1362,125,13,,427,41,751942117
1112431072,CRE028_R,,CRE028,Traced,1347,312,14,1,99,60,873325642
1112436285,,,,Traced,376,677,1,,139,213,490334249
1112474319,,,,Traced,73,202,9,,5,37,169187019
1112777131,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1404,354,4,,112,1,582749115
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,40,2,10,1,560532390
1137957299,ATL005(ADM02)_L,CL-AtIb(c)2,ATL005,Traced,1287,277,50,1,558,22,767461289
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,3,1,112,217,606324377
1143807196,,,,Traced,1241,1358,3,4,163,223,1094396908
1144761556,LAL129_R,,LAL129,Traced,4068,1156,15,,124,97,1629782018
1163228703,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1231,361,2,,147,1,540522164
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,5,,31,1,282949058
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,590,155,,1,259656990
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,13,1,6,9,547627159
1202677966,,,,Traced,112,224,3,,12,13,300144230
1236579033,,,,Traced,406,140,11,,305,118,237645724
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,3,,52,124,622234921
1293896697,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1739,451,2,,157,2,631618150
1298986046,,,,Traced,535,385,13,10,242,195,351298339
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,10,19,5,9,5492683352
1360719542,,,,Traced,355,105,9,,238,66,209413394
1418022622,(PVL05)_L,,,Traced,108,110,1,,7,9,104899227
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,,1,6190229391
