id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
977339122,FB5L_R,CRESMPFB5_4,FB5L,Traced,2779,749,43,4,1930,692,1724906752
977339225,FC2B(FQ7)_C4_L,FB1d356CRE,FC2B,Traced,2397,231,8,2,2347,170,487044433
977352235,FC2B(FQ7)_C6_L,FB1d356CRE,FC2B,Traced,1555,168,5,3,1511,123,371012802
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,4,8,105,29,1622607507
978051730,AOTU046(PDM21)_L,,AOTU046,Traced,1404,620,7,3,2,2,1632341703
978336888,AOTU046_R,,AOTU046,Traced,1958,713,9,8,115,27,1774175847
978673646,FB6M_R,WEDLALFB6,FB6M,Traced,1171,353,147,67,355,116,1224788672
978681977,FC2C(FQ7)_C3_L,FB1d367CRE,FC2C,Traced,1463,145,9,1,1363,108,342530480
978733459,ExR5(ring)_L,,ExR5,Traced,2994,1148,52,41,654,551,1935836510
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,45,145,2071,8,1104413493
982684196,CL341_R,pIP9 candidates,CL341,Traced,1769,34,3,,14,1,1775606795
987877232,FB4K_L,CRESMPFB4_3,FB4K,Traced,2078,415,19,,1052,414,1341902381
988567837,FB4G_R,CRELALFB4_3,FB4G,Traced,3861,785,363,33,2161,592,1567841591
988909130,FB5V_R,CRELALFB5,FB5V,Traced,1745,269,514,11,360,226,714290599
989228019,FB5V_R,CRELALFB5,FB5V,Traced,2006,322,522,17,505,260,747593114
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,61,275,746,4,964632002
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,202,90,5,2,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,132,74,12,2,965411401
1004700437,PFL3(PB12c)_L7_C9,PB1-7FB1245LAL,PFL3,Traced,2588,513,107,504,2170,6,1092150568
1005308608,EL(EQ5)_L,EBGAs,EL,Traced,4381,729,171,47,25,3,1157310567
1005710800,ExR7(ring)_L,,ExR7,Traced,2301,841,86,171,9,13,1439854944
1008024276,FB5N_R,SMPCREFB5_4,FB5N,Traced,2011,499,18,,1028,470,1211500058
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,2,8,1222,369,513227795
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,579,3,2988,1406,2716937442
1008391068,FC2B(FQ7)_C6_L,FB1d356CRE,FC2B,Traced,2174,219,2,4,2135,167,459251728
1009371535,FC2B(FQ7)_C3_L,FB1d356CRE,FC2B,Traced,2082,169,2,,2051,130,396807579
1009375310,FB7H_R,SMPFB7,FB7H,Traced,2114,431,1,,1973,429,842366522
1010437434,FC2C(FQ7)_C7_L,FB1d367CRE,FC2C,Traced,1015,118,2,3,980,83,245307806
1019607245,FB4E_R,CRELALFB4_1,FB4E,Traced,1071,193,220,1,585,191,416373122
1020280792,FB5V_R,CRELALFB5,FB5V,Traced,1086,180,357,3,135,166,574733412
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,121,80,23,2,1027118663
1035393986,FC2C(FQ7)_C7_L,FB1d367CRE,FC2C,Traced,947,107,7,4,905,80,255205366
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1440,157,3598,1723,5331729469
1036753721,EL(EQ5)_L,EBGAs,EL,Traced,4431,918,183,58,72,10,1219998811
1039400642,FB5O_R,SMPCREFB5_5,FB5O,Traced,2381,579,14,,1383,537,1013416074
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,21,2,2933,681,1117514933
1041071176,FC2B(FQ7)_C2_L,FB1d356CRE,FC2B,Traced,2141,185,7,1,2093,141,468252374
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,68,50,695,463,2079662476
1050266721,FB5V_R,CRELALFB5,FB5V,Traced,1134,170,339,2,172,159,548801057
1050935614,FB5V_R,CRELALFB5,FB5V,Traced,1460,268,185,14,421,185,670369042
1051280385,FB4E_R,CRELALFB4_1,FB4E,Traced,947,159,186,,475,158,413942451
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,484,8,833,384,724270517
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,129,85,9,2,434380151
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,203,48,106,17,1067970589
1070422316,FC2B(FQ7)_C3_L,FB1d356CRE,FC2B,Traced,2754,237,1,,2696,186,484992823
1070426862,FB5M_R,CRESMPFB5_5,FB5M,Traced,1834,422,12,,1045,420,1114656242
1071760480,FC2C(FQ7)_C2_L,FB1d367CRE,FC2C,Traced,2074,173,8,5,2012,133,444453797
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,4,6,1430,364,523432208
1072507501,FC2A(FQ7)_C6_L,FB1-5CRE,FC2A,Traced,1975,240,1,2,1918,197,424866741
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,9,5,1374,347,490071744
1075499064,FB3C_R,LALSMPFB3,FB3C,Traced,715,242,87,,584,242,502952890
1075827302,FB2D_R,LALCREFB2_2,FB2D,Traced,3206,575,267,8,2714,552,1027285919
1076185604,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,959,138,3,3,912,96,284621817
1100801188,FB4D_R,CRESMPFB4_2,FB4D,Traced,1610,379,11,,1009,340,678707599
1101133698,FB4B(NO2)_L,NO2LALFB4,FB4B,Traced,3594,915,1,,2816,836,1317034611
1101474458,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2805,519,105,4,1831,458,1040180176
1104155212,FC2C(FQ7)_C1_L,FB1d367CRE,FC2C,Traced,1549,146,2,2,1502,99,373204911
1106857669,FB4B(NO2)_R,NO2LALFB4,FB4B,Traced,4239,862,507,8,2599,777,2142474039
1109599486,FB4J_R,CRELALFB4_5,FB4J,Traced,1881,314,148,2,1017,299,736167505
1113371822,FB5V_R,CRELALFB5,FB5V,Traced,1158,174,566,6,87,161,584193382
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,156,86,6,1,586585085
1128434325,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1828,556,11,4,1701,511,579257577
