id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
863698974,LAL155(PVM03)_L,,LAL155,Traced,1494,548,326,36,10,9,1064408131
864156049,CRE047(ADM10)_L,,CRE047,Traced,660,119,183,32,163,61,393708474
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,43,200,81,186,1069803729
882144985,IB005_R,,IB005,Traced,2133,702,246,154,379,287,1521696579
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,67,186,62,155,1151779323
882580620,CL199(PDM12)_L,,CL199,Traced,724,858,9,40,8,26,1896030360
885495731,CL005_R,,CL005,Traced,323,156,38,54,54,72,432326168
888577071,,,,Traced,136,269,12,24,11,17,230594526
890619489,,,,Traced,171,241,18,21,39,47,197795265
892614148,AOTU001_R,,AOTU001,Traced,551,198,81,159,23,4,521641607
893754136,(MBDLaxon2),,,Traced,2509,1179,390,178,200,227,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,59,76,438,442,2722993954
894362173,LAL004_R,,LAL004,Traced,469,208,49,98,121,93,469303915
894707517,AOTU004_R,,AOTU004,Traced,394,142,95,85,53,56,320253988
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,45,60,3662,551,2786939491
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,915,208,450,699,2272675577
913262104,IB005(ADM03)_L,,IB005,Traced,1471,663,208,217,205,194,1110181889
913681721,LHPV3a1_R,,LHPV3a1,Traced,1309,209,6,3,42,105,457986323
915503330,PLP032_R,,PLP032,Traced,1443,1260,9,28,61,182,3007064555
915519608,LAL006_R,,LAL006,Traced,299,148,42,85,42,63,410875506
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,59,200,50,207,1366489368
919763043,ExR3(ring)_L,5-HTPMPD candidates,ExR3,Traced,7694,4294,3,1,13,7,4148353890
921684387,,,,Traced,80,96,5,3,2,2,133292428
923989857,AOTU003_R,,AOTU003,Traced,433,151,21,71,6,5,432072992
925241334,LAL155_R,,LAL155,Traced,3211,604,29,38,1992,95,1395981955
925811326,,,,Traced,838,1189,153,163,177,203,1225284890
945532230,CL340(PVM09)_L,,CL340,Traced,226,526,2,,,1,752352139
947233211,CL005_R,,CL005,Traced,274,194,28,53,61,94,474112030
947582284,CL308_R,,CL308,Traced,3091,666,67,138,87,133,1835937992
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,36,147,60,155,1090467478
952374245,LAL114_R,,LAL114,Traced,1394,573,38,33,843,153,1003906934
953414758,,,,Traced,139,101,2,,2,2,126179197
955733080,AOTU004_R,,AOTU004,Traced,430,165,76,91,93,74,296213575
958197533,LAL042_R,,LAL042,Traced,1365,214,45,32,945,130,799512116
975197713,LAL192_R,,LAL192,Traced,843,568,43,113,113,191,786663687
979666456,LAL006_R,,LAL006,Traced,282,107,13,36,25,55,341160091
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,53,152,45,145,1104413493
981306774,AOTU038_R,,AOTU038,Traced,234,55,36,34,5,1,349769614
983063787,,,,Traced,150,352,9,41,25,49,272758710
983064344,,,,Traced,123,266,33,69,28,66,195389314
983767417,LAL175_R,,LAL175,Traced,885,116,7,1,459,58,603981792
983771898,,,,Traced,370,449,89,85,1,2,357394580
984536209,LAL100_R,,LAL100,Traced,3609,1173,58,62,1852,281,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,29,31,35,19,540136093
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,73,85,21,86,2278694286
986089634,AOTU003_R,,AOTU003,Traced,506,175,16,35,28,56,450761383
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,15,7,144,67,627397855
1008059095,,,,Traced,476,706,3,9,25,41,705804597
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,8,9,11,4703423471
1013066710,CRE071_R,,CRE071,Traced,1410,623,21,7,524,9,1233966102
1014107332,,,,Traced,160,339,27,54,42,76,262794569
1014802430,LAL175_R,,LAL175,Traced,1878,450,427,316,582,67,924926310
1015138886,,,,Traced,85,98,10,15,15,7,132629721
1015143077,CRE024_L,,CRE024,Traced,4924,969,5,3,339,22,1768786393
1015479949,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,769,309,20,30,158,47,656458777
1015484487,,,,Traced,623,710,30,18,13,6,523595977
1015570297,CRE059(AVM13)_L,,CRE059,Traced,667,563,41,17,66,37,593637995
1016506999,LAL198_R,,LAL198,Traced,2427,780,1,8,1858,58,1609357758
1018550022,,,,Traced,143,82,3,1,1,2,116601785
1036503560,LHPV3a1_R,,LHPV3a1,Traced,1254,229,3,2,32,84,502388494
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,1440,157,5331729469
1043825714,ExR5(ring)_R,,ExR5,Traced,3240,1086,1,,68,50,2079662476
