id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,#voxels
848316930,KCab-c_R,,KCab-c,Traced,357,135,136,54,221925055
848321392,KCab-c_R,,KCab-c,Traced,441,168,178,76,239920111
848330091,KCab-s_R,,KCab-s,Traced,680,241,228,97,308872949
848662421,KCab-c_R,,KCab-c,Traced,477,167,185,75,228841927
848662441,KCab-c_R,,KCab-c,Traced,511,170,166,70,245266002
848666776,KCab-m_R,,KCab-m,Traced,587,233,232,110,299380743
849370246,KCab-s_R,,KCab-s,Traced,573,226,231,105,286657521
849370258,KCab-s_R,,KCab-s,Traced,636,232,243,101,273110851
849685478,KCab-m_R,,KCab-m,Traced,548,207,222,104,301431140
849707224,KCab-s_R,,KCab-s,Traced,633,240,246,119,306425963
859925004,KCab-m_R,,KCab-m,Traced,492,192,197,84,285847167
860257495,KCab-m_R,,KCab-m,Traced,571,202,236,95,276611941
860261985,KCab-c_R,,KCab-c,Traced,473,174,169,64,253266623
860265987,KCab-m_R,,KCab-m,Traced,529,199,200,86,245332878
860266014,KCab-m_R,,KCab-m,Traced,454,172,147,68,264860461
860266062,KCab-m_R,,KCab-m,Traced,488,176,193,87,292510774
860266123,KCab-c_R,,KCab-c,Traced,419,150,163,66,215806202
860266309,KCab-m_R,,KCab-m,Traced,563,206,196,85,279333264
860266346,KCab-c_R,,KCab-c,Traced,418,143,144,55,240926930
860266377,KCab-c_R,,KCab-c,Traced,441,164,161,70,250901098
860266404,KCab-c_R,,KCab-c,Traced,432,170,143,67,246373017
860603005,KCab-c_R,,KCab-c,Traced,361,143,160,63,155189425
860607168,KCab-c_R,,KCab-c,Traced,393,131,121,50,215521021
860607367,KCab-c_R,,KCab-c,Traced,332,122,119,50,189247921
860607450,KCab-c_R,,KCab-c,Traced,333,135,140,57,127210569
860607455,KCab-c_R,,KCab-c,Traced,452,158,160,71,222156834
860607480,KCab-c_R,,KCab-c,Traced,357,141,129,49,133388900
860607503,KCab-c_R,,KCab-c,Traced,363,146,156,75,228591969
860944055,KCab-c_R,,KCab-c,Traced,496,162,176,65,227383572
861280857,KCab-p_R,,KCab-p,Traced,664,252,233,107,381165541
861285104,,,,Orphan,13,1,13,1,155580
861285145,KCab-p_R,,KCab-p,Traced,735,266,249,96,376842335
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,1,1,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,8,1,1813984393
877313996,KCab-c_R,,KCab-c,Traced,424,154,166,68,220175849
877318574,KCab-m_R,,KCab-m,Traced,623,205,202,78,284429680
877659583,KCab-m_R,,KCab-m,Traced,509,214,216,96,266281376
877659673,KCab-m_R,,KCab-m,Traced,538,211,205,93,291983227
877974490,KCab-c_R,,KCab-c,Traced,392,164,148,74,227084880
877982991,KCab-c_R,,KCab-c,Traced,475,182,173,74,239236996
877987539,KCab-c_R,,KCab-c,Traced,363,158,172,78,213531608
877987901,KCab-m_R,,KCab-m,Traced,573,205,239,102,254440785
877992236,KCab-m_R,,KCab-m,Traced,504,204,200,96,240167340
877992303,KCab-m_R,,KCab-m,Traced,544,202,214,93,297897223
878324222,KCab-c_R,,KCab-c,Traced,477,170,174,78,250073019
878324438,KCab-m_R,,KCab-m,Traced,551,218,233,104,296013098
878333234,KCab-c_R,,KCab-c,Traced,445,176,182,84,229227310
878333333,KCab-m_R,,KCab-m,Traced,535,216,182,101,271526491
878337317,KCab-m_R,,KCab-m,Traced,579,205,203,89,295111316
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,3,2,347955774
878670047,KCab-m_R,,KCab-m,Traced,542,216,173,93,284417940
879032295,KCab-m_R,,KCab-m,Traced,567,175,201,82,257262760
880055173,KCab-s_R,,KCab-s,Traced,552,203,210,93,275416876
880383629,KCg-m_R,,KCg-m,Traced,793,241,12,4,345275323
880404940,KCab-m_R,,KCab-m,Traced,548,215,205,100,281720585
880409455,KCab-s_R,,KCab-s,Traced,624,240,269,125,311808994
891301236,KCab-m_R,,KCab-m,Traced,518,202,220,95,247438182
891301315,KCab-m_R,,KCab-m,Traced,497,182,169,78,261841936
891629070,KCab-s_R,,KCab-s,Traced,579,212,199,94,307954605
891637860,KCab-c_R,,KCab-c,Traced,441,161,175,71,133836290
891642176,KCab-c_R,,KCab-c,Traced,293,133,121,67,90216470
891642215,KCab-c_R,,KCab-c,Traced,409,140,163,58,124153999
891642281,KCab-c_R,,KCab-c,Traced,418,157,149,68,229373556
891642345,KCab-c_R,,KCab-c,Traced,437,167,144,66,262180511
891978843,KCab-c_R,,KCab-c,Traced,435,153,145,66,232747806
908340253,KCab-m_R,,KCab-m,Traced,503,187,183,79,237222041
908353540,KCab-m_R,,KCab-m,Traced,633,208,249,108,246231077
908668522,KCab-m_R,,KCab-m,Traced,537,210,194,86,305369287
908668556,KCab-m_R,,KCab-m,Traced,495,195,193,75,260276977
908685688,KCab-m_R,,KCab-m,Traced,509,190,200,89,252937999
908685859,KCab-m_R,,KCab-m,Traced,520,162,197,74,247224848
908689934,KCab-m_R,,KCab-m,Traced,544,202,209,92,263927423
908690107,KCab-m_R,,KCab-m,Traced,556,202,208,89,270083602
908699052,KCab-m_R,,KCab-m,Traced,497,192,213,92,268368050
909026561,KCab-m_R,,KCab-m,Traced,616,221,224,93,250111858
909026992,KCab-m_R,,KCab-m,Traced,510,164,218,79,232684526
909368173,KCab-m_R,,KCab-m,Traced,593,189,208,71,272641756
909372586,KCab-m_R,,KCab-m,Traced,528,191,214,87,256311720
909372602,KCab-m_R,,KCab-m,Traced,516,196,223,93,296825364
909704857,KCab-c_R,,KCab-c,Traced,355,124,145,61,232054390
909730907,KCab-s_R,,KCab-s,Traced,698,241,247,106,308702323
909730911,KCab-m_R,,KCab-m,Traced,528,195,181,89,261739915
910063154,KCab-m_R,,KCab-m,Traced,541,179,207,82,256962721
910063307,KCab-s_R,,KCab-s,Traced,582,240,249,114,292757588
910386568,KCab-c_R,,KCab-c,Traced,380,155,163,69,229096420
910404284,KCab-m_R,,KCab-m,Traced,508,181,168,76,257009808
910412830,KCab-m_R,,KCab-m,Traced,609,224,211,98,297364193
911094343,KCab-m_R,,KCab-m,Traced,604,210,252,110,274888881
911400981,KCab-c_R,,KCab-c,Traced,411,165,157,64,227114944
915520244,CL336_R,,CL336,Traced,1534,241,1,1,1903329551
922677093,KCab-c_R,,KCab-c,Traced,332,131,158,59,101853518
922677121,KCab-c_R,,KCab-c,Traced,300,122,116,51,236879854
923013923,KCab-c_R,,KCab-c,Traced,462,181,152,73,144580318
923018247,KCab-c_R,,KCab-c,Traced,403,147,152,60,210067973
923018290,KCab-m_R,,KCab-m,Traced,474,181,166,79,248557175
923359312,KCab-s_R,,KCab-s,Traced,558,224,207,93,298270022
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,7,3,409554421
939030036,KCab-m_R,,KCab-m,Traced,538,195,193,84,255498861
939729237,KCab-s_R,,KCab-s,Traced,651,245,216,99,324312813
939729706,KCab-c_R,,KCab-c,Traced,439,155,166,68,232722025
939733452,KCab-s_R,,KCab-s,Traced,628,218,212,96,310965787
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,27,11,426089124
939734122,KCab-s_R,,KCab-s,Traced,570,244,207,100,311872898
939734266,KCab-m_R,,KCab-m,Traced,546,210,227,94,255999462
939738364,KCab-m_R,,KCab-m,Traced,576,196,231,84,277963058
939738376,KCab-s_R,,KCab-s,Traced,599,225,226,104,321765624
939738399,KCab-m_R,,KCab-m,Traced,568,222,232,106,311899338
939738424,KCab-c_R,,KCab-c,Traced,500,168,198,79,244127222
939738473,KCab-c_R,,KCab-c,Traced,492,147,177,65,234734513
939738477,KCab-m_R,,KCab-m,Traced,509,200,193,96,269034592
939742503,KCab-c_R,,KCab-c,Traced,386,155,150,65,155679853
939742609,KCab-c_R,,KCab-c,Traced,452,184,173,74,261660904
940070913,KCab-m_R,,KCab-m,Traced,521,190,222,91,274247055
940075056,KCab-p_R,,KCab-p,Traced,726,259,220,82,361940760
940075464,KCab-m_R,,KCab-m,Traced,557,191,234,94,274517279
940079170,KCab-s_R,,KCab-s,Traced,552,206,231,100,264703788
940079253,KCab-m_R,,KCab-m,Traced,498,183,173,74,266308208
940079513,KCab-m_R,,KCab-m,Traced,570,218,195,97,258361359
940079568,KCab-m_R,,KCab-m,Traced,541,192,183,89,267156454
940079657,KCab-m_R,,KCab-m,Traced,462,187,188,88,262865540
940079771,KCab-m_R,,KCab-m,Traced,543,198,199,87,278766658
940083749,KCab-c_R,,KCab-c,Traced,447,166,191,74,240054328
940084011,KCab-m_R,,KCab-m,Traced,561,176,326,121,218109704
940084060,KCab-m_R,,KCab-m,Traced,472,173,170,65,261676977
940084095,KCab-c_R,,KCab-c,Traced,393,173,141,63,191379971
940084152,KCab-c_R,,KCab-c,Traced,430,140,178,71,235252289
940087822,KCab-c_R,,KCab-c,Traced,369,131,190,67,214739099
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,7,3,428622683
940425106,KCab-m_R,,KCab-m,Traced,567,177,201,81,271492588
940425171,KCab-s_R,,KCab-s,Traced,580,232,217,102,315400520
940425232,KCab-m_R,,KCab-m,Traced,499,214,235,109,283346192
940748411,KCab-m_R,,KCab-m,Traced,467,185,155,80,241288031
940752707,KCab-m_R,,KCab-m,Traced,547,217,218,100,294115741
940761352,KCab-c_R,,KCab-c,Traced,458,156,192,73,225466586
941102504,KCab-m_R,,KCab-m,Traced,493,187,160,77,280502988
941111195,KCab-m_R,,KCab-m,Traced,500,187,200,86,270329622
953029783,KCab-s_R,,KCab-s,Traced,610,227,225,104,308890771
953712141,KCab-m_R,,KCab-m,Traced,544,166,201,78,240676042
954053018,KCab-c_R,,KCab-c,Traced,468,158,178,69,241045676
954053251,KCab-c_R,,KCab-c,Traced,512,185,198,85,163873661
954053261,KCab-m_R,,KCab-m,Traced,381,176,195,84,116165520
954730964,KCab-s_R,,KCab-s,Traced,581,235,214,108,291727874
970772961,KCab-c_R,,KCab-c,Traced,498,161,176,66,248922598
970777114,KCab-c_R,,KCab-c,Traced,419,162,182,70,194125746
970777224,KCab-c_R,,KCab-c,Traced,351,140,126,61,230838292
971113967,KCab-c_R,,KCab-c,Traced,510,174,173,71,269876301
971118202,KCab-m_R,,KCab-m,Traced,489,177,209,86,250353021
971118588,KCab-c_R,,KCab-c,Traced,447,151,185,64,248004580
971118724,KCab-c_R,,KCab-c,Traced,497,167,216,83,253383175
971459227,KCab-m_R,,KCab-m,Traced,539,181,212,83,244540270
972080542,KCab-c_R,,KCab-c,Traced,324,138,157,61,94802526
972128731,KCg-m_R,,KCg-m,Traced,833,252,4,2,399574677
973151229,KCg-m_R,,KCg-m,Traced,773,232,1,1,346133896
974843892,KCg-d_R,,KCg-d,Traced,506,180,6,3,242807372
984405805,KCab-m_R,,KCab-m,Traced,575,228,207,101,300863454
984746802,KCab-m_R,,KCab-m,Traced,515,190,176,79,227942299
985429128,KCab-m_R,,KCab-m,Traced,558,199,208,89,172732500
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,1,1,389074673
1003837184,KCg-d_R,,KCg-d,Traced,525,213,2,1,286756016
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,432,166,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,481,172,307010567
1016118651,KCab-c_R,,KCab-c,Traced,414,163,130,62,164392426
1016122913,KCab-c_R,,KCab-c,Traced,357,146,131,61,128303063
1016123127,KCab-c_R,,KCab-c,Traced,331,134,151,59,102349842
1016459595,KCab-m_R,,KCab-m,Traced,543,211,189,90,285357188
1016805008,KCab-p_R,,KCab-p,Traced,703,242,194,71,378892564
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,3,1,411433282
1034198388,KCab-p_R,,KCab-p,Traced,733,260,201,85,361965654
1035557785,KCg-m_R,,KCg-m,Traced,854,254,1,1,391819774
1046812283,KCab-m_R,,KCab-m,Traced,596,210,214,91,257606131
1046816660,KCab-c_R,,KCab-c,Traced,461,165,191,66,226401523
1047153433,KCab-c_R,,KCab-c,Traced,306,139,147,64,96727963
1047157746,KCab-m_R,,KCab-m,Traced,501,193,168,85,288332712
1047157958,KCab-c_R,,KCab-c,Traced,330,141,146,64,116529181
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,551,166,327454873
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,27,7,437209470
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,11,1,4211579375
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,1,1,443024347
1064891781,KCab-p_R,,KCab-p,Traced,741,271,262,96,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,676,193,551823489
1077851524,KCab-c_R,,KCab-c,Traced,435,159,144,59,235645571
1077851551,KCab-c_R,,KCab-c,Traced,308,143,148,64,100630758
1078525257,KCab-m_R,,KCab-m,Traced,437,172,171,76,247281210
1078534091,KCab-s_R,,KCab-s,Traced,582,221,216,94,312135006
1078534115,KCab-s_R,,KCab-s,Traced,642,250,236,120,311703345
1078874826,KCab-p_R,,KCab-p,Traced,586,221,166,80,360621538
1078875017,KCab-s_R,,KCab-s,Traced,615,255,215,110,338005696
1108541296,KCab-m_R,,KCab-m,Traced,556,193,229,87,313007621
1108545472,KCab-p_R,,KCab-p,Traced,628,250,206,79,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,193,119,315709589
1109223365,KCab-m_R,,KCab-m,Traced,584,192,200,85,175505058
1109568528,KCab-s_R,,KCab-s,Traced,592,230,233,103,285855787
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,555,195,339562986
1110937445,KCg-m_R,,KCg-m,Traced,948,280,10,5,423471140
1111278454,KCg-m_R,,KCg-m,Traced,886,259,13,5,352966055
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,3,2,444926933
1127604950,KCg-d_R,,KCg-d,Traced,535,205,4,2,327937313
1130687130,KCab-s_R,,KCab-s,Traced,613,230,240,117,365003786
1139667240,MBON13(a'2)_R,,MBON13,Traced,9664,1277,204,21,2294799280
1139921468,KCab-m_R,,KCab-m,Traced,537,205,218,95,289911564
1139921865,KCab-m_R,,KCab-m,Traced,599,212,233,98,275656399
1140603698,KCab-s_R,,KCab-s,Traced,567,243,212,116,311585687
1140950118,KCg-m_R,,KCg-m,Traced,761,244,2,1,335259195
1141268794,KCg-d_R,,KCg-d,Traced,516,207,5,1,345733573
1141290695,KCg-m_R,,KCg-m,Traced,873,278,5,3,397582364
1141342299,KCg-m_R,,KCg-m,Traced,794,257,5,4,402079101
1141346308,KCg-m_R,,KCg-m,Traced,752,202,1,1,350472783
1141631240,KCg-m_R,,KCg-m,Traced,889,262,3,3,404400166
1141636389,KCg-m_R,,KCg-m,Traced,773,234,3,1,352476720
1141972158,KCg-m_R,,KCg-m,Traced,746,224,4,2,365560546
1141972202,KCg-m_R,,KCg-m,Traced,815,267,5,2,420915787
1162063500,KCab-m_R,,KCab-m,Traced,580,221,217,108,298171364
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,4,4,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,7,2,420909311
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,7,5,393635014
1170606692,KCab-s_R,,KCab-s,Traced,542,223,183,100,287223511
1171280441,KCg-d_R,,KCg-d,Traced,570,204,1,1,309649081
1171621616,KCg-d_R,,KCg-d,Traced,514,186,6,3,317127071
1171621682,KCg-d_R,,KCg-d,Traced,642,233,7,2,370508699
1172044382,KCg-m_R,,KCg-m,Traced,806,273,2,1,370990928
1172665846,KCg-m_R,,KCg-m,Traced,895,281,3,3,308381801
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,40,9,3658564958
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,5,1,350624191
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,2,1,451995760
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,3,5,404305308
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,952,260,659070629
1233703950,KCab-s_R,,KCab-s,Traced,574,243,196,107,304942853
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,14426,25,1466363330
1234809285,KCg-d_R,,KCg-d,Traced,574,253,6,3,325950292
1261989183,KCab-s_R,,KCab-s,Traced,617,232,234,104,230223045
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,7,3,446959185
1327494939,KCab-s_R,,KCab-s,Traced,617,248,252,130,315605543
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,35,16,429239588
1327831994,KCab-s_R,,KCab-s,Traced,598,274,179,101,322572716
1328505485,KCab-p_R,,KCab-p,Traced,723,261,219,85,394578410
1357848386,,,,Orphan,9,2,9,2,1366386
1359212271,KCab-s_R,,KCab-s,Traced,606,251,259,116,309923679
