id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,LAL(R) #post,LAL(R) #pre,#voxels
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,328,74,17,4,666717755
944224077,LAL147_R,,LAL147,Traced,1054,273,1,,251,129,888769523
944262351,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,2736,332,232,,110,329,948535579
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,535,2,60,155,1090467478
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,67,1,8,7,608509959
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,922,2,158,116,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,99,2,11,3,523810983
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,572,1,45,145,1104413493
1002999221,PFR_b(PB11b)_L6_C7,PFR_b,PFR_b,Traced,1293,288,153,13,,1,625872511
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,315,2,61,275,964632002
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,490,3,202,90,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,188,144,132,74,965411401
1004700437,PFL3(PB12c)_L7_C9,PB1-7FB1245LAL,PFL3,Traced,2588,513,298,,107,504,1092150568
1005611902,LAL150_R,,LAL150,Traced,477,125,2,,107,63,435775742
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,75,1,2,8,513227795
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,226,208,121,80,1027118663
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,3,,1440,157,5331729469
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,165,7,21,2,1117514933
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,530,1,129,85,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,197,153,111,63,836597415
1066088381,EL(EQ5)_L,EBGAs,EL,Traced,4269,850,8,,203,48,1067970589
1070439674,PFR_b(PB11b)_L3_C4,PFR_b,PFR_b,Traced,1855,315,128,9,,1,778112832
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,49,1,4,6,523432208
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,68,1,9,5,490071744
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,167,171,106,70,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,677,1,156,86,586585085
1128434325,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1828,556,50,,11,4,579257577
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,172,14,16,2,1020071695
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,186,6,17,2,592330392
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,907,6,44,203,1481422725
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,208,174,144,68,960598574
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,383,135,55,7,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,387,137,49,8,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,173,144,131,81,1000269781
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,153,22,22,4,588763195
1190171884,PEG(PB07)_L2,PEG,PEG,Traced,1304,225,828,,143,90,718304874
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,95,,4,9,454288161
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,525,7,149,99,435112897
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,80,4,14,5,495589091
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,782,5,73,209,1532312771
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,120,33,5,2,323395635
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,499,1,126,468,1251526591
