id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,#voxels
484368420,SLP461(SCB045)_R,,SLP461,Traced,1209,453,11,4,735748551
484821546,SMP586_R,,SMP586,Traced,2205,504,47,74,1433691715
484825371,SMP155_R,CSmSi-(AoIb)(i)Si(c),SMP155,Traced,3704,643,7,1,2144488418
487187476,SIP087_R,,SIP087,Traced,10957,3440,780,405,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,258,463,5638174363
508689623,CRE074_R,,CRE074,Traced,5672,1362,573,214,5376151826
511349908,SMP183_R,,SMP183,Traced,2340,832,120,84,2035761923
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,404,1,2928723833
514475106,SMP371_R,,SMP371,Traced,1578,758,67,98,1591467313
514958793,SMP371(PDM08)_L,,SMP371,Traced,932,500,30,32,901732203
515450389,SLP243_R,,SLP243,Traced,931,799,2,1,1283885994
518217691,Leaves Body,,,Traced,913,938,2,5,1000837714
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,252,5,3738265959
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,1415,941,3839917924
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,38,49,3090347718
540730639,KCg-m_R,,KCg-m,Traced,738,234,3,1,366129174
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,70,47,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,144,75,1262283600
542376096,SMP237_R,LCPl-SmSi,SMP237,Traced,4489,994,352,25,2106891458
544038123,mALD1_L,,mALD1,Traced,7276,3026,3086,89,5756235469
544435277,LHAV6c1_R,,LHAV6c1,Traced,463,127,29,3,314631569
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,153,115,661247098
546196205,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,557,230,36,40,575525624
546507208,SIP003_a_R,,SIP003_a,Traced,651,144,2,2,407517521
546771021,,,,Traced,854,594,2,1,740020022
547552266,MBON33(y2y3)_R,,MBON33,Traced,6746,711,325,61,2406294739
548570973,CRE013_R,,CRE013,Traced,6593,820,731,36,2035120923
548575149,CRE087_R,,CRE087,Traced,1290,328,48,2,949124966
549597974,SMP142_R,,SMP142,Traced,3235,2217,219,230,2511194126
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,780,571,2008584360
550621853,CRE018_R,,CRE018,Traced,943,240,54,21,415496626
550988122,SMP471_R,,SMP471,Traced,5458,660,617,141,1982292734
551043841,CRE033_L,,CRE033,Traced,754,252,24,7,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,43,99,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,50,79,979623989
570742599,KCg-m_R,,KCg-m,Traced,800,259,2,2,409027498
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,180,93,1495976797
576566223,SMP153_R,,SMP153,Traced,2897,682,215,180,1545265002
576566287,SMP008_R,aSP14a candidates,SMP008,Traced,765,356,57,95,679984196
576825965,OA-VUMa7_R,,OA-VUMa7,Traced,4992,5253,247,222,3775336014
576898212,SMP007_R,aSP14d candidates,SMP007,Traced,496,247,11,16,624956237
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,34,49,1640712084
