id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,PB #post,PB #pre,#voxels
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,112,435,633,1,1310859231
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,50,207,560,1,1366489368
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,106,477,374,2,1137135613
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,163,108,1051,2,737594409
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,17,4,328,74,666717755
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,60,155,535,2,1090467478
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,8,7,67,1,608509959
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,158,116,922,2,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,11,3,99,2,523810983
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,45,145,572,1,1104413493
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,61,275,315,2,964632002
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,202,90,490,3,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,132,74,188,144,965411401
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,2,8,75,1,513227795
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,121,80,226,208,1027118663
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,21,2,165,7,1117514933
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,129,85,530,1,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,111,63,197,153,836597415
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,4,6,49,1,523432208
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,9,5,68,1,490071744
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,106,70,167,171,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,156,86,677,1,586585085
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,16,2,172,14,1020071695
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,17,2,186,6,592330392
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,44,203,907,6,1481422725
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,144,68,208,174,960598574
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,55,7,383,135,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,49,8,387,137,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,131,81,173,144,1000269781
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,22,4,153,22,588763195
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,149,99,525,7,435112897
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,14,5,80,4,495589091
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,73,209,782,5,1532312771
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,5,2,120,33,323395635
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,126,468,499,1,1251526591
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,2,7,53,1,342984622
1265399790,,,,Traced,96,162,13,14,12,4,769118726
1283600055,,,,Traced,160,107,5,5,40,23,569342974
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,60,254,617,1,1202334420
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,78,234,560,2,1437029317
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,1,1,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,159,103,299,251,1568187447
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,3,3,237,45,532651939
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,142,82,223,197,1075949177
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,10,4,246,40,508396228
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,130,75,271,211,1213503168
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,47,275,769,4,1163111797
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,8,3,172,46,481368357
5813062805,PFR_a(PB11a)_L7_C7,PFR_a,PFR_a,Traced,1191,380,5,5,67,1,333743157
