id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,8,4,175,92,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,260,115,3,2,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,20,5,182,85,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,2,2,202,108,436927867
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,14,5,190,102,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,2,3,6,4,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,5,1,140,71,403944266
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,25,7,172,83,396399147
5813057187,KCab-s_R,,KCab-s,Traced,610,239,234,102,5,1,318293689
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,1,,203,101,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,4,3,193,91,405376444
5813060643,KCab-p_R,,KCab-p,Traced,681,264,178,80,1,1,369871738
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,2,1,215,93,333533652
5813062637,KCg-m_R,,KCg-m,Traced,796,258,2,,4,3,378340500
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,2,,216,100,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,21,14,125,55,391939830
5813063229,KCab-s_R,,KCab-s,Traced,685,277,219,115,,2,347967311
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,2,3,178,90,436486264
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,19,11,130,76,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,5,3,195,98,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,19,7,174,79,402291796
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,6,3,198,89,429764535
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,3,2,129,73,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,2,1,12,5,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,2,1,214,90,446715176
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,5,3,165,82,453604666
5813077589,KCab-p_R,,KCab-p,Traced,726,262,241,89,2,1,394045820
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,5,2,194,96,442358082
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,1,1,133,89,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,11,6,195,93,373028028
5813083651,KCg-d_R,,KCg-d,Traced,547,216,2,1,39,21,353327717
5813091744,KCab-p_R,,KCab-p,Traced,635,285,148,80,3,1,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,195,77,10,5,375350336
5813094619,CRE055_R,,CRE055,Traced,440,157,2,,4,1,305711393
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,16,6,161,79,412868274
5813105172,DPM_R,,DPM,Traced,77269,17628,12898,2694,9585,2307,15191654896
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,1,,110,64,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,196,68,7,4,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,206,81,35,13,368295685
5901205770,KCab-s_R,,KCab-s,Traced,586,238,238,119,1,1,309316800
5901213440,CRE011_R,,CRE011,Traced,19674,2149,2,,69,6,5844952800
