id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
518195738,KCab-p_R,,KCab-p,Traced,765,254,185,79,12,5,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,8,4,165,94,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,22,9,103,56,408741628
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,2,,115,79,418664355
518873604,KCab-s_R,,KCab-s,Traced,633,215,209,95,1,1,300234023
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,5,,4,1,3839917924
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,4,2,152,87,435315429
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,1,,148,72,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,4,143,81,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,216,88,8,1,350846940
539975122,KC(incomplete?),,,Traced,671,213,1,,19,9,394579982
542371432,KCab-p_R,,KCab-p,Traced,691,271,214,96,13,1,367180498
544107335,LHAD1b2_a_R,,LHAD1b2_a,Traced,1252,306,1,,4,1,607413856
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,26,10,127,58,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,8,4,196,96,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,6,4,197,91,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,11,8,171,69,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,5,2,166,76,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,20,6,137,71,437355377
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,9,4,209,110,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,4,2,200,92,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,38,18,168,61,370237636
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,1,,127,84,387491401
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,1,2,164,88,415488258
549567614,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,250,1,,204,103,430799378
549571627,KCab-p_R,,KCab-p,Traced,742,260,207,88,4,1,368796696
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,2,,121,81,438957339
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,1,1,150,81,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,3,1,206,99,433385122
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,4,3,168,78,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,194,96,10,7,379155378
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,3,2,191,92,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,6,5,188,94,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,22,11,143,75,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,14,1,137,57,417324948
579916831,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2652,246,32,1,2205,14,504515769
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,2,2,197,106,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,3,1,141,77,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,1,1,144,102,427496011
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,2,,134,81,452235552
600365719,KCab-p_R,,KCab-p,Traced,657,271,210,103,2,2,366582664
601725569,KCg-d_R,,KCg-d,Traced,562,227,5,2,51,24,333188141
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,1,,143,83,427745414
611304789,KCab-s_R,,KCab-s,Traced,587,240,197,120,2,1,304981734
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,2,,179,86,406286707
