id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,4,1,5319,7,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,264,75,7,4,261596710
612668833,KCab-s_R,,KCab-s,Traced,544,235,132,63,1,1,286463671
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,30,,15686,131,4377863012
613079053,MBON04(B'2mp_bilateral)_L,,MBON04,Traced,17615,1600,2,,7040,6,3379363451
630373497,KCab-s_R,,KCab-s,Traced,575,248,162,82,1,1,302148793
632086737,KCg-d_R,,KCg-d,Traced,543,215,2,2,1,1,328980177
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,2,346,139,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,230,82,17,7,367954715
642335553,KCa'b'-m_R,,KCa'b'-m,Traced,722,286,2,3,354,162,440563976
642680826,KCab-p_R,,KCab-p,Traced,670,262,221,81,6,2,341818524
642680969,KCab-p_R,,KCab-p,Traced,699,264,238,95,11,3,398461486
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,850,245,8,7,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,306,101,13,6,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,283,73,12,2,279472747
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,6,2,297,125,388134264
661407917,KCa'b'-m_R,,KCa'b'-m,Traced,648,243,3,1,272,117,368237390
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,3,3,315,133,426186749
663134970,KCg-m_R,,KCg-m,Traced,784,259,9,5,5,1,392525010
673029543,KCa'b'-m_R,,KCa'b'-m,Traced,611,225,3,,275,111,383192868
673370525,KCa'b'-m_R,,KCa'b'-m,Traced,568,209,5,3,287,106,362640450
674738872,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,596,264,1,,318,145,452846628
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,233,94,2,1,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,194,58,5,2,277333760
693927941,ALIN1_R,,ALIN1,Traced,1553,406,138,37,28,27,2113783525
704409534,KCab-p_R,,KCab-p,Traced,685,243,284,94,4,1,354049999
704409742,KCab-s_R,,KCab-s,Traced,633,241,177,91,4,2,292719846
704466265,MBON12(y2a'1)_R,,MBON12,Traced,9126,1132,1,,306,1,1733289825
704742082,KCa'b'-m_R,,KCa'b'-m,Traced,637,239,12,3,306,129,354105707
704746449,KCab-p_R,,KCab-p,Traced,697,254,240,78,6,1,395383220
704746457,KCab-p_R,,KCab-p,Traced,741,247,246,79,20,9,389043123
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,256,59,4,1,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,624,125,10,2,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,291,108,13,6,357006298
736467526,KCab-m_R,,KCab-m,Traced,552,215,142,64,,1,302308178
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,2,,638,155,360759597
753847960,KCg-m_R,,KCg-m,Traced,777,234,1,,2,1,328116484
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,3,2,295,123,440292610
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,4,1,12,5,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,157,56,5,1,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,3,,360,122,419723448
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,1,,251,15,4762453854
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,849,182,18,3,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,191,55,7,3,135248805
815922095,KCab-s_R,,KCab-s,Traced,571,225,150,67,,1,291707344
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,12,5,275,108,436705876
829235909,KCab-p_R,,KCab-p,Traced,756,257,270,89,3,1,370647687
834044577,PAM06_b(B'2m)_R,,PAM06_b,Traced,910,139,1,,361,85,275767269
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,107,36,28,10,159577026
861280857,KCab-p_R,,KCab-p,Traced,664,252,202,84,18,7,381165541
861285145,KCab-p_R,,KCab-p,Traced,735,266,215,83,2,2,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,3,3,310,148,433072770
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,1,1,384,141,347955774
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,134,35,20,7,104991789
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,3,1,292,138,446443832
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,734,3,2722993954
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,8,2,313,115,409554421
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,1,,285,117,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,228,86,21,10,361940760
1016805008,KCab-p_R,,KCab-p,Traced,703,242,228,80,10,3,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,1,,5817,59,2083130629
1034198388,KCab-p_R,,KCab-p,Traced,733,260,219,79,31,11,361965654
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1616,276,11,1,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,9,4,7,6,327454873
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,1,,303,118,437209470
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,220,79,13,4,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,451,131,25,4,430816435
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,2,,6260,92,2226046804
1064891781,KCab-p_R,,KCab-p,Traced,741,271,178,79,7,3,389121740
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,7,4,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,953,186,7,1,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,155,42,7,2,135784276
1078874826,KCab-p_R,,KCab-p,Traced,586,221,215,75,7,2,360621538
1079215685,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,674,256,5,,318,138,460159372
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,133,41,11,3,96768615
1108545472,KCab-p_R,,KCab-p,Traced,628,250,181,88,6,2,345725929
1108545599,KCab-s_R,,KCab-s,Traced,608,251,162,82,2,1,315709589
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,9,2,5,3,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,8,2,606,148,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1243,291,19,2,720192159
1140950118,KCg-m_R,,KCg-m,Traced,761,244,8,1,1,2,335259195
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,1273,219,19,2,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,695,173,25,4,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,847,155,21,2,408798680
1141342260,KCg-m_R,,KCg-m,Traced,769,263,1,,3,1,375823592
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,1,,382,161,452309484
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,4,1,653,119,324421746
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,3,7,25,13,1054848410
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,1,,164,35,311773637
1173016042,KCg-m_R,,KCg-m,Traced,706,241,1,,12,5,346336785
1175070762,KCg-d_R,,KCg-d,Traced,646,251,5,3,10,3,369691167
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,3,,308,132,451995760
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,17,2,528,134,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1307,236,25,1,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,1230,239,9,1,444720536
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,2,1,245,123,411264180
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,52,9,25,5,659070629
1231744096,,,,Traced,641,75,1,,206,21,110174320
1233436396,PAM06_b(B'2m)_R,,PAM06_b,Traced,924,121,4,,409,79,240450436
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,241,53,47,16,239327987
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,1,,447,87,294286432
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,176,42,30,10,145351462
1293516024,KCa'B'_L?,,,Traced,261,110,4,1,68,30,93745473
1293524890,KCa'B'_L?,,,Traced,248,95,1,,112,41,101623491
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,6,,330,143,446959185
1294534661,,,,Traced,818,107,6,,206,20,117489620
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,67,16,6,2,225739136
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,7,2,588,131,317425488
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,1015,286,14,4,472380184
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,3,,262,135,428214535
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,12,4,299,113,429239588
1328505485,KCab-p_R,,KCab-p,Traced,723,261,237,94,6,1,394578410
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,955,290,28,14,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,765,239,15,7,355086914
1387575003,KCab-p_R,,KCab-p,Traced,706,261,262,89,6,1,398985389
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,109,36,10,3,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,107,35,32,10,193662875
1388585088,KCab-p_R,,KCab-p,Traced,635,220,253,91,2,1,352744706
1418273110,KCab-p_R,,KCab-p,Traced,608,250,212,84,4,2,278789370
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,183,65,4,2,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,17,7,6190229391
1418639946,,,,Orphan,17,2,11,,,1,10726428
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,828,157,14,1,383407340
1450011431,KCab-c_R,,KCab-c,Traced,328,134,84,35,1,3,211232050
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,14,8,244,95,407157814
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,8,2,339,66,394753648
5812979693,KCa'B'_L?,,,Traced,375,122,1,2,65,25,107809791
5812980425,KCab-s_R,,KCab-s,Traced,601,213,168,77,1,1,254520884
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,142,53,15,5,431109241
5812980792,KCab-p_R,,KCab-p,Traced,667,280,219,93,13,3,374117772
5812980938,KCab-p_R,,KCab-p,Traced,693,270,231,95,4,2,399456127
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,7,1,301,105,385557469
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,1,,335,160,447193387
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,3,1,308,123,487373247
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,17,5,243,76,390005539
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,1,404,186,446538834
5812981379,KCab-s_R,,KCab-s,Traced,570,236,161,89,2,1,300101280
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,2,,303,104,418827569
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,1,,303,122,417470359
5812981643,KCab-p_R,,KCab-p,Traced,682,252,234,96,8,3,374726947
5812981673,KCab-s_R,,KCab-s,Traced,594,236,168,93,,1,319135563
5812981680,KCab-p_R,,KCab-p,Traced,734,281,248,96,2,1,282267054
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,4,1,316,112,478708280
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,4,1,321,107,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,3,1,299,106,331043517
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,5,1,240,124,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,5,2,294,140,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,1,,320,111,414845645
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,7,3,295,114,365482537
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,8,4,306,123,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,155,62,1,1,363758686
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,13,4,315,119,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,6,1,338,120,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,225,78,4,1,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,190,66,14,4,389662255
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,12,6,306,114,386511183
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,257,61,6,1,200836501
5812983454,KCab-s_R,,KCab-s,Traced,498,215,136,63,,1,312078902
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,1,1,18,8,502377982
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,1,,301,115,415440030
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,105,32,76,29,151824685
5812996052,,,,Traced,609,368,102,36,5,9,688274394
5813010617,KCab-p_R,,KCab-p,Traced,675,277,219,90,19,4,391055197
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,8,,285,133,441233004
5813021033,KCab-p_R,,KCab-p,Traced,804,252,284,97,12,3,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,2,,277,136,441153613
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,1,,308,127,394108433
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,2,,323,127,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,2,,346,120,411808930
5813021788,KCab-p_R,,KCab-p,Traced,713,247,261,95,12,3,417804388
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,1,1,353,137,454399393
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,1,,307,154,464717750
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,1,,300,112,405326877
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,44,2,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,1,1,54,44,975624467
5813032943,KCab-p_R,,KCab-p,Traced,734,252,263,78,4,2,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,8,1,369,70,281021176
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,2,,341,135,486240013
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,2,,60,21,288587422
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,10,,265,120,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,18,4,308,121,437993906
5813055914,KCab-s_R,,KCab-s,Traced,650,235,162,72,1,1,322349102
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,4,,281,110,396399147
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,2,,14,1,2345461437
5813060643,KCab-p_R,,KCab-p,Traced,681,264,243,87,7,2,369871738
5813060663,KCg-m_R,,KCg-m,Traced,687,206,1,,4,1,376076661
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,6,2,280,132,436369804
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,7,1,294,101,391939830
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,4,3,311,124,440340877
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,8,3,287,94,373028028
5813079050,KCg-m_R,,KCg-m,Traced,688,239,3,,5,2,334513328
5813091744,KCab-p_R,,KCab-p,Traced,635,285,174,77,12,6,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,259,82,24,6,375350336
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,648,118,2,1,324522133
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,5,,291,123,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,1,,300,135,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,8630,1738,13555,3386,15191654896
5813114700,KCab-p_R,,KCab-p,Traced,746,234,261,80,16,1,347875742
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,1,,16,1,1200274635
