id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
754525744,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,244,3,2,190,97,440292610
767494105,KCab-p_R,,KCab-p,Traced,633,218,157,56,6,2,365582357
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,3,,185,88,419723448
798869986,KCab-s_R,,KCab-s,Traced,572,259,158,85,2,2,299310021
799219795,KCab-p_R,,KCab-p,Traced,661,250,247,96,4,2,362078093
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,1,,50,36,4762453854
817299301,KCa'b'-m_R,,KCa'b'-m,Traced,577,227,12,5,161,69,436705876
847293869,KCab-s_R,,KCab-s,Traced,577,243,186,102,4,1,297735426
861285145,KCab-p_R,,KCab-p,Traced,735,266,215,83,6,2,376842335
861630613,KCa'b'-m_R,,KCa'b'-m,Traced,662,275,3,3,191,98,433072770
877659583,KCab-m_R,,KCab-m,Traced,509,214,120,65,1,1,266281376
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,1,1,160,79,347955774
893347461,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,261,3,1,167,104,446443832
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,4979,43,2722993954
923700162,KCa'b'-m_R,,KCa'b'-m,Traced,660,241,8,2,189,88,409554421
939729237,KCab-s_R,,KCab-s,Traced,651,245,172,83,2,1,324312813
939733918,KCa'b'-m_R,,KCa'b'-m,Traced,632,240,1,,171,80,426089124
940075056,KCab-p_R,,KCab-p,Traced,726,259,228,86,11,1,361940760
1047835635,KCa'b'-m_R,,KCa'b'-m,Traced,666,240,1,,149,82,437209470
1064891781,KCab-p_R,,KCab-p,Traced,741,271,178,79,6,1,389121740
1079215685,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,674,256,5,,185,97,460159372
1170344185,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,715,259,1,,163,78,452309484
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,3,,165,91,451995760
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,2,1,162,92,411264180
1261989183,KCab-s_R,,KCab-s,Traced,617,232,172,85,1,1,230223045
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,6,,161,85,446959185
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,3,,202,106,428214535
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,12,4,121,63,429239588
1359553384,KCab-s_R,,KCab-s,Traced,599,259,167,91,1,2,330140818
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,,1,6190229391
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,14,8,117,55,407157814
5812980209,KCab-m_R,,KCab-m,Traced,544,211,174,73,2,1,263690557
