id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
849059197,hDeltaK_03_C3,EBFB34D5FB6,hDeltaK,Traced,1021,273,883,265,759012345
849162653,PFNp_d(PB01a)_L6_C5,PFNp_d,PFNp_d,Traced,87,19,26,16,92814524
849163019,vDeltaK_C5,FB1vD0FB4d5v,vDeltaK,Traced,365,55,364,55,173288903
849175947,vDeltaM_C6,FB1vD0FB4,vDeltaM,Traced,237,30,232,30,110440299
849421893,PFNm_b(PB02b)_R5_C6,PFNm_b,PFNm_b,Traced,427,124,106,89,265359039
849745643,hDeltaH_03_C2,FB2d4D3FB5,hDeltaH,Traced,3669,402,3666,402,973450703
849763224,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,652,115,27,66,354180079
849832062,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,418,87,38,54,259046164
849832122,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,189,47,14,25,140054048
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,39,65,258428930
850099854,FC1D(FQ6)_C6_R,FB2CRE,FC1D,Traced,577,154,563,135,331555779
850104005,PFNd(PB04)_R4_C6,,PFNd,Traced,1071,187,151,106,477327541
850117033,vDeltaD_C8,FB1D0FB6,vDeltaD,Traced,903,108,901,108,265742999
850181951,FS1B(FQ9)_C4_L,FB25SMPSMP,FS1B,Traced,499,100,434,2,240955135
850182049,hDeltaB_12_C10,FB34vD5FB34v,hDeltaB,Traced,2054,553,2046,553,859918846
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1711,4,1049700272
850462487,vDeltaK_C8,FB1vD0FB4d5v,vDeltaK,Traced,211,14,208,14,122023525
850492366,PFNp_c(PB01c)_L3_C2,PFNp_c,PFNp_c,Traced,505,116,44,68,281676820
850760107,hDeltaL_02_C2,FB26D5FB6d,hDeltaL,Traced,3301,366,3293,363,1002166691
850764542,hDeltaE_04_C3,FB17D3FB7,hDeltaE,Traced,3902,384,3890,384,1008094031
850829072,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,202,54,19,28,162438540
850829248,PFNp_c(PB01c)_L2_C1,PFNp_c,PFNp_c,Traced,489,96,50,62,254538077
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,1758,6,1238365051
851170296,PFNp_b(PB01b)_L3_C2,PFNp_b,PFNp_b,Traced,183,38,25,22,125236748
851200326,hDeltaD_13_C7,FB18D3FB8,hDeltaD,Traced,2667,428,2654,427,825599867
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,2887,3,981759380
853514696,CL344(PVM10)_R,pMP10 candidates,CL344,Traced,562,460,1,1,770254056
855250466,FB9C_a_R,SLPFB9_2,FB9C_a,Traced,658,115,319,107,356088611
858030363,FS2(FQ10)_C8_L,FB36SMP,FS2,Traced,624,119,567,43,180390712
858047578,FC2C(FQ7)_C3_R,FB1d367CRE,FC2C,Traced,1222,118,1190,86,257137036
858604252,FB2C_R,SMPCREFB2_1,FB2C,Traced,1526,268,671,261,537542259
858933153,FB4A_R,CRESMPFB4_1,FB4A,Traced,1506,145,1026,142,397631268
858937324,FB4D_R,CRESMPFB4_2,FB4D,Traced,1784,335,1069,299,650269006
859174595,AVLP444_R,,AVLP444,Traced,1210,681,1,1,1377146385
859372751,FB5A_L,LALCREFB5,FB5A,Traced,4336,1041,3211,1031,1759347763
859618655,FB4D_R,CRESMPFB4_2,FB4D,Traced,1648,336,1102,308,692407236
859714144,FB4Q_a_L,CRESMPFB4_5,FB4Q_a,Traced,1663,710,1023,700,824119372
859977121,FB4Q_a_R,CRESMPFB4_5,FB4Q_a,Traced,1811,619,1060,617,985860348
860305498,FB6N_R,CRESMPFB6_1,FB6N,Traced,2372,599,1804,583,1360706288
862036858,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,2133,770,857,711,1334560758
864073833,FB5V_R,CRELALFB5,FB5V,Traced,1389,217,127,197,679341918
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,21,31,153717522
878380399,PFNd(PB04)_R6_C4,,PFNd,Traced,969,202,163,119,454496955
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,14,27,137842641
878742820,vDeltaL_C5,FB1vD0FB4,vDeltaL,Traced,325,43,324,43,138946792
879183243,vDeltaM_C7,FB1vD0FB4,vDeltaM,Traced,215,59,171,50,145348560
879192161,FR1(FQ4)_C7_L,,FR1,Traced,1471,229,1021,9,405809556
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,53,128,502217851
879450931,hDeltaC_05_C5,FB26D7FB6,hDeltaC,Traced,1777,247,1776,246,584972327
879468563,PFGs(PB10)_R2_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1931,383,1825,368,808154342
879748663,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,536,105,28,59,302692993
879779401,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,257,61,21,30,171788398
