id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,#voxels
1200049187,ER5(ring)_L,,ER5,Traced,909,583,868,581,672605086
1200057627,ER5(ring)_L,,ER5,Traced,831,509,743,507,632645096
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,457,206,706646004
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,805,385,1008550189
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,163,4,571937645
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,899,466,883794470
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,482,202,524380567
1225601395,hDeltaI_05_C4,FB2345D5FB45v,hDeltaI,Traced,1506,132,10,5,372121784
1225640135,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1738,612,4,2,1746881001
1228683492,ExR8(ring)_L,,ExR8,Traced,1853,7,1335,5,639551659
1228692168,ExR6(ring)_L,,ExR6,Traced,4018,1807,4014,1804,2227699287
1229041905,,,,Orphan,7,2,7,2,591648
1229288307,ER3p_a(ring)_R,,ER3p_a,Traced,789,313,714,307,684820968
1229356957,,,,Orphan,14,8,14,8,5150253
1229361170,,,,Orphan,20,5,20,5,5588311
1229369776,ER2_b(ring)_R,,ER2_b,Traced,1110,341,1000,337,753897910
1229693898,,,,Orphan,19,1,19,1,1104835
1229710803,ER2_b(ring)_L,,ER2_b,Traced,1056,342,983,341,489584417
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,1810,547,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,1939,580,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,1830,534,760123557
1230034667,,,,Orphan,21,9,21,9,8939620
1230121634,ER3w_a(ring)_L,,ER3w_a,Traced,1169,359,1088,358,520348492
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,814,288,419079858
1230319275,ER3w_a(ring)_R,,ER3w_a,Traced,1009,302,876,298,733980587
1230324385,ER3w_b(ring)_R,,ER3w_b,Traced,823,282,737,277,714357173
1230379967,,,,Orphan,6,3,6,3,1606831
1230418919,,,,Orphan,45,17,45,17,15179825
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,1453,465,714272277
