id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,EB #post,EB #pre,#voxels
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,462,106,768,403,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,317,87,742,310,832431327
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,560,148,787,462,1065119131
1008378448,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6301,1791,354,45,1109,298,2716937442
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,567,125,773,335,994963622
1100792636,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,4658,1763,409,53,1255,374,1949749132
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,310,157,,1,1579340978
1125964630,PEN_a(PB06a)_R8,PEN1,PEN_a(PEN1),Traced,2100,598,584,136,885,461,1146383370
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,633,143,853,430,866409069
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,24,28,35,21,4308407118
1197993940,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1496,327,333,83,470,240,597758855
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,394,93,457,206,706646004
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,658,175,805,385,1008550189
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,605,173,899,466,883794470
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,506,104,482,202,524380567
1228683492,ExR8(ring)_L,,ExR8,Traced,1853,7,460,,1335,5,639551659
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,387,,1276,5,1170924542
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,540,113,792,301,839952860
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,646,146,691,318,619565622
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,445,89,553,275,467834236
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,57,34,6190229391
1508334312,PEN_a(PB06a)_L3,PEN1,PEN_a(PEN1),Traced,1937,604,567,121,831,481,945241267
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,524,97,535,215,535483990
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,546,,931,3,1111869658
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,383,79,596,235,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,450,112,659,325,883989562
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,449,62,1047,304,2846693400
5813047157,PEN_b(PB06b)_L2,PEN2,PEN_b(PEN2),Traced,1966,434,524,116,679,317,809851972
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,108,56,1798572771
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,436,108,657,315,766389254
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,323,56,1033,320,2082213746
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,,1,3486100136
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,499,101,745,298,904493834
5813080979,PEN_a(PB06a)_L5,PEN1,PEN_a(PEN1),Traced,1655,544,451,105,748,439,931602278
