id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
332504511,,,,Traced,130,47,126,46,1,1,25898578
332853941,,,,Traced,82,26,77,25,4,1,18320411
333177898,,,,Traced,73,22,73,21,,1,14498738
333177968,,,,Traced,109,38,99,34,10,4,26484864
333523535,,,,Traced,699,111,697,110,2,1,84325708
333536377,,,,Traced,51,22,47,21,4,1,14454944
333868337,,,,Traced,69,25,67,24,2,1,18185247
362853300,,,,Traced,58,27,50,24,3,3,15756649
362857131,,,,Traced,41,18,34,15,7,3,13846294
362857380,,,,Traced,73,33,65,29,7,2,20196932
362857567,,,,Traced,47,16,43,14,1,1,12127692
362857733,,,,Traced,32,10,28,9,4,1,9282469
362862579,,,,Traced,50,18,46,14,4,3,12085113
362862596,,,,Traced,33,17,26,10,1,2,9922854
363189684,,,,Traced,59,27,59,26,,1,18737335
363193712,,,,Traced,77,32,66,30,11,2,17803398
363198172,,,,Traced,61,30,52,28,8,1,19194183
363198369,,,,Traced,39,21,31,18,5,3,13563677
363198403,,,,Traced,46,19,43,17,3,2,13141064
363198448,,,,Traced,92,36,89,33,1,2,29029272
363202527,,,,Traced,64,28,62,26,,1,26712885
363202751,,,,Traced,95,42,90,38,2,3,26658839
363202780,,,,Traced,35,6,9,,26,6,11270892
363530865,,,,Traced,101,40,100,36,,1,19149181
363539516,,,,Traced,99,34,96,32,3,2,24154490
363543907,,,,Traced,49,16,43,14,6,2,12559180
364894970,,,,Traced,209,25,200,23,3,2,27005998
364911957,,,,Traced,87,33,84,31,3,1,20946966
393887728,,,,Traced,79,27,63,22,15,4,23250068
393887977,,,,Traced,34,12,23,9,9,3,8811204
393891936,,,,Traced,34,14,30,11,2,2,11022486
393892096,,,,Traced,30,16,25,13,4,1,10847212
393892668,,,,Traced,59,22,52,19,4,2,17154913
394224649,,,,Traced,48,17,43,14,5,3,11061277
394228960,,,,Traced,36,12,36,11,,1,8481756
394229089,,,,Traced,40,17,31,14,7,3,12429187
394233055,,,,Traced,57,18,52,17,4,1,14475813
394565689,,,,Traced,42,21,38,17,,1,16286491
394569793,,,,Traced,113,40,108,38,5,2,30083684
394574544,,,,Traced,72,28,66,25,4,2,15651209
394582572,,,,Traced,44,20,35,17,8,2,18275400
394582846,,,,Traced,54,20,52,19,,1,13433621
394582873,,,,Traced,24,11,4,,20,10,11134256
394582896,,,,Traced,41,14,36,11,5,3,14210117
394582988,,,,Traced,77,30,66,28,1,1,20640037
394906512,,,,Traced,45,17,38,16,7,1,11676588
394919729,,,,Traced,127,55,117,51,9,1,30998286
395247750,,,,Traced,54,18,52,17,2,1,13638442
395588869,,,,Traced,86,33,80,32,2,1,21014388
395601763,,,,Traced,112,42,109,40,3,2,26675469
396283938,,,,Traced,61,39,51,30,2,1,25828566
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,1,2,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,1,6,2,3,2320900064
424926789,,,,Traced,38,17,33,15,5,2,12237660
424927018,,,,Traced,41,15,24,11,15,3,10336193
424927146,,,,Traced,52,14,36,9,11,1,10254849
424927548,,,,Traced,32,15,1,,25,11,18186377
425263529,,,,Traced,72,31,10,4,61,27,31973230
425263865,,,,Traced,52,24,44,20,8,4,17484145
425613378,,,,Traced,46,23,11,1,34,22,28810472
425617734,,,,Traced,16,5,15,4,1,1,6325040
425617798,,,,Traced,8,6,4,2,4,3,3819195
425617805,,,,Traced,9,6,4,4,5,2,4069558
425941482,,,,Traced,59,24,52,19,2,1,15801138
426623651,,,,Traced,44,23,43,22,1,1,14294499
455961961,,,,Traced,676,139,231,40,424,91,111338720
455962621,,,,Traced,181,75,7,1,129,45,58481452
455967353,,,,Traced,32,16,1,,30,15,13464845
455967474,,,,Traced,93,53,6,5,86,48,41126312
