id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
364894970,,,,Traced,209,25,3,2,200,23,27005998
364911957,,,,Traced,87,33,3,1,84,31,20946966
393887728,,,,Traced,79,27,15,4,63,22,23250068
393887940,,,,Traced,27,12,3,,20,10,9260224
393887977,,,,Traced,34,12,9,3,23,9,8811204
393891936,,,,Traced,34,14,2,2,30,11,11022486
393892096,,,,Traced,30,16,4,1,25,13,10847212
393892199,,,,Traced,28,15,5,,23,14,9690729
393892668,,,,Traced,59,22,4,2,52,19,17154913
394224649,,,,Traced,48,17,5,3,43,14,11061277
394229065,,,,Traced,66,43,2,,59,41,27237099
394229089,,,,Traced,40,17,7,3,31,14,12429187
394233055,,,,Traced,57,18,4,1,52,17,14475813
394565411,,,,Traced,74,33,2,,65,32,20265999
394565553,,,,Traced,71,22,1,,59,20,17812686
394569793,,,,Traced,113,40,5,2,108,38,30083684
394569917,,,,Traced,97,42,1,,93,39,21524037
394569979,,,,Traced,57,23,2,,55,23,11174201
394574544,,,,Traced,72,28,4,2,66,25,15651209
394582572,,,,Traced,44,20,8,2,35,17,18275400
394582896,,,,Traced,41,14,5,3,36,11,14210117
394582988,,,,Traced,77,30,1,1,66,28,20640037
394906512,,,,Traced,45,17,7,1,38,16,11676588
394919729,,,,Traced,127,55,9,1,117,51,30998286
394923955,,,,Traced,17,8,3,,14,8,5067268
395247750,,,,Traced,54,18,2,1,52,17,13638442
395588869,,,,Traced,86,33,2,1,80,32,21014388
395601763,,,,Traced,112,42,3,2,109,40,26675469
396283938,,,,Traced,61,39,2,1,51,30,25828566
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,1,2,27,8,5265462913
424918786,PPL107(PDL05)_L,,PPL107,Traced,7622,3353,2,3,1,6,2320900064
424926789,,,,Traced,38,17,5,2,33,15,12237660
424927018,,,,Traced,41,15,15,3,24,11,10336193
424927146,,,,Traced,52,14,11,1,36,9,10254849
425263529,,,,Traced,72,31,61,27,10,4,31973230
425263865,,,,Traced,52,24,8,4,44,20,17484145
425268123,,,,Traced,87,32,5,,76,31,23698638
425605155,,,,Traced,51,19,2,,49,19,11655179
425613378,,,,Traced,46,23,34,22,11,1,28810472
425617523,,,,Traced,41,14,1,,40,14,9855283
425617734,,,,Traced,16,5,1,1,15,4,6325040
425617798,,,,Traced,8,6,4,3,4,2,3819195
425617805,,,,Traced,9,6,5,2,4,4,4069558
425941482,,,,Traced,59,24,2,1,52,19,15801138
425941529,,,,Traced,40,18,2,,37,16,11696035
426623651,,,,Traced,44,23,1,1,43,22,14294499
455961961,,,,Traced,676,139,424,91,231,40,111338720
455962621,,,,Traced,181,75,129,45,7,1,58481452
455967474,,,,Traced,93,53,86,48,6,5,41126312
456302927,,,,Traced,43,20,29,16,7,1,25208234
456303359,,,,Traced,47,21,1,1,46,20,17135414
456311730,,,,Traced,93,54,83,51,8,2,36591698
456648216,,,,Traced,371,33,27,2,344,31,35142557
456648380,,,,Traced,30,15,26,13,1,1,19333097
456648435,,,,Traced,13,4,4,2,9,2,4657183
456652970,,,,Traced,15,5,2,,13,5,5345001
456653004,,,,Traced,74,31,63,27,9,3,25765310
457196444,MBON18(a2sc)(PDL05)_L,,MBON18,Traced,2723,522,6,,2274,53,848699136
457658357,,,,Traced,41,22,1,,40,22,13772773
458016904,,,,Traced,30,18,26,15,2,2,15253611
458016957,,,,Traced,97,37,84,34,9,2,45770694
458017012,,,,Traced,22,10,1,,19,10,6551811
486997200,,,,Traced,129,16,109,13,12,3,19402594
487006268,,,,Traced,89,10,63,7,10,2,13833013
487006336,,,,Traced,9,4,6,2,3,1,5572031
487334232,,,,Traced,44,27,36,21,4,4,28125352
487334519,,,,Traced,99,46,88,40,6,1,38143710
487342416,,,,Traced,24,10,24,9,,1,8276084
487342501,,,,Traced,77,35,72,32,5,3,26566442
487346341,,,,Traced,112,51,105,48,4,2,37068907
487674743,,,,Traced,40,19,31,14,6,3,25399972
488710557,,,,Traced,13,10,2,,11,10,6146934
488710636,,,,Traced,42,14,1,2,41,12,9692976
488710642,,,,Traced,10,4,2,,4,4,6387720
