id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,FB #post,FB #pre,#voxels
1199383847,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,467,143,3,2,459,135,256856618
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,1,,98,12,571937645
1225951007,hDeltaK_07_C6b,EBFB34D5FB6,hDeltaK,Traced,772,237,43,17,656,215,591343919
1229784715,,,,Assign,2,2,2,1,,1,500802
1250920325,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,333,70,4,,251,69,139418506
1250924355,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,300,62,6,,220,53,109601068
1254947903,FB1F_L,SMPSIPFB1d,FB1F,Traced,891,294,5,1,500,284,462757721
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,7,3,1412316280
1259424853,vDeltaE_C9,FB123D0FB6v,vDeltaE,Traced,730,116,5,3,725,113,250819951
1260482284,TuBu_L,,,Traced,55,49,48,37,7,12,27286169
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,2,1,,1,720375603
1261130127,FS2(FQ10)_C9_L,FB36SMP,FS2,Traced,634,107,9,1,578,26,241830160
1261130146,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,569,162,3,4,556,156,191060528
1291517433,TuBu_L,,,Traced,14,42,14,41,,1,39346786
1310822912,vDeltaD_C0,FB1D0FB6,vDeltaD,Traced,1028,119,9,,1012,119,318503630
1310831405,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,361,95,6,3,162,67,182768483
1317354662,FB2B_b_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_b,Traced,1478,594,2,,1415,593,1134982630
1321745141,vDeltaE_C0,FB123D0FB6v,vDeltaE,Traced,965,145,15,9,946,135,292146165
1321749057,vDeltaF_C0,FB123D0FB5d,vDeltaF,Traced,839,126,4,,827,126,253026318
1322522242,PFR_a(PB11a)_L1_C9_irreg,,PFR_a,Traced,1321,421,8,2,1276,413,428674792
1322531033,vDeltaF_C8,FB123D0FB5d,vDeltaF,Traced,890,117,6,,883,117,275609880
1323221783,FS3(FQ11)_C9_L,FB1d367SMP,FS3,Traced,246,47,2,,208,5,163364638
1323225422,,,,Orphan,31,7,2,,29,7,5333805
1342539738,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,157,34,1,,145,34,142241933
1354960114,TuBu_L,,,Traced,37,74,37,73,,1,47565592
1374731590,FS4A(FQ12)_C9_L,FB138SMP,FS4A,Traced,173,54,1,2,150,10,113504191
1384618560,,,,Orphan,73,13,10,1,63,12,10233326
1385291666,vDeltaC_C9,FB1D0FB7_2,vDeltaC,Traced,533,89,5,,528,89,199799582
1385291703,vDeltaA_b_C9,FB1D0FB8,vDeltaA_b,Traced,275,58,2,1,270,57,158923129
1442176747,FB1A_L,SMPSIPFB13,FB1A,Traced,737,289,1,,416,284,510559857
1443946326,vDeltaA_a(AB)_C8,AF,vDeltaA_a,Traced,395,79,5,,268,68,169684053
1475318548,vDeltaA_a(AB)_C8,AF,vDeltaA_a,Traced,340,69,2,1,217,56,153672077
1534616031,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,355,61,2,1,245,54,133282345
1534616068,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,304,63,9,4,206,49,124459212
1536986537,SA2_a_cont_L,SlpA,SA2_a,Traced,232,76,1,,8,6,86251374
1537686032,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,239,56,2,,151,47,117877085
1539758131,vDeltaA_b(AB)_C0,AF,vDeltaA_b,Traced,234,65,3,4,209,61,163709347
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,4,1,1070,103,291314908
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,1,,20,1,1255365813
5813020698,FB7B_R,SMPSLPFB7; PPL1-FB candidates,FB7B,Traced,2572,733,1,,1621,686,1337426382
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,9,1,1950,725,1173703683
5813026514,FB6D_L,SMPFB6,FB6D,Traced,2916,1240,4,,2351,1113,2079290194
5813033535,FC2B(FQ7)_C9_R,FB1d356CRE,FC2B,Traced,2127,199,1,,2087,150,412650181
5813038173,FB2I_a_L,SMPATLFB2,FB2I_a,Traced,1459,622,1,,1174,590,887590704
5813044992,vDeltaF_C0,FB123D0FB5d,vDeltaF,Traced,832,130,6,,819,130,303492055
5813049824,FB6E_R,SIPSMPFB6_2,FB6E,Traced,2796,1326,2,1,2026,1310,2124316709
5813050747,FB6C_b_L,SIPSMPFB6_1,FB6C_b,Traced,917,774,2,,642,699,1427106975
5813054173,vDeltaB_C9,FB1D0FB7_1,vDeltaB,Traced,461,88,4,,454,88,210532227
