id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,EB #post,EB #pre,#voxels
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,57,34,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,159,103,4615,321,1568187447
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,550,132,1505,598,1184449527
1601715638,ExR8(ring)_R,,ExR8,Traced,1685,441,30,56,931,3,1111869658
1730608428,ExR4(ring)_R,,ExR4,Traced,8268,1288,2938,34,5133,1250,3333716175
5812979604,ER5(ring)_R,,ER5,Traced,1065,603,1,,958,600,1229144757
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,753,671,,1,2164861052
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,1634,185,447,320,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,43,3,635,210,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,135,175,2589,399,1478126146
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,142,82,3503,255,1075949177
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,130,75,2836,253,1213503168
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,421,1,1047,304,2846693400
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,426,31,9,5,1501021625
5813047647,ER2_c(ring)_R,,ER2_c,Traced,1683,504,1,,1559,503,964961055
5813048896,ER2_c(ring)_R,,ER2_c,Traced,1420,471,1,,1305,469,1013861975
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,13,3,1630,908,1556793027
5813053866,ER4m(ring)_R,,ER4m,Traced,1856,997,42,,1685,997,1738139052
5813053988,ER3w_a(ring)_R,,ER3w_a,Traced,1230,346,1,,1146,342,758610895
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,537,22,108,56,1798572771
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,111,5,424,94,521205033
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,11,7,1331,348,1931391198
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,,1,3486100136
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,5,,1,1,467187303
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,1,,1027,322,743357121
