id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,306,123,21,9,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,224,117,363758686
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,286,114,3,3,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,347,101,2,1,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,315,119,7,4,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,338,120,3,1,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,4,1,192,78,384605451
5812982782,KCab-p_R,,KCab-p,Traced,677,228,14,4,193,82,389662255
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,306,114,21,3,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,300,124,4,1,436809854
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,18,8,513,176,502377982
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,310,151,4,1,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,395,153,7,2,449532868
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,256,79,6,2,436690709
5813010617,KCab-p_R,,KCab-p,Traced,675,277,19,4,169,87,391055197
5813019609,KCab-s_R,,KCab-s,Traced,620,266,2,,209,111,318658265
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,325,122,2,1,434014408
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,285,133,1,1,441233004
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,356,169,,1,472995790
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,38,14,13,3,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,12,3,252,92,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,277,136,14,10,441153613
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,20,6,326,133,248528210
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,288,93,3,1,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,308,127,26,13,394108433
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,346,120,21,11,411808930
5813021788,KCab-p_R,,KCab-p,Traced,713,247,12,3,223,84,417804388
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,386,160,2,1,478993126
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,331,167,5,2,455112693
