id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,FB #post,FB #pre,#voxels
1158507458,PFNp_e(PB01a)_L8_C7,PFNp_e,PFNp_e,Traced,287,75,97,3,12,33,179574042
1158507467,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,168,57,21,,25,26,123595201
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,210,20,1345,111,639370086
1159530101,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,347,96,80,,29,58,197650113
1160833169,PFNp_b(PB01b)_L2_C1,PFNp_b,PFNp_b,Traced,148,41,42,,31,25,134082097
1164269666,PFR_a(PB11a)_R3_C7,PFR_a,PFR_a,Traced,1443,390,49,2,1386,380,474982361
1164597572,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,140,50,20,1,21,28,113308724
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,907,6,2093,6,1481422725
1167956458,PFR_a(PB11a)_R7_C3,PFR_a,PFR_a,Traced,1518,464,53,1,1458,452,507060988
1167965225,EL(EQ5)_R,EBGAs,EL,Traced,4003,873,1,,4,2,1203007342
1168314368,PFR_a(PB11a)_R8_C2,PFR_a,PFR_a,Traced,1351,412,47,2,1291,405,501206113
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,387,137,28,5,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,173,144,20,2,1000269781
1187693355,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,162,44,24,,32,28,142162178
1187831582,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,682,181,279,1,45,113,384194515
1187844616,PFNd(PB04)_L9_C8,,PFNd,Traced,1212,301,333,,292,191,502728141
1188043606,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,114,29,9,,34,23,107834774
1188163963,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,580,121,122,,72,72,251157582
1188181261,PFNd(PB04)_L9_C8,,PFNd,Traced,1132,276,288,1,260,157,489974838
1188371481,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,151,53,51,,16,34,139693719
1188716311,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,152,31,48,,29,19,127026545
1189549476,PFNm_b(PB02b)_L9_C9,PFNm_b,PFNm_b,Traced,375,88,102,,77,53,200887917
1189882785,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,135,48,18,,24,32,111933746
1189887646,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,160,43,16,,31,25,116529422
1189891402,PFGs(PB10)_L8_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1643,285,153,22,1418,241,588763195
1192588945,,,,Traced,58,54,39,21,10,2,129657055
1195606601,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1159,385,95,,991,332,454288161
1198749960,PFGs(PB10)_L1_C9_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2064,406,199,21,1754,349,961787424
1200027441,PFGs(PB10)_L9_C9,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1455,259,80,4,1335,244,495589091
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,663,4,3920,4,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,782,5,2113,5,1532312771
1217372569,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,181,19,57,,23,17,115773155
1217385533,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,798,169,379,,65,117,490492585
1217394039,PFNm_b(PB02b)_R9_C1,PFNm_b,PFNm_b,Traced,536,113,175,1,121,82,253744616
1218728463,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,242,66,64,,38,38,134505617
1218728541,PFNa(PB03)_R9_C1,PFNa,PFNa,Traced,864,195,328,3,59,128,527636691
1218728544,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,189,55,45,,35,36,130675048
1218728570,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1423,315,561,,10,14,706646004
1218728588,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,207,56,75,,16,29,144326219
1218732781,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1297,275,529,3,244,166,652471029
1218732931,PFNd(PB04)_R9_C1,PFNd,PFNd,Traced,1361,263,488,2,276,169,598588168
1218733141,PFNp_b(PB01b)_R9_C2,PFNp_b,PFNp_b,Traced,186,51,38,,11,22,145939775
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,525,154,98,12,571937645
1219069788,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,310,73,112,4,19,35,170005012
1219410844,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,189,49,54,,22,22,143591103
1219756158,PFNp_a(PB01a)_R9_C2,PFNp_a,PFNp_a,Traced,288,76,138,2,17,33,170645565
1219889738,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,258,82,53,,20,43,184585387
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,324,,1,1,883794470
1220581302,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,135,50,27,,13,21,107373795
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,355,1,3,11,524380567
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,120,33,23,59,323395635
1224249917,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,556,106,260,,41,72,324744105
1224254476,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,513,99,229,,35,53,279492497
1224936588,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,443,108,173,2,31,66,297415403
1229093930,hDeltaC_06_C6,FB26D7FB6,hDeltaC,Traced,1460,256,1,,1457,256,587825564
1248424794,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,235,62,74,,22,26,167706792
1248765883,PFNp_d(PB01a)_R9_C2,PFNp_d,PFNp_d,Traced,167,23,43,,38,21,109632660
1248770299,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,472,105,128,,31,67,248764575
1249098248,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,414,95,118,,32,63,245492361
1249102842,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,138,29,17,,96,23,126324189
1249763220,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,466,85,138,,28,44,230917019
1249763369,PFNp_d(PB01a)_R9_C2,PFNp_d,PFNp_d,Traced,103,16,22,,42,13,112838515
1250113157,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,185,50,47,,11,19,138462094
1250113288,PFNp_e(PB01a)_R9_C2,PFNp_e,PFNp_e,Traced,376,77,119,1,23,32,201082822
1250233662,vDeltaC_C0,FB1D0FB7_2,vDeltaC,Traced,524,98,1,,519,97,220595824
1251265590,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,129,48,14,,10,21,122289121
1251265778,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,147,49,35,,29,31,119435766
1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PFNp_e,Traced,248,70,74,3,12,25,153099415
1251275120,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,570,150,240,,55,107,357032990
1251952397,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,186,55,31,,13,22,112002974
1255297613,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,559,113,242,,43,71,316317120
1255638782,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,531,117,174,,34,74,325866264
1256376704,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,258,79,51,4,15,34,201325134
1258073453,PFL3(PB12c)_L1_C8_irreg,PB1-7FB1245LAL,PFL3,Traced,2164,6,322,1,1832,5,822785872
1258686925,PFL3(PB12c)_L2_C4,PB1-7FB1245LAL,PFL3,Traced,2916,481,499,1,2285,12,1251526591
1259097611,PFR_a(PB11a)_L8_C8,PFR_a,PFR_a,Traced,1283,446,53,1,1155,378,342984622
1282300415,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,183,61,50,,12,25,123262281
1282305753,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,164,47,4,,35,26,118136261
1282646571,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,156,56,28,,33,30,118912206
1282991279,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,150,46,16,,4,18,126159058
1286315568,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,543,107,251,,33,67,300802409
1287411513,PFNp_d(PB01a)_R6_C5,PFNp_d,PFNp_d,Traced,89,22,2,,52,21,101264112
1292423935,PFL1(PB12a)_L3_C4,PFLC,PFL1,Traced,1166,283,617,1,478,2,1202334420
1310499077,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,635,147,127,,50,88,310431039
1312308001,PFNp_d(PB01a)_L9_C8,PFNp_d,PFNp_d,Traced,93,25,7,,39,21,93569360
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,438,2,7,19,839952860
1320799646,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,174,65,61,4,18,37,128176386
1320799685,vDeltaL_C7,FB1vD0FB4,vDeltaL,Traced,348,33,1,,336,33,133335873
1322522242,PFR_a(PB11a)_L1_C9_irreg,,PFR_a,Traced,1321,421,34,,1276,413,428674792
1345056477,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,121,26,28,,37,21,103644725
1348769299,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,212,35,77,,31,20,115742706
1349114660,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,114,40,36,,9,18,127554851
1349114669,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,230,44,121,,34,30,138581517
1349114715,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,434,54,117,,19,19,222259750
1350803100,PFNp_a(PB01a)_R5_C6,PFNp_a,PFNp_a,Traced,260,87,82,,53,63,175051158
1351838607,vDeltaM_C7,FB1vD0FB4,vDeltaM,Traced,210,34,1,,200,34,125678970
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,458,1,4,23,619565622
1380145201,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,317,78,73,,14,37,163099219
1380145267,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,179,50,47,,22,25,131950425
1380149563,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,258,60,42,,11,25,161678827
1380149683,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,296,70,57,1,9,38,191121333
1380408540,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,204,39,36,,58,28,123772072
1380408769,PFNp_d(PB01a)_R7_C4,PFNp_d,PFNp_d,Traced,178,31,28,,70,27,126155522
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,560,2,2226,8,1437029317
1410105306,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,346,67,122,2,28,33,186565124
1410118722,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,133,18,32,,37,16,118974380
1410122382,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,538,95,92,,79,55,245546738
1410122586,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,475,86,128,,34,57,235054644
1410122843,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,210,46,98,,19,22,134434265
1410122892,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,435,80,120,,27,48,236861136
1410127303,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,435,96,81,1,36,54,238160891
1410127581,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,421,94,60,1,60,55,222599797
1410450511,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,498,86,179,,84,50,216523210
1410450514,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,209,58,96,3,16,29,137642051
1410450576,PFNp_d(PB01a)_R6_C5,PFNp_d,PFNp_d,Traced,106,27,24,,44,27,102460746
1410450694,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,186,47,51,,18,22,144402524
