id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,#voxels
1200126958,,,,Traced,1,3,1,3,809125
1225951007,hDeltaK_07_C6b,EBFB34D5FB6,hDeltaK,Traced,772,237,43,17,591343919
1229447349,TuBu_L,,,Traced,65,56,65,56,39396179
1229447894,,,,Assign,2,2,2,2,434518
1229710803,ER2_b(ring)_L,,ER2_b,Traced,1056,342,70,1,489584417
1229784715,,,,Assign,2,2,2,1,500802
1229789065,TuBu_L,,,Traced,52,58,52,58,39902536
1229793161,TuBu_L,,,Traced,39,50,39,50,32097283
1229797728,,,,Assign,1,2,1,2,1752272
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,4,1,777031418
1230121634,ER3w_a(ring)_L,,ER3w_a,Traced,1169,359,73,1,520348492
1230125667,TuBu_L,,,Traced,86,78,86,78,59375949
1230125720,ER3w_b(ring)_L,,ER3w_b,Traced,905,291,86,3,419079858
1230129442,TuBu_L,,,Traced,47,47,47,47,28488675
1230134123,,,,Traced,5,10,5,10,10411883
1230134666,TuBu_L,,,Traced,36,43,36,43,24751496
1230457693,,,,Assign,7,2,7,2,755646
1230466972,TuBu_L,,,Traced,38,42,38,42,24515165
1230467076,TuBu_L,,,Traced,57,66,57,66,38698145
1230475939,,,,Traced,42,1,42,1,11701554
1230480261,ER2_c(ring)_L,,ER2_c,Traced,1499,466,41,1,714272277
1230738118,ER5(ring)_L,,ER5,Traced,942,582,59,1,748275083
1230742431,ER5(ring)_L,,ER5,Traced,833,549,97,4,664568996
1230808253,TuBu_L,,,Traced,36,53,36,53,32787696
1230812483,TuBu_L,,,Traced,37,39,37,39,25349754
1230817166,,,,Traced,46,36,46,36,22949377
1230820888,,,,Traced,2,5,2,5,2834442
1230820988,,,,Traced,23,14,23,14,11239146
1231066741,ER5(ring)_L,,ER5,Traced,908,532,67,1,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,65,1,727012684
1231148440,TuBu_L,,,Traced,45,51,45,51,26453227
1231156862,,,,Assign,1,2,1,2,812554
1231157822,TuBu_L,,,Traced,30,83,30,83,79784703
1231161650,,,,Traced,1,4,1,4,1232026
1231161873,,,,Traced,9,6,8,6,5686966
1254947903,FB1F_L,SMPSIPFB1d,FB1F,Traced,891,294,5,1,462757721
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,3,2,1412316280
1259424853,vDeltaE_C9,FB123D0FB6v,vDeltaE,Traced,730,116,5,3,250819951
1260422110,ER2_b(ring)_L,,ER2_b,Traced,1127,365,48,2,509412854
1260482284,TuBu_L,,,Traced,55,49,48,37,27286169
1260483291,TuBu_L,,,Traced,53,66,53,66,42628808
1260827508,,,,Orphan,5,7,5,7,3023385
1260828664,TuBu_L,,,Traced,16,40,16,40,33415450
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,2,1,720375603
1261082560,ER3d_c(ring)_L,,ER3d_c,Traced,1244,310,99,3,489057745
1261086755,ER3d_a(ring)_L,,ER3d_a,Traced,1256,317,79,1,478005108
1261086823,ER3d_c(ring)_L,,ER3d_c,Traced,1184,324,70,1,463812051
1261086863,ER3d_a(ring)_L,,ER3d_a,Traced,1224,371,15,2,485081929
1261091157,ER3d_c(ring)_L,,ER3d_c,Traced,1167,314,99,1,448559244
1261091174,ER3d_a(ring)_L,,ER3d_a,Traced,1209,343,62,3,480597935
1261130127,FS2(FQ10)_C9_L,FB36SMP,FS2,Traced,634,107,9,1,241830160
1261130146,FC3(FQ8)_C9_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,569,162,3,4,191060528
1261169514,ER3p_a(ring)_L,,ER3p_a,Traced,888,319,77,4,456720664
1261427857,ER3d_a(ring)_L,,ER3d_a,Traced,1229,362,72,1,507377955
1261427999,ER3d_d(ring)_L,,ER3d_d,Traced,1016,281,55,2,427621763
1261432052,ER3d_d(ring)_L,,ER3d_d,Traced,1072,308,77,2,408158416
1261432076,ER3d_b(ring)_L,,ER3d_b,Traced,1092,294,99,1,395209851
1261432159,ER3d_b(ring)_L,,ER3d_b,Traced,1103,294,77,4,413438615
1261505844,TuBu_L,,,Traced,38,47,38,47,28378800
1261510381,TuBu_L,,,Traced,34,50,34,50,33881883
1261510477,,,,Traced,4,9,4,9,7305242
1261751722,ER5(ring)_L,,ER5,Traced,921,595,77,2,698507725
1261764651,ER3m(ring)_L,,ER3m,Traced,863,236,14,1,375382737
1261847048,TuBu_L,,,Traced,34,41,34,41,22978550
1261851616,TuBu_L,,,Traced,22,42,22,42,47752743
1261851641,TuBu_L,,,Traced,31,38,31,38,29102002
1262105601,ER3a_a(ring)_L,,ER3a_a,Traced,666,232,1,1,304896212
1262183558,,,,Traced,5,10,1,1,10664662
1291517433,TuBu_L,,,Traced,14,42,14,41,39346786
1291517755,,,,Orphan,10,1,9,1,2292613
1291780631,ER3m(ring)_L,,ER3m,Traced,957,340,33,3,467326307
1291780710,ER3m(ring)_L,,ER3m,Traced,980,339,5,1,434835505
1291859132,TuBu_L,,,Traced,15,64,15,64,48367089
1291859193,TuBu_L,,,Traced,35,55,35,55,40468819
1291859202,TuBu_L,,,Traced,28,60,28,60,39564582
1292113218,ER3d_a(ring)_L,,ER3d_a,Traced,1092,352,39,3,483972181
1292203727,TuBu_L,,,Traced,28,76,28,76,68405806
1292445517,ER3d_b(ring)_L,,ER3d_b,Traced,975,291,85,2,389186608
1292458303,ER3d_b(ring)_L,,ER3d_b,Traced,1010,304,87,2,429372106
1292458366,ER3d_d(ring)_L,,ER3d_d,Traced,1078,292,70,1,394513936
1292799346,ER3m(ring)_L,,ER3m,Traced,924,333,1,2,449128238
1293231275,TuBu_L,,,Traced,14,45,11,35,45230423
1310831405,vDeltaA_a(AB)_C0,AF,vDeltaA_a,Traced,361,95,6,3,182768483
1321745141,vDeltaE_C0,FB123D0FB6v,vDeltaE,Traced,965,145,15,9,292146165
1322470509,ER3p_a(ring)_L,,ER3p_a,Traced,888,311,52,2,483419657
1322470594,ER3p_a(ring)_L,,ER3p_a,Traced,839,301,100,3,454009178
1322522242,PFR_a(PB11a)_L1_C9_irreg,,PFR_a,Traced,1321,421,8,2,428674792
1322811128,ER3p_b(ring)_L,,ER3p_b,Traced,1031,348,122,5,432036907
1322811160,ER3p_b(ring)_L,,ER3p_b,Traced,1038,317,114,2,424647554
1322811232,ER3p_b(ring)_L,,ER3p_b,Traced,973,340,126,7,453208049
1322893627,TuBu_L,,,Traced,28,56,28,55,36125396
1322893820,TuBu_L,,,Traced,10,70,10,70,54569461
1323579734,,,,Assign,1,3,1,3,615531
1323579826,,,,Assign,2,3,2,3,791120
1323580195,TuBu_L,,,Traced,19,62,19,62,62100415
1353597183,,,,Traced,1,4,1,4,1264988
1354951374,,,,Traced,68,78,4,4,211741494
1354955616,TuBu_L,,TuBu03,Traced,24,56,24,56,30502824
1354955765,,,,Traced,27,17,27,17,12902558
1354955783,TuBu_L,,,Traced,24,62,24,62,32047224
1354960114,TuBu_L,,,Traced,37,74,37,73,47565592
1355300895,,,,Assign,3,3,3,3,6345571
1374731590,FS4A(FQ12)_C9_L,FB138SMP,FS4A,Traced,173,54,1,2,113504191
1384618560,,,,Orphan,73,13,10,1,10233326
1384627000,,,,Traced,3,7,1,2,5296676
1385291703,vDeltaA_b_C9,FB1D0FB8,vDeltaA_b,Traced,275,58,2,1,158923129
1385300367,TuBu_L,,,Traced,35,75,35,75,56256016
1385304279,TuBu_L,,,Traced,27,72,27,72,54036534
1385304410,TuBu_L,,TuBu03,Traced,32,102,32,102,55298517
1385641076,TuBu_L,,,Traced,16,61,16,61,49540560
1385644853,,,,Orphan,16,1,16,1,3344303
1385649800,TuBu_L,,,Traced,22,75,22,75,41650104
1385653883,TuBu_L,,TuBu03,Traced,15,68,15,68,45010022
1385653892,TuBu_L,,TuBu03,Traced,28,59,28,59,41346193
1385986357,,,,Assign,3,2,3,2,637644
1385995088,TuBu_L,,,Traced,20,68,20,68,44001651
1385995243,,,,Traced,6,9,6,9,6243647
1386331495,,,,Traced,16,3,13,1,6305568
1386331778,,,,Traced,6,8,6,8,11500572
1386335901,,,,Traced,1,5,1,5,1889397
1386336563,TuBu_L,,,Traced,18,29,18,29,36723131
1415316443,,,,Traced,44,83,1,1,59709895
1416685382,TuBu_L,,,Traced,24,60,24,60,43695946
1416685490,TuBu_L,,,Traced,20,64,20,64,32937418
1416688528,,,,Traced,9,10,9,10,8803752
1416688765,,,,Traced,17,37,17,37,32769164
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,26,2,783143047
1417025473,,,,Orphan,13,1,13,1,4232712
1417366845,,,,Traced,13,50,13,48,45335681
1417366991,,,,Traced,19,1,18,1,8260464
1417707944,,,,Assign,1,3,1,3,1550394
1447724033,,,,Assign,1,2,1,2,1120619
1448746977,,,,Assign,2,2,2,2,649246
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,86,139,1184449527
1475318548,vDeltaA_a(AB)_C8,AF,vDeltaA_a,Traced,340,69,2,1,153672077
1478750124,,,,Assign,1,2,1,2,817357
1534616031,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,355,61,2,1,133282345
1534616068,vDeltaA_a(AB)_C9,AF,vDeltaA_a,Traced,304,63,9,4,124459212
1539758131,vDeltaA_b(AB)_C0,AF,vDeltaA_b,Traced,234,65,3,4,163709347
1570111396,FC2B(FQ7)_C9_L,FB1d356CRE,FC2B,Traced,1118,147,4,1,291314908
1572390197,LAL074_R,SpVeL-LSpIp(c)1,LAL074,Traced,5490,41,1,2,1921960807
5812979082,ER2_d(ring)_L,,ER2_d,Traced,1176,428,77,1,572310338
5812979459,ER3p_a(ring)_L,,ER3p_a,Traced,944,326,140,2,496722478
5812979686,ER3d_b(ring)_L,,ER3d_b,Traced,1090,304,70,4,405691680
5812989113,TuBu_L,,,Traced,16,45,16,45,43183173
5813013152,ATL013(PDL05)_L,,ATL013,Traced,181,216,1,1,292304495
5813020587,ER3d_c(ring)_L,,ER3d_c,Traced,1097,301,81,5,492947812
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,9,1,1173703683
