id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
571424636,KCg-m_R,,KCg-m,Traced,802,249,507,200,364253672
571424650,KCg-m_R,,KCg-m,Traced,819,287,447,242,367937605
571424748,KCg-m_R,,KCg-m,Traced,763,254,472,201,371430142
571778381,KCg-m_R,,KCg-m,Traced,717,243,451,193,364736474
571778433,KCg-m_R,,KCg-m,Traced,765,249,455,206,372334074
579230376,SMP031_R,,SMP031,Traced,1263,224,27,1,657896038
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,40,1,1823088730
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,3,2,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,17,10,417324948
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,9,7,391955328
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,909,198,417405171
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,11,8,452235552
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,10,17,470261330
581060581,CRE027_R,,CRE027,Traced,1821,325,35,3,1320584874
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,651,132,343929818
581678043,CRE051_R,,CRE051,Traced,1335,185,9,2,433534708
582101022,SMP116_R,,SMP116,Traced,3184,702,1,1,1840967376
582355376,PAM08_e(y4)_R,,PAM08_e,Traced,640,136,311,107,285136614
582372162,,,,Traced,418,690,19,4,776986494
600356751,KCg-m_R,,KCg-m,Traced,741,235,414,198,368873553
600684832,KCg-m_R,,KCg-m,Traced,783,232,506,194,347431202
600693904,KCg-m_R,,KCg-m,Traced,770,208,497,179,346361856
600702348,KCg-m_R,,KCg-m,Traced,756,222,460,181,367614992
600702483,KCg-m_R,,KCg-m,Traced,898,278,546,234,372779680
601047826,KCg-m_R,,KCg-m,Traced,786,231,491,208,337400044
601047827,KCg-m_R,,KCg-m,Traced,801,233,506,192,338413753
601047853,KCg-m_R,,KCg-m,Traced,771,241,494,212,312007236
601388689,KCg-d_R,,KCg-d,Traced,619,186,442,162,326918530
601712754,KCg-m_R,,KCg-m,Traced,810,274,529,220,364724489
601725442,KC(incomplete?),,,Traced,611,242,113,66,428233069
