id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,LAL(R) #post,LAL(R) #pre,#voxels
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,447,320,1634,185,901469199
5812983883,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1949,422,2,,214,2,933273354
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,635,210,43,3,469401707
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,2589,399,135,175,1478126146
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,3503,255,142,82,1075949177
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,2836,253,130,75,1213503168
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,1047,304,421,1,2846693400
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,9,5,426,31,1501021625
5813045216,FB3C_R,LALSMPFB3,FB3C,Traced,795,235,1,,108,2,515092302
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,1630,908,13,3,1556793027
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,108,56,537,22,1798572771
5813057963,FB3B(EB)_R,EBCREFB3,FB3B,Traced,838,222,424,94,111,5,521205033
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,1331,348,11,7,1931391198
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,1,,147,1,1042477121
