id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,LAL(L) #post,LAL(L) #pre,#voxels
1510653964,LAL093_R,,LAL093,Traced,358,64,273,2,26,60,263791284
1510662269,LAL090_R,L-Lic(c),LAL090,Traced,912,87,749,1,86,65,389230945
1510666460,LAL091_R,,LAL091,Traced,442,68,300,,81,65,242101746
1515064407,SAD047_R,,SAD047,Traced,320,152,65,14,,1,368752296
1534124048,H2 LPTC_R,,H2,Traced,1219,46,3,6,1,2,7354238815
1534270924,VES041_R,IbSpVeL-(LIb)(c)Sm(b),VES041,Traced,6988,2517,1115,603,509,521,4897186673
1541001122,,,,Traced,98,157,61,94,37,63,142262104
1541001128,LAL089_R,,LAL089,Traced,435,81,258,4,49,60,400182665
1541338718,LAL093_R,,LAL093,Traced,223,59,163,,35,58,226442935
1541359136,LAL122_R,,LAL122,Traced,3545,214,3324,5,83,209,1266959466
1541701033,LAL092_R,,LAL092,Traced,352,59,311,2,33,54,223080566
1541701145,VES057(PDM28)_L,,VES057,Traced,568,510,109,260,183,2,950127863
1542033633,LAL120_R,,LAL120,Traced,7808,573,7312,19,145,537,2275597100
1543138040,LAL042(ADM10)_L,,LAL042,Traced,1706,670,890,536,421,60,985951206
1543410489,LAL126_R,VeL-X(c)3,LAL126,Traced,2989,15,1869,6,1,1,1155427462
1543535599,mALD1(AVM18)_R,,mALD1,Traced,954,21,2,,597,3,1439938323
1543747434,LAL126_R,VeL-X(c)3,LAL126,Traced,2821,6,1732,3,1,1,1156230051
1546099433,LAL095_R,,LAL095,Traced,295,47,181,1,48,42,217571919
1560734467,PLP078_R,,PLP078,Traced,2846,13,515,2,1,3,2382678905
1566524544,LPTC contra2_R,,,Traced,2255,55,5,9,1,1,2902800575
1571345230,LAL117_R,,LAL117,Traced,450,91,328,35,33,29,502886266
1571371076,,,,Traced,44,117,22,74,21,43,113949496
1571371086,,,,Traced,109,180,68,101,41,79,136741011
1571371141,,,,Traced,137,153,97,94,40,56,116862889
1571371226,LAL091_R,,LAL091,Traced,384,55,219,1,52,50,232249033
1571371251,LAL094_R,,LAL094,Traced,405,46,192,,29,32,252966308
1571695037,LAL094_R,,LAL094,Traced,217,14,91,,2,6,199022742
1571708161,LAL094_R,,LAL094,Traced,277,7,162,,1,2,216777768
1571708235,,,,Traced,142,144,98,103,43,40,149116997
1571855124,(AVM09)_L,,,Traced,260,109,135,84,108,12,240488450
1571859076,AOTU037_R,,AOTU037,Traced,632,107,336,,126,105,438068063
1572032028,LAL092_R,,LAL092,Traced,345,58,229,,61,58,198359651
1572036642,LAL095_R,,LAL095,Traced,275,55,130,1,62,52,198994569
1572373099,LAL194_R,VeL-X(c)2,LAL194,Traced,1618,350,821,165,3,4,905377964
1572520204,LAL005_R,,LAL005,Traced,474,126,57,33,108,93,402431356
1572744091,LAL073_R,VeL-LVe(c)2,LAL073,Traced,8343,473,7495,6,78,459,2372092630
1572744753,,,,Traced,236,117,92,74,115,5,245179881
1573045882,LAL096_R,,LAL096,Traced,96,32,38,1,2,3,226282925
1573551885,LAL120(AVM20)_L,,LAL120,Traced,900,832,335,830,564,1,1108817545
1574164489,LAL104_R,,LAL104,Traced,1347,358,878,170,382,174,869511446
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,588,405,87,8,538993825
1576941160,LAL116_R,,LAL116,Traced,915,520,446,86,324,347,869168111
1598663076,LAL170_R,,LAL170,Traced,1332,366,948,219,65,43,1222848175
1600489166,LAL160(PVM03)_L,CL-LC(c),LAL160,Traced,2056,863,1130,692,337,70,1046665841
1602194826,,,,Traced,42,110,16,46,26,64,108914072
1602195074,,,,Traced,89,161,38,60,43,86,127980033
1602199161,LAL086_R,AoL-L(c),LAL086,Traced,558,106,381,,73,104,455974152
1602376300,,,,Traced,233,347,31,226,170,101,480472850
1602401866,LAL095_R,,LAL095,Traced,280,43,120,,51,43,205874435
1602401932,LAL094_R,,LAL094,Traced,374,43,138,,15,27,250468009
1602402027,LAL092_R,,LAL092,Traced,644,84,526,,86,84,232134079
1602549038,LAL087_R,L-L(c)1,LAL087,Traced,341,40,243,,55,40,255028474
1602729941,PS082_R,,PS082,Traced,383,90,14,,14,36,710319182
1602751898,LAL090(AVM09)_L,L-Lic(c),LAL090,Traced,170,128,18,51,124,2,247066722
1603109870,LAL196_R,,LAL196,Traced,859,5,781,4,,1,478797549
1604141359,,,,Traced,995,668,924,596,24,9,557475903
1604788947,(AVM09)_L,,,Traced,245,94,101,50,55,1,151680649
1605138727,,,,Traced,116,256,58,104,7,11,221083203
1605156604,,,,Traced,364,712,192,340,67,157,654267799
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,923,576,376,61,1138502686
1605455071,LAL171_R,,LAL171,Traced,1617,167,1414,26,62,66,824507555
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,160,771,2428,8,6781032290
1605842920,LAL159(PVM03)_L,VeLC-L(c),LAL159,Traced,3109,1107,423,736,1361,142,1843324783
1606131544,(PVM09)_L,,,Traced,764,1292,731,1244,21,2,912608427
1622134757,PS099(AVM20)_L,,PS099,Traced,394,706,129,264,52,1,1013560409
1622139666,PS099_R,,PS099,Traced,1219,83,315,1,31,80,1374167340
1622144736,PS099_R,,PS099,Traced,936,22,123,1,,18,1140588321
1628062270,LAL135(PDM27)_L,,LAL135,Traced,559,425,43,13,144,94,926258846
1629383757,Ascending?,,,Traced,5797,1631,1368,62,29,25,3262430111
1632361781,LAL167_R,,LAL167,Traced,532,231,302,115,8,21,783807325
1632409111,LAL194_R,VeL-X(c)2,LAL194,Traced,1884,348,926,188,2,1,953021784
1632746874,LAL096_R,,LAL096,Traced,61,38,32,,2,6,125037430
1633078450,,,,Traced,74,192,63,165,10,19,259543483
1633411652,PLP078(AVM20)_L,,PLP078,Traced,138,1296,62,529,2,1,1672701183
1633411858,LAL085_R,,LAL085,Traced,852,9,828,2,3,7,566210396
1633753107,LAL085_R,,LAL085,Traced,643,3,634,,6,3,583370045
1634140805,,,,Traced,70,187,16,33,23,59,165100349
1634140995,,,,Traced,57,119,5,19,14,43,112288703
1634141042,,,,Traced,99,223,59,96,11,35,194598990
1634477964,,,,Traced,214,326,40,213,165,94,483018463
1637171546,LAL201(SCB023)_R,,LAL201,Traced,4432,631,2963,283,3,16,2240787872
1637512099,LAL176(PVM03)_L,,LAL176,Traced,928,454,626,432,81,4,830466507
1637844473,LAL153_R,,LAL153,Traced,722,8,681,3,2,1,794097266
1637870763,LAL105_R,,LAL105,Traced,897,218,736,143,61,51,607606028
1657551275,LAL156_R,,LAL156,Traced,1909,182,936,46,12,32,1918479787
1663767674,PLP230_R,,PLP230,Traced,3905,16,498,,8,7,2007763749
1664178250,,,,Traced,224,1116,63,270,15,39,996810759
1664942170,LAL091_R,,LAL091,Traced,375,67,310,,47,67,239302877
1666910636,ORN_DP1m_R,,ORN_DP1m,Traced,572,427,1,2,1,3,432419850
1668529983,,,,Traced,76,451,54,450,22,1,490959313
1669255212,LAL161(PVM03)_L,CL-L(c)1,LAL161,Traced,2086,865,1041,662,378,93,867144227
1693802528,,,,Traced,190,116,43,25,26,1,167185397
1695143944,LAL166_R,,LAL166,Traced,517,635,332,200,1,3,1028593021
1695187208,,,,Traced,119,595,20,99,3,1,681733934
1698883154,(PVM09)_L?,,,Traced,309,785,304,773,4,1,615553602
1699582872,(PVM09)_L,,,Traced,1533,1003,1192,888,198,57,909112575
1723852574,VES057_R,,VES057,Traced,1524,274,727,1,64,212,988971873
1729935421,LAL172(PVM03)_L,,LAL172,Traced,1573,856,1411,850,135,4,774767517
1755860078,LAL124_R,,LAL124,Traced,2434,332,1363,138,18,56,1320886997
1756869802,LAL117_R,,LAL117,Traced,389,81,273,25,23,37,477662707
1760318324,LAL173_R,,LAL173,Traced,1594,176,1400,122,28,20,581733341
1760662977,,,,Traced,90,416,67,330,3,19,354022217
1761328259,,,,Traced,462,288,246,133,10,10,326715837
1762320684,ORN_VL2a_R,,ORN_VL2a,Traced,86,83,1,,,1,71522805
1779696775,LAL084(AVM09)_L,SpVeL-LSpIp(c)2,LAL084,Traced,515,990,28,167,342,1,1622938985
1787657447,,,,Traced,180,242,39,80,19,14,341534275
1787661944,,,,Traced,65,2,1,,6,2,38629137
1787727412,,,,Traced,95,131,3,2,90,120,76377992
1787998190,PS232(PVM03)_L,,PS232,Traced,693,748,37,113,181,1,1014751524
1788983330,LAL174_R,,LAL174,Traced,1514,183,1263,114,25,21,591951947
1789306586,LPTC contra2_L,,,Traced,130,764,20,104,,1,1286765571
1789613296,LAL074(AVM07)_L,SpVeL-LSpIp(c)1,LAL074,Traced,835,996,27,151,453,10,1959631131
1791996293,,,,Traced,225,240,142,130,6,10,235118352
1819102805,LAL180_R,,LAL180,Traced,114,56,46,1,22,55,348368213
1847984002,,,,Traced,247,638,17,13,1,12,815802551
1871446097,(PVM03)_L,,,Traced,300,454,79,141,25,3,478376201
1875625119,VES027_R,,VES027,Traced,860,413,85,76,8,8,1224409175
1879095788,,,,Traced,128,234,11,43,18,26,361603980
1879385017,,,,Traced,192,324,29,60,19,31,695802278
1899956171,LPTC contra3 FD4,,,Traced,108,42,6,8,,1,1328556648
1912461809,,,,Traced,35,52,1,,2,1,62969237
1914460817,VES079_R,,VES079,Traced,1323,550,446,195,12,9,1108172940
1940069053,VES073_R,,VES073,Traced,1382,277,1,,3,7,967922168
1942806972,LAL173(PVM03)_L,,LAL173,Traced,462,554,124,75,141,40,502844378
1943147567,LAL174(PVM03)_L,,LAL174,Traced,811,604,174,75,288,57,749589650
2003495133,,,,Traced,161,932,43,191,18,96,1036682838
2005877512,,,,Traced,327,245,199,117,14,21,297603840
2008571631,,,,Traced,29,76,7,21,3,1,86922535
2029345079,LAL180_R,,LAL180,Traced,95,19,31,,4,17,339345435
2057996241,(PVM09)_L,,,Traced,346,407,96,131,11,2,421757113
2067611345,,,,Traced,29,62,2,4,,3,74313642
2096914187,WED004_R,,WED004,Traced,264,74,2,8,4,6,367154696
5812979148,LAL120(AVM20)_L,,LAL120,Traced,1015,1297,369,1250,638,1,1376775527
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,19,24,24,35,654233320
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,638,442,61,44,3325948715
5812980915,CRE003_b_R,aSP14b candidates,CRE003_b,Traced,582,253,197,41,10,12,545599281
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,86,42,17,1,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,753,671,777,576,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,1,6,1,8,547536751
5812982960,CRE028_L,,CRE028,Traced,968,219,78,21,27,22,829384672
5812983110,CL326(PVM03)_L,,CL326,Traced,518,408,1,,2,2,781063806
5812983128,LAL005_R,,LAL005,Traced,372,119,70,61,66,57,334671584
5812983825,LAL101_R,VeLC-CLVe(c),LAL101,Traced,3027,873,1819,360,167,209,2116201166
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,71,113,92,115,3369272816
5812987387,PS084_R,,PS084,Traced,420,91,6,,15,40,719052280
5812988178,LAL087_R,L-L(c)1,LAL087,Traced,502,62,400,1,43,61,361278942
5812989332,IB076_R,,IB076,Traced,658,6,1,,4,4,447013355
5812991349,PS196_R,,PS196,Traced,1376,308,459,108,1,7,1659568119
5812992148,LAL094_R,,LAL094,Traced,271,26,74,,5,6,220053930
5812992612,LAL089_R,,LAL089,Traced,410,79,221,8,59,51,376967017
5812993825,,,,Traced,152,135,47,40,57,3,265078129
5812994338,(AVM20)_L,,,Traced,190,613,6,32,3,8,872950016
5812996970,LPTC contra2_R,,,Traced,1023,42,2,,1,6,1993256130
5812999580,,,,Traced,468,743,35,137,282,1,1150229880
5813009620,SMP109_R,,SMP109,Traced,6129,1399,111,172,12,22,2742026328
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,38,118,257,75,1535044331
5813013339,PLP222_R,,PLP222,Traced,327,99,4,3,32,28,521250198
5813016625,,,,Traced,63,106,28,69,4,4,106144113
5813020382,VES078_R,,VES078,Traced,1442,498,2,,28,98,1375120690
5813021122,LAL143_R,,LAL143,Traced,1205,443,129,391,11,29,1629835995
5813022257,CL303_R,,CL303,Traced,3911,1278,138,134,134,139,3010762247
5813022375,IB017_R,,IB017,Traced,2840,1169,32,52,63,59,2913680919
5813022419,CRE038_R,,CRE038,Traced,275,132,6,7,6,6,360831607
5813022507,,,,Traced,409,586,3,,5,2,514958610
5813022759,CRE059_R,,CRE059,Traced,1452,568,273,24,56,45,1127295229
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,19,57,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,23,32,9,14,903566720
5813023698,LAL097_R,,LAL097,Traced,98,35,18,,12,8,223341850
5813023700,LAL096_R,,LAL096,Traced,106,44,12,,11,7,252082231
5813023894,PS084_R,,PS084,Traced,481,102,2,,8,19,741739275
5813024852,,,,Traced,342,674,115,242,40,6,1083452374
5813032485,,,,Traced,237,381,76,118,69,137,405363154
5813033033,CRE031_L,,CRE031,Traced,1260,220,34,14,58,45,766024070
5813035477,LAL175(PVM03)_L,,LAL175,Traced,992,366,504,257,179,54,648122118
5813038922,PS080_R,,PS080,Traced,2949,17,346,,4,8,1386412067
5813041169,SMP009_R,,SMP009,Traced,695,320,96,7,4,5,650188100
5813041349,(ADL08)_L,,,Traced,143,160,37,35,9,18,154780875
5813045296,LAL165_R,,LAL165,Traced,891,353,320,92,98,164,1467565247
5813047772,DGI_R,,DGI,Traced,1763,516,69,76,,2,4893056252
5813050772,PLP032(AVL04)_L,,PLP032,Traced,468,1249,23,79,21,44,1155328270
5813053712,IB017(PDM08)_L,,IB017,Traced,685,836,40,52,80,84,943022967
5813053891,LAL177_R,,LAL177,Traced,961,190,336,10,209,159,690227078
5813053957,PLP228_R,,PLP228,Traced,4155,252,1,4,46,113,1739579304
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,11,,59,38,3343482793
5813058319,CRE012_R,,CRE012,Traced,4120,938,938,91,277,268,2243348099
5813058320,CRE005_R,,CRE005,Traced,1881,887,822,176,36,65,1495874790
5813061024,VES067_R,,VES067,Traced,1397,358,400,42,32,54,1573727727
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,14,8,3486100136
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,572,486,153,40,1596324019
5813062838,CRE022_L,,CRE022,Traced,5859,1060,154,140,204,151,2547121426
5813063019,LAL179_R,,LAL179,Traced,111,73,8,,34,73,326217343
5813066838,LAL102_R,VeL-LC(c),LAL102,Traced,3940,830,1274,244,12,73,1919116434
5813067963,,,,Traced,498,479,16,8,1,1,645733207
5813068769,CRE004_R,,CRE004,Traced,4808,1432,749,161,153,126,4486456977
5813069496,LAL084_R,SpVeL-LSpIp(c)2,LAL084,Traced,5819,35,2109,17,6,3,2057395634
5813076392,PLP187_R,,PLP187,Traced,550,171,67,77,1,2,470687783
5813078340,SIP001_R,aSP14c candidates,SIP001,Traced,370,133,5,7,3,4,395892281
5813078454,H2 LPTC_L,,H2,Traced,463,1191,18,71,1,2,4922653240
5813078739,SIP002_R,aSP14c candidates,SIP002,Traced,396,164,56,45,12,11,441917606
5813080769,CRE031_R,,CRE031,Traced,720,230,18,23,23,23,681827294
5813082276,LAL162_R,,LAL162,Traced,992,23,575,,23,23,749453882
5813083779,CRE022_R,,CRE022,Traced,8464,1155,85,78,142,136,2658194530
5813083780,SMP385_R,,SMP385,Traced,6235,2678,19,1,203,135,2659884367
5813087996,LAL087_R,L-L(c)1,LAL087,Traced,458,61,364,2,52,59,330621810
5813088921,LAL175(PVM03)_L,,LAL175,Traced,1111,551,725,462,161,56,807022585
5813104472,WED081(AVM22)_L,VeWL-VeX(c),WED081,Traced,745,154,206,53,9,14,731012747
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,66,62,72,60,799850664
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,175,14,332,313,1674077310
5901201676,LAL005_R,,LAL005,Traced,383,120,63,50,58,68,360821541
5901213440,CRE011_R,,CRE011,Traced,19674,2149,1724,648,35,85,5844952800
5901221584,LAL137_R,VeLC-(LC)(c)Sm(b),LAL137,Traced,4244,1427,2640,172,68,164,2323051347
7112622044,LAL137(PVL05)_L,VeLC-(LC)(c)Sm(b),LAL137,Traced,2087,1376,80,192,709,96,1529252938
