id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,#voxels
518873604,KCab-s_R,,KCab-s,Traced,633,215,1,1,300234023
518899665,LHPV4m1_R,,LHPV4m1,Traced,3967,1255,89,1,1662469777
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,4,1,3839917924
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,152,87,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,152,70,405713307
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,148,72,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,143,81,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,8,1,350846940
539975122,KC(incomplete?),,,Traced,671,213,19,9,394579982
542371432,KCab-p_R,,KCab-p,Traced,691,271,13,1,367180498
544107335,LHAD1b2_a_R,,LHAD1b2_a,Traced,1252,306,4,1,607413856
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,127,58,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,196,96,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,197,91,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,171,69,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,166,76,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,137,71,437355377
548712377,SMP384_R,,SMP384,Traced,6812,2733,1,1,2914119235
548872750,LHPD2b1_a_R,,LHPD2b1_a,Traced,626,217,3,8,497867777
548885313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,260,193,99,392539188
548885407,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,560,254,174,98,422373053
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,209,110,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,200,92,432164604
548898403,KCa'b'-m_R,,KCa'b'-m,Traced,782,286,213,107,439619060
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,168,61,370237636
549219101,SIP015_R,,SIP015,Traced,1039,236,26,1,438875738
549222167,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,712,278,219,120,454928374
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,127,84,387491401
