id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,#voxels
1234809285,KCg-d_R,,KCg-d,Traced,574,253,28,16,325950292
1261989183,KCab-s_R,,KCab-s,Traced,617,232,1,1,230223045
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,161,85,446959185
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,202,106,428214535
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,121,63,429239588
1359553384,KCab-s_R,,KCab-s,Traced,599,259,1,2,330140818
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,117,55,407157814
1672293837,M_lvPNm29_R,,M_lvPNm29,Traced,448,258,2,3,426357081
5812979069,KCg-m_R,,KCg-m,Traced,718,228,4,3,358488809
5812979121,KCg-t_R,,KCg-t,Traced,614,226,22,19,325810486
5812979175,KCg-m_R,,KCg-m,Traced,761,212,10,2,353700102
5812979196,KCg-d_R,,KCg-d,Traced,507,220,30,13,307301397
5812979314,KCg-d_R,,KCg-d,Traced,504,175,18,8,317334419
5812980209,KCab-m_R,,KCab-m,Traced,544,211,2,1,263690557
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,1,3325948715
5812980931,KCab-s_R,,KCab-s,Traced,673,279,3,3,312733936
5812980940,KCab-p_R,,KCab-p,Traced,655,260,1,1,352333297
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,170,85,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,180,86,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,185,76,393185864
5812981160,KCg-m_R,,KCg-m,Traced,911,269,6,1,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,120,64,447193387
5812981264,MBON17(a'3m)_R,,MBON17,Traced,3819,352,3286,8,679893091
5812981270,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,678,228,197,96,440624810
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,177,100,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,215,126,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,146,90,474294817
5812981279,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,232,188,95,449082312
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,165,100,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,155,69,390005539
5812981318,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,269,223,119,427512487
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,164,93,446321131
5812981322,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,681,228,212,100,439255704
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,235,97,438108998
5812981332,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,249,154,97,496581517
5812981333,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,698,228,209,107,449909211
5812981339,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,634,214,147,65,426256262
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,97,49,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,148,86,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,137,66,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,159,72,390359463
5812981373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,604,226,176,88,433377539
5812981379,KCab-s_R,,KCab-s,Traced,570,236,1,1,300101280
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,220,85,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,179,95,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,189,78,418827569
5812981543,MBON17-like(a'2a'3)_R,,MBON17-like,Traced,2963,291,2478,8,509506396
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,182,83,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,132,66,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,146,72,391061782
5812981569,KCa'b'-m_R,,KCa'b'-m,Traced,617,240,188,108,412855226
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,193,92,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,200,103,399710677
5812981581,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,645,213,203,98,458081929
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,208,86,413897094
5812981586,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,598,237,135,74,424512481
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,162,84,404873540
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,209,94,417470359
5812981673,KCab-s_R,,KCab-s,Traced,594,236,2,1,319135563
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,168,82,328939713
5812981703,KCg-m_R,,KCg-m,Traced,903,250,2,4,289040338
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,172,72,478708280
5812981797,KCa'b'-m_R,,KCa'b'-m,Traced,763,234,210,91,415406453
5812981800,KCa'b'-m_R,,KCa'b'-m,Traced,651,249,135,68,399866760
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,139,64,402147766
5812981858,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,261,174,89,481499224
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,196,71,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,179,96,464186591
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,162,85,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,168,80,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,120,63,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,222,101,399100731
5812982145,KCa'b'-m_R,,KCa'b'-m,Traced,720,245,204,90,417445903
5812982149,KCa'b'-m_R,,KCa'b'-m,Traced,707,234,218,97,412946042
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,181,72,365482537
5812982350,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,555,210,97,64,408201604
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,144,58,419710605
5812982429,KCa'b'-m_R,,KCa'b'-m,Traced,682,214,189,92,423231483
5812982436,KCg-m_R,,KCg-m,Traced,779,249,3,1,354659380
5812982437,KCg-m_R,,KCg-m,Traced,765,235,11,2,353302366
5812982442,KCg-m_R,,KCg-m,Traced,828,258,7,6,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,363758686
5812982577,KCg-m_R,,KCg-m,Traced,832,272,4,2,395572382
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,37,22,410959307
5812982620,KCg-m_R,,KCg-m,Traced,757,257,2,3,398451875
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,172,79,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,180,74,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,168,67,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,169,85,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,12,1,384605451
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,113,65,396676348
5812982925,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,694,292,196,122,491654910
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,186,81,411342672
5812983152,KCg-m_R,,KCg-m,Traced,829,222,5,1,360458277
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,141,73,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,200,114,436809854
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,153,88,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,161,86,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,114,66,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,143,82,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,131,62,453811862
5812983673,KCg-m_R,,KCg-m,Traced,776,211,7,4,348369142
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,179,75,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,223,116,436690709
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,168,77,408605251
5812983898,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,191,162,75,420362398
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,169,75,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,123,88,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,177,94,439989491
5813010617,KCab-p_R,,KCab-p,Traced,675,277,7,2,391055197
5813019513,PPL105(a'2a2)_R,,PPL105,Traced,7639,1726,1956,640,2064191600
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,3,5,1814973075
5813019609,KCab-s_R,,KCab-s,Traced,620,266,3,2,318658265
5813019850,CRE048_R,,CRE048,Traced,5674,1107,27,5,2306300526
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,785,344,869209965
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,124,66,434014408
5813020046,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,666,246,205,104,437866399
5813020047,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,170,103,437076621
5813020052,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,223,181,100,437468051
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,225,104,441233004
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,155,80,472995790
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,213,99,452528827
5813020274,KCab-m_R,,KCab-m,Traced,561,219,1,1,266628780
5813020828,MBON18(a2sc)_R,,MBON18,Traced,13026,673,39,4,1926627703
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,795,286,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,4,2,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,167,91,441153613
5813021301,KCab-s_R,,KCab-s,Traced,565,224,2,1,323412120
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,193,83,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,152,65,394108433
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,187,86,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,162,80,447453187
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,178,94,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,143,69,411808930
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,155,86,437684352
5813021779,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,700,263,207,101,457074069
5813021781,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,662,259,186,106,419729763
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,204,93,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,2,1,417804388
5813021792,KCa'b'-m_R,,KCa'b'-m,Traced,577,226,199,94,402507757
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,194,100,454399393
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,163,92,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,141,79,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,137,88,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,174,91,467946092
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,153,83,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,165,91,482821942
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,166,98,405326877
5813021848,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,201,173,79,424646555
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,150,82,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,17,9,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,134,64,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,177,80,434303309
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,2837,682,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,148,82,388570181
5813032868,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,223,186,80,431022127
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,156,87,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,173,91,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,139,60,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,156,70,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,201,95,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,8,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,161,89,486240013
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,152,84,435229410
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,171,85,511057661
5813035612,KCg-m_R,,KCg-m,Traced,859,273,22,11,395394691
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,106,75,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,134,59,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,148,59,437993906
5813047676,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,567,231,175,95,418921494
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,126,73,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,123,66,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,175,92,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,2,322349102
5813055949,SMP175_R,,SMP175,Traced,5020,938,6,1,2584249964
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,182,85,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,202,108,436927867
5813056305,KCa'b'-m_R,,KCa'b'-m,Traced,672,241,194,96,401460811
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,190,102,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,6,4,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,140,71,403944266
5813056327,KCa'b'-m_R,,KCa'b'-m,Traced,700,236,192,90,422840976
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,172,83,396399147
5813056390,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,583,234,174,96,413226879
5813057187,KCab-s_R,,KCab-s,Traced,610,239,5,1,318293689
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,203,101,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,193,91,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,105,67,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,172,80,450117799
5813058163,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,686,258,192,110,423518090
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,176,92,430406202
5813058310,SMP212_R,,SMP212,Traced,337,145,4,8,335338960
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,169,99,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,1,1,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,230,108,436369804
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,215,93,333533652
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,162,85,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,146,76,425676562
5813062631,KCg-m_R,,KCg-m,Traced,758,263,3,3,374158925
5813062637,KCg-m_R,,KCg-m,Traced,796,258,4,3,378340500
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,216,100,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,125,55,391939830
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,190,78,445344768
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,178,90,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,135,76,430438345
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,130,76,440340877
5813068669,LHCENT6_R,,LHCENT6,Traced,9259,2074,4,10,3323966645
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,195,98,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,174,79,402291796
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,217,103,431484345
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,198,89,429764535
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,149,88,437165853
5813069379,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,253,184,102,422706616
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,129,73,364741205
5813069792,KCg-m_R,,KCg-m,Traced,647,183,2,1,328684224
5813070672,KCg-m_R,,KCg-m,Traced,719,237,12,5,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,214,90,446715176
5813077582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,707,254,191,99,431316160
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,165,82,453604666
5813077589,KCab-p_R,,KCab-p,Traced,726,262,2,1,394045820
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,194,96,442358082
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,193,107,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,133,89,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,195,93,373028028
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,153,81,446899629
5813083651,KCg-d_R,,KCg-d,Traced,547,216,39,21,353327717
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,127,76,360084803
5813084692,KCg-m_R,,KCg-m,Traced,825,283,39,12,387026360
5813085240,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,232,191,95,444478363
5813089504,LHPD2b1_a_R,,LHPD2b1_a,Traced,746,184,8,1,516028038
5813090997,KCg-d_R,,KCg-d,Traced,522,198,3,2,306605759
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,120,79,416182724
5813091744,KCab-p_R,,KCab-p,Traced,635,285,3,1,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,10,5,375350336
5813093111,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,266,177,106,432015379
5813094619,CRE055_R,,CRE055,Traced,440,157,4,1,305711393
5813095018,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,672,243,182,91,432250715
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,161,79,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,136,83,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,9585,2307,15191654896
5813109082,,,,Assign,2,3,2,3,1058127
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,153,81,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,134,81,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,110,64,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,7,4,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,35,13,368295685
5813134052,SMP116_L,,SMP116,Traced,4496,712,3,1,2112469689
5901205770,KCab-s_R,,KCab-s,Traced,586,238,1,1,309316800
5901208700,,,,Assign,4,2,4,2,386075
5901213440,CRE011_R,,CRE011,Traced,19674,2149,69,6,5844952800
