id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
1327831994,KCab-s_R,,KCab-s,Traced,598,274,221,112,,1,322572716
1359212271,KCab-s_R,,KCab-s,Traced,606,251,155,73,1,1,309923679
1359553384,KCab-s_R,,KCab-s,Traced,599,259,167,91,5,4,330140818
1388585088,KCab-p_R,,KCab-p,Traced,635,220,253,91,2,1,352744706
1390942076,KCab-s_R,,KCab-s,Traced,622,243,210,94,,1,349860306
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,183,65,,1,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,77,35,6190229391
1449670372,KCab-s_R,,KCab-s,Traced,640,278,199,92,4,1,361396154
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,14,8,1,1,407157814
5812980378,KCab-s_R,,KCab-s,Traced,575,246,187,88,1,2,300916896
5812980425,KCab-s_R,,KCab-s,Traced,601,213,168,77,4,2,254520884
5812980537,KCg-m_R,,KCg-m,Traced,728,212,1,,462,172,375620086
5812980931,KCab-s_R,,KCab-s,Traced,673,279,208,109,1,2,312733936
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,1,,15,8,447193387
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,1,17,12,446538834
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,3,1,13,6,331043517
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,5,2,11,10,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,1,,10,7,414845645
5812982177,KCab-m_R,,KCab-m,Traced,522,197,122,49,,1,290149224
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,7,3,7,5,365482537
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,8,4,,3,419710605
5812982471,KCab-s_R,,KCab-s,Traced,551,239,156,72,,1,325179743
5812982514,KCab-s_R,,KCab-s,Traced,589,237,155,62,3,1,363758686
5812982547,KCg-t_R,,KCg-t,Traced,586,198,1,,375,158,223676343
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,13,4,8,4,418473741
5812982780,KCab-p_R,,KCab-p,Traced,700,235,225,78,3,1,384605451
5812983012,KCab-s_R,,KCab-s,Traced,609,228,191,73,6,3,329761289
5812983147,KCg-m_R,,KCg-m,Traced,919,285,1,2,638,252,351871022
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,12,6,8,4,386511183
5812983213,KCab-s_R,,KCab-s,Traced,621,216,189,73,1,1,325890550
5812983657,KCg-m_R,,KCg-m,Traced,749,245,2,,459,203,337810528
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,1,,6,1,415440030
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,483,2,2306300526
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,2,,4,3,441153613
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,1,,20,9,464717750
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,3,3,10282,170,2864745122
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,5,1,10458,28,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,1,1,1010,471,975624467
5813032943,KCab-p_R,,KCab-p,Traced,734,252,263,78,3,6,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,8,1,45,11,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,2,,51,15,288587422
5813033226,KCg-m_R,,KCg-m,Traced,772,210,2,2,462,173,340972646
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,10,,6,4,427955175
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,2,,6392,21,2345461437
5813060643,KCab-p_R,,KCab-p,Traced,681,264,243,87,2,2,369871738
5813060663,KCg-m_R,,KCg-m,Traced,687,206,1,,426,166,376076661
5813062631,KCg-m_R,,KCg-m,Traced,758,263,1,,450,220,374158925
5813062850,KCab-s_R,,KCab-s,Traced,547,228,146,87,2,1,346545830
5813078053,KCab-s_R,,KCab-s,Traced,691,238,181,66,2,2,268635703
5813079050,KCg-m_R,,KCg-m,Traced,688,239,3,,460,196,334513328
5813079489,KCg-m_R,,KCg-m,Traced,717,210,1,,468,176,286084800
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,1,,11,6,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,8630,1738,24376,5774,15191654896
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,1,,121,4,1200274635
