id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,#voxels
5812979619,,,,Traced,255,94,255,94,85540563
5812979634,,,,Traced,237,70,237,70,63823103
5812979635,,,,Traced,795,136,792,136,95881376
5812979639,,,,Traced,73,18,72,17,8419127
5812979658,,,,Traced,534,243,52,22,135510842
5812979693,KCa'B'_L?,,,Traced,375,122,305,92,107809791
5812979789,,,,Traced,123,67,1,1,37393428
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,4,1,431109241
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,26,5,3325948715
5812981356,,,,Traced,248,67,247,67,59677267
5812981357,,,,Traced,313,93,312,92,85169759
5812981359,,,,Traced,300,117,299,117,95795315
5812981363,KCa'B'_L,,,Traced,319,109,250,81,114946857
5812981364,,,,Traced,271,73,271,73,83353747
5812981365,,,,Traced,244,89,244,89,88392269
5812981369,,,,Traced,355,122,353,119,109426563
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,186,65,253723732
5812981868,,,,Traced,137,65,2,3,43086952
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,9,4,211372631
5812982091,PAM06_b(B'2m)_R,,PAM06_b,Traced,1127,140,263,51,266987071
5812982118,PAM06_a(B'2m)_R,,PAM06_a,Traced,1274,334,272,115,428564958
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,189,92,311663944
5812982347,,,,Traced,267,94,267,94,84276404
5812982710,,,,Traced,511,121,7,1,211176463
5812982727,PAM02(B'2a)_L,,PAM02,Traced,1214,193,632,101,214337914
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,47,2,343660367
5812983263,,,,Traced,257,91,257,91,89063633
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,683,198,358512014
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,14,3,200836501
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,1,1,481019405
5812983526,,,,Traced,310,128,310,127,97604331
5812983528,,,,Traced,310,102,310,102,98684364
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,10,3,502377982
5812983773,,,,Assign,1,2,1,1,3256534
5812983811,CRE066(AVM16)_L,,CRE066,Traced,299,435,4,3,354635105
5812986274,,,,Traced,493,154,19,4,98663422
5812988629,,,,Traced,185,52,6,1,28367160
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,33,18,151824685
5812996052,,,,Traced,609,368,11,13,688274394
5813012950,,,,Traced,119,90,7,2,93513623
5813017508,,,,Traced,233,80,229,80,72244317
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,138,1,869209965
5813020068,,,,Traced,300,119,300,119,88122489
5813020473,,,,Traced,315,99,301,95,92980260
5813020479,,,,Traced,396,165,392,161,121199809
5813020491,,,,Traced,294,112,285,107,101723535
5813020493,,,,Traced,374,114,374,114,105177813
