id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,LAL(L) #post,LAL(L) #pre,#voxels
5813022925,FB4L(PPM3-FB3/4-DAN)_L,LALSIPFB4,FB4L,Traced,987,561,954,543,,1,1147606193
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,1950,725,33,6,1173703683
5813053846,FB4H_L,CRELALFB4_4,FB4H,Traced,3047,822,1913,736,251,16,1618714005
5813056410,FB4R_L,CREFB4,FB4R,Traced,1131,515,484,433,36,5,628946834
5813057738,FB5X_L,SMPCREFB5_8,FB5X,Traced,1413,423,656,399,19,1,539798191
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,14,8,3486100136
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,2216,551,434,49,1329389740
5813062592,FB5V_L,CRELALFB5,FB5V,Traced,1120,267,414,188,185,19,425597565
5813071255,FB4D_L,CRESMPFB4_2,FB4D,Traced,1248,349,951,323,21,1,571000082
5813076043,FB5D_L,CRESMPFB5_1,FB5D,Traced,2573,551,1737,446,37,1,695440646
