id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,62,1,2,1,396639821
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,4,,,1,352319115
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,27,3,299,141,366409907
1232344382,SMP174_R,,SMP174,Traced,275,129,147,9,,5,327977611
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,126,,12,2,1011197699
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,594,1,6,5,1389645128
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,2,17,7,6190229391
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,638,442,10,6,3325948715
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,86,42,2,2,3349981626
5812982118,PAM06_a(B'2m)_R,,PAM06_a,Traced,1274,334,2,,457,211,428564958
5812983101,KCg-m_R,,KCg-m,Traced,712,239,1,1,,1,357805367
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,1,2,3,2,2685199565
5813022201,PAM06_a(B'2m)_R,,PAM06_a,Traced,1403,306,1,,528,202,397327304
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,443,96,5444071374
5813022811,CRE080_R,pMP6b candidates,CRE080,Traced,1131,236,37,6,10,2,1038235689
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,44,2,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,4,6,54,44,975624467
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,2,,9,6,3046434158
5813047662,KCg-m_R,,KCg-m,Traced,764,261,2,,,2,364278076
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,47,2,14,1,2345461437
5813060787,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2265,794,147,1,13,1,1042477121
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,12,10,3486100136
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,1,,262,150,338596004
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,5,,420,186,467187303
5813105172,DPM_R,,DPM,Traced,77269,17628,1,,13555,3386,15191654896
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,106,13,16,1,1200274635
