id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
1001453586,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,500,226,107,60,23,16,415416436
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,116,69,23,17,389074673
1003474283,KCg-m_R,,KCg-m,Traced,821,250,7,4,511,209,361361087
1003837184,KCg-d_R,,KCg-d,Traced,525,213,43,17,310,155,286756016
1004514584,KCg-d_R,,KCg-d,Traced,556,247,1,2,386,193,389091042
1005179264,KCg-m_R,,KCg-m,Traced,729,242,2,3,414,206,328176445
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,9,,60,6,2083130629
1016839809,PAM06_a(B'2m)_R,,PAM06_a,Traced,1467,301,4,,2,2,442006674
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,180,95,9,5,411433282
1018164997,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,609,262,174,95,27,8,420995644
1018510191,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,561,241,100,68,28,14,376534767
1034198388,KCab-p_R,,KCab-p,Traced,733,260,6,,5,1,361965654
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,2886,850,5046,2005,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,18,,34,8,2226046804
1048517845,KCa'b'-m_R,,KCa'b'-m,Traced,689,244,178,79,6,5,408966176
1048854479,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,262,174,98,3,1,408398286
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,134,81,25,11,443024347
1049549412,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,615,275,134,84,21,14,442704993
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,29,,869,149,419404915
1064891781,KCab-p_R,,KCab-p,Traced,741,271,6,1,,1,389121740
