id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
426818061,KCab-p_R,,KCab-p,Traced,642,263,3,3,212,94,271653563
448869118,LHPD2a2_R,,LHPD2a2,Traced,1144,381,11,,5,1,681179101
456462919,KCab-p_R,,KCab-p,Traced,633,245,1,,255,115,354321563
477861840,KCab-p_R,,KCab-p,Traced,723,243,2,2,182,84,422024205
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,132,71,41,17,404232661
487144598,LHCENT3_R,,LHCENT3,Traced,11419,3049,18,5,3,3,5135386763
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,170,79,30,13,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,21,3,7,1,4036468535
487834111,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,672,292,145,87,1,1,488901567
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,144,73,1,2,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,137,80,4,2,448443256
488520820,KCab-p_R,,KCab-p,Traced,667,231,3,1,195,72,346345890
508918609,KCa'b'-m_R,,KCa'b'-m,Traced,706,266,186,94,15,6,448221441
517510393,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,609,256,156,97,2,3,410542571
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,2108,892,17,7,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,119,30,1964048244
517854468,MBON19(a2p3p)_R,,MBON19,Traced,1869,310,82,,1373,10,550373066
517858947,KCab-p_R,,KCab-p,Traced,674,269,7,,181,89,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,200,93,6,4,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,12,5,185,79,415425333
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,165,94,8,4,449871654
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,103,56,22,9,408741628
518873604,KCab-s_R,,KCab-s,Traced,633,215,1,1,209,95,300234023
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,152,87,4,2,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,152,70,,1,405713307
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,143,81,7,4,455019134
519555690,KCab-p_R,,KCab-p,Traced,608,245,8,1,216,88,350846940
540389734,KCg-m_R,,KCg-m,Traced,771,259,3,,13,2,378955754
