id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
893741163,FB4P_a_R,CRESMPFB4_4,FB4P_a,Traced,2736,597,1,,71,4,1011252039
893754136,(MBDLaxon2),,,Traced,2509,1179,13,6,200,227,3754329882
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,141,4,438,442,2722993954
894422413,LAL110_R,,LAL110,Traced,398,164,3,,211,29,417847529
894551935,CRE039_L,,CRE039,Traced,718,159,86,,108,8,476239982
895441451,MBON26(B'2d)_R,,MBON26,Traced,11560,1283,420,,3662,551,2786939491
917919724,CRE066_R,,CRE066,Traced,605,431,4,,174,2,706765280
920873167,PLP161_R,,PLP161,Traced,1346,386,5,1,5,3,1297386320
924049792,,,,Traced,1887,1847,13,8,335,307,1155907178
925241334,LAL155_R,,LAL155,Traced,3211,604,2,,1992,95,1395981955
925811326,,,,Traced,838,1189,3,,177,203,1225284890
926454306,LAL043_R,,LAL043,Traced,1271,189,12,,848,170,573320064
926813501,LAL043_R,,LAL043,Traced,758,127,14,,462,59,463360163
953414780,FB4H_R,CRELALFB4_4,FB4H,Traced,4189,875,2,,397,28,2648335537
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,257,78,73,1,382633721
956820684,LAL110_R,,LAL110,Traced,638,223,1,,472,41,470275757
957131025,LAL043_R,,LAL043,Traced,1403,196,10,,1090,177,587469158
958197533,LAL042_R,,LAL042,Traced,1365,214,5,,945,130,799512116
973488234,KCg-m_R,,KCg-m,Traced,770,256,469,188,3,2,349712658
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,4,8,1622607507
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,265,59,66,1,332844630
984536209,LAL100_R,,LAL100,Traced,3609,1173,5,4,1852,281,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,1,,35,19,540136093
984799284,CRE060_R,,CRE060,Traced,844,393,8,1,298,10,738647628
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,46,12,21,86,2278694286
985826737,LAL185_R,pIP11 candidates,LAL185,Traced,1411,550,41,10,847,138,1029524227
988567837,FB4G_R,CRELALFB4_3,FB4G,Traced,3861,785,8,,363,33,1567841591
1010235132,AVLP495_R,,AVLP495,Traced,504,217,8,,33,18,577215624
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,9,9,11,4703423471
1013416147,CRE100_R,CL-VeSp,CRE100,Traced,4210,731,70,,1721,20,2844874766
1015143077,CRE024_L,,CRE024,Traced,4924,969,116,1,339,22,1768786393
1015484487,,,,Traced,623,710,1,2,13,6,523595977
1016166622,CRE067_R,,CRE067,Traced,1039,396,219,3,147,3,735317516
1016506999,LAL198_R,,LAL198,Traced,2427,780,23,1,1858,58,1609357758
1017547830,CRE081_R,pMP6b candidates,CRE081,Traced,575,195,20,,22,3,750550779
1047887562,CRE068_R,,CRE068,Traced,594,325,2,,238,15,562548941
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,,1485,104,1317529596
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,3,1,1178,131,959950008
1049261193,CRE106_R,,CRE106,Traced,572,459,3,1,54,71,876624366
1050581215,CRE045_R,,CRE045,Traced,968,166,18,,3,8,603697973
1050922195,AOTU020_R,,AOTU020,Traced,818,226,10,,100,96,671962476
1050935614,FB5V_R,CRELALFB5,FB5V,Traced,1460,268,2,,185,14,670369042
1051631142,LAL043_R,,LAL043,Traced,899,154,7,,693,127,498941676
1051980223,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1815,401,9,2,484,8,724270517
1076173414,AOTU020_R,,AOTU020,Traced,822,210,8,,75,88,591285630
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,17278,206,1,1,2791162363
1079625867,ATL007_R,CL-AtIb(c)1,ATL007,Traced,2701,346,16,,1250,32,1259961326
1081957306,CRE041_R,CL-L(c)2,CRE041,Traced,9609,533,14,,4702,112,2917394941
1110221199,AOTU006_R,,AOTU006,Traced,1726,423,1,,431,389,1005417329
1110640084,CRE067_R,,CRE067,Traced,1342,370,234,5,311,5,763267727
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,10,1,50,29,1054960124
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,24,14,,1,444926933
1112443807,LAL129(PDM13)_L,,LAL129,Traced,2988,1085,10,,27,19,1382344571
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,1,,713,16,1015553194
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,194,4,33,2,853725137
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,8,5,5708,231,3708849906
1138587910,LAL141_R,SpVeLC,LAL141,Traced,5295,1413,16,,2714,753,2633230450
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,4,,,1,498035936
1141346308,KCg-m_R,,KCg-m,Traced,752,202,436,160,2,1,350472783
1141674495,KCg-m_R,,KCg-m,Traced,730,245,457,205,1,1,359775940
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,1190,140,45,2,394678553
1141972202,KCg-m_R,,KCg-m,Traced,815,267,540,209,1,2,420915787
