id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,#voxels
789130596,PFL3(PB12c)_L4_C6,PB1-7FB1245LAL,PFL3,Traced,2851,454,582,1,1194392560
790158190,,,,Traced,138,90,2,1,116195856
817342497,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,282,68,87,1,146223200
817346903,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1518,311,540,3,624578000
817683388,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,260,85,103,5,168352353
819073675,PFNd(PB04)_R4_C6,,PFNd,Traced,1000,178,389,1,411066455
819138239,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,928,178,424,1,365427761
819828716,PFR_b(PB11b)_L4_C5,PFR_b,PFR_b,Traced,1371,323,197,16,713051764
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,253,202,1242575632
847712250,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,304,53,133,1,174366951
848817674,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,109,193,1,286421071
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,1067,1,989164827
849844855,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,432,106,131,1,258428930
850194651,PFL2(PB12b)_L4_C8,PB1-4FB1245LAL,PFL2,Traced,2910,381,1077,6,1049700272
850855138,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2495,440,641,1,1238365051
851493896,PFL3(PB12c)_L1_C3,PB1-7FB1245LAL,PFL3,Traced,3272,336,283,2,981759380
852236918,ATL034(PDM32)_L,,ATL034,Traced,916,539,2,1,1285653439
877702431,PFNp_a(PB01a)_R7_C4,PFNp_a,PFNp_a,Traced,250,61,83,1,153717522
878725581,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,238,54,117,3,137842641
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,385,1,600285827
879442155,PFNa(PB03)_R5_C6,PFNa,PFNa,Traced,934,200,398,3,502217851
879468563,PFGs(PB10)_R2_C8,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,1931,383,81,6,808154342
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,68,5,145747740
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,332,1,449849872
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,287,1,330939585
880530613,Delta7(PB15)_L5R4_L,Delta7,Delta7,Traced,1136,504,1126,499,1224522950
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,280,2,387127398
880875736,Delta7(PB15)_L5R4_L,Delta7,Delta7,Traced,1169,479,1160,475,1191511440
880875742,IbSpsP(PB17)_L5/6,IbSpsP,IbSpsP,Traced,759,259,362,258,534269019
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,830,1,1069803729
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,429,2,707899812
880880259,Delta7(PB15)_L4R5_R,Delta7,Delta7,Traced,1208,546,1202,544,1316285121
881212361,SpsP(PB16)_L,SpsP,SpsP,Traced,48,224,45,222,287125120
881216921,,,,Orphan,2,2,2,2,287141
881217171,LPsP(PB13)_R,LPsP,LPsP,Traced,4354,1845,4340,1840,2220299930
881221166,Delta7(PB15)_L1L9R8_R,Delta7,Delta7,Traced,1285,606,1275,601,1392031704
881458145,PFL1(PB12a)_R4_C5,PFLC,PFL1,Traced,1084,2,671,1,898083964
881458181,PFL1(PB12a)_R3_C6,PFLC,PFL1,Traced,1288,5,771,2,930498996
881506038,PFR_b(PB11b)_R1_C1_irreg,,PFR_b,Traced,2133,328,207,14,789497774
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,625,9,720534350
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,635,7,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,508,1,1432354774
884916660,PFGs(PB10)_R5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2020,413,153,5,931708485
909777910,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,883,181,370,5,489398842
910438331,EPG(PB08)_R6,EPG,EPG,Traced,3749,438,239,164,1189689723
910442723,Delta7(PB15)_L4R5_R,Delta7,Delta7,Traced,1157,525,1156,522,1117687707
910442752,Delta7(PB15)_L8R1R9_L,Delta7,Delta7,Traced,1200,528,1192,523,1222414327
910442782,Delta7(PB15)_L4R6_R,Delta7,Delta7,Traced,1061,559,1058,557,1259835371
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,535,1,1015212407
910447181,PFL3(PB12c)_R5_C3,PB1-7FB1245LAL,PFL3,Traced,3671,15,432,1,723546053
910447220,PFNd(PB04)_R5_C5,,PFNd,Traced,1405,282,569,1,658312304
910783731,Delta7(PB15)_L8R1R9_L,Delta7,Delta7,Traced,1187,579,1174,572,1426214612
910783805,IbSpsP(PB17)_R5/6,IbSpsP,IbSpsP,Traced,787,229,333,228,494856791
910783883,Delta7(PB15)_L8R1R9_L,Delta7,Delta7,Traced,1367,600,1356,582,1563381931
910783961,Delta7(PB15)_L3R6_R,Delta7,Delta7,Traced,1127,596,1119,592,1236825841
910787908,IbSpsP(PB17)_R3/4/5,IbSpsP,IbSpsP,Traced,705,147,222,146,345541239
910787992,PFL1(PB12a)_R5_C4,PFLC,PFL1,Traced,1194,63,552,3,868477066
910796989,Delta7(PB15)_L5R4_L,Delta7,Delta7,Traced,1342,524,1325,515,1255203623
910801332,Delta7(PB15)_L5R4_L,Delta7,Delta7,Traced,1084,500,1069,500,1159726491
911129204,Delta7(PB15)_L7R2_L,Delta7,Delta7,Traced,1153,505,1144,501,1116727873
911129339,Delta7(PB15)_L4R5_R,Delta7,Delta7,Traced,1045,523,1042,512,1253944757
911134009,Delta7(PB15)_L4R5_R,Delta7,Delta7,Traced,1125,534,1123,530,1154421327
911138168,Delta7(PB15)_L4R5_R,Delta7,Delta7,Traced,1054,540,1044,535,1208668943
911211196,Delta7(PB15)_L6R4_L,Delta7,Delta7,Traced,1110,570,1102,567,1285372926
911241750,Delta7(PB15)_L6R4_L,Delta7,Delta7,Traced,1361,593,1351,586,1284732487
911470352,Delta7(PB15)_L2R7_R,Delta7,Delta7,Traced,1061,491,1053,483,973398327
911504643,PFNd(PB04)_R2_C8,,PFNd,Traced,1031,227,349,1,478031684
911504689,PFNv(PB05)_R3_C8,PFNv,PFNv,Traced,1576,330,684,39,526575662
911565319,PFL1(PB12a)_L5_C6,PFLC,PFL1,Traced,1636,297,618,1,1118569527
911565408,P1-9(PB19)_L,PBPB,P1-9,Traced,286,364,284,359,296058837
911565419,Delta7(PB15)_L3R6_R,Delta7,Delta7,Traced,1022,546,1018,544,1137101158
911569552,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2113,338,307,1,860588162
911574041,Delta7(PB15)_L2R7_R,Delta7,Delta7,Traced,1150,513,1137,507,1265893214
911574261,Delta7(PB15)_L1L9R8_R,Delta7,Delta7,Traced,1283,579,1271,572,1331108352
911578483,PFL1(PB12a)_L6_C7,PFLC,PFL1,Traced,1306,282,423,5,1241067076
911578496,Delta7(PB15)_L2R7_R,Delta7,Delta7,Traced,1210,552,1195,541,1222517235
911578595,Delta7(PB15)_L8R1R9_L,Delta7,Delta7,Traced,1320,556,1313,556,1298375984
911893174,SpsP(PB16)_L,SpsP,SpsP,Traced,40,251,35,249,303086718
911897818,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,957,214,493,31,419349386
911897964,PFNv(PB05)_L4_C3,PFNv,PFNv,Traced,824,190,362,33,382389771
911901802,Delta7(PB15)_L4R6_R,Delta7,Delta7,Traced,1254,555,1246,551,1329640874
911906936,Delta7(PB15)_L3R6_R,Delta7,Delta7,Traced,1135,525,1123,512,1201728174
911911004,Delta7(PB15)_L1L9R8_R,Delta7,Delta7,Traced,1496,653,1486,646,1405984537
911911193,Delta7(PB15)_L8R1R9_L,Delta7,Delta7,Traced,1221,594,1213,588,1317101487
911911699,Delta7(PB15)_L2R7_R,Delta7,Delta7,Traced,990,498,984,495,1123963528
911915224,PFR_b(PB11b)_L5_C6,PFR_b,PFR_b,Traced,2043,339,240,24,662075215
911919044,Delta7(PB15)_L6R3_L,Delta7,Delta7,Traced,1186,546,1173,544,1229865638
911919815,P6-8P9(PB14)_L,P6-8P9,P6-8P9,Traced,410,2,402,1,87484848
911919917,Delta7(PB15)_L1L9R8_R,Delta7,Delta7,Traced,1182,562,1174,558,1330959441
912147871,PFGs(PB10)_R6_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2846,608,144,9,1036933538
912238927,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,313,68,137,3,187390993
912243353,Delta7(PB15)_L7R2_L,Delta7,Delta7,Traced,982,508,974,498,1049575086
912252107,,,,Orphan,4,2,4,2,1277847
912488890,PFL3(PB12c)_R3_C5,PB1-7FB1245LAL,PFL3,Traced,3035,2,688,1,940987291
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,321,217,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,231,186,961831095
912894972,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,223,54,92,1,74353202
912894991,PFNv(PB05)_L3_C2,PFNv,PFNv,Traced,1524,325,766,54,631785776
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,633,1,1310859231
913235746,PFNp_e(PB01a)_L2_C1,PFNp_e,PFNp_e,Traced,316,72,115,1,209241742
916284630,PFL2(PB12b)_R2_C4,PB1-4FB1245LAL,PFL2,Traced,2791,419,560,1,1366489368
916974420,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,475,96,163,1,262883335
940787029,IbSpsP(PB17)_R6,IbSpsP,IbSpsP,Traced,875,241,306,240,519735049
940791383,PFNd(PB04)_R6_C4,PFNd,PFNd,Traced,991,183,448,2,408413149
940808800,PFNp_e(PB01a)_R7_C4,PFNp_e,PFNp_e,Traced,380,84,131,1,237152945
941123943,PFL1(PB12a)_R6_C3,PFLC,PFL1,Traced,1592,5,621,2,930344690
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,204,161,1033944779
941136727,SpsP(PB16)_R,SpsP,SpsP,Traced,42,240,42,240,339236431
941464932,,,,Traced,52,41,49,34,103026736
941469087,Delta7(PB15)_L3R6_R,Delta7,Delta7,Traced,1245,535,1240,534,1369185757
941469110,SpsP(PB16)_R,SpsP,SpsP,Traced,31,278,31,278,351541995
941469301,P1-9(PB19)_R,PBPB,P1-9,Traced,250,263,250,261,216188653
941482720,Delta7(PB15)_L6R3_L,Delta7,Delta7,Traced,1081,476,1074,472,1003054397
941810314,Delta7(PB15)_L7R3_L,Delta7,Delta7,Traced,1031,514,1019,497,1071443420
941814244,IbSpsP(PB17)_R6,IbSpsP,IbSpsP,Traced,914,212,250,210,505916997
941814787,Delta7(PB15)_L6R3_L,Delta7,Delta7,Traced,1084,529,1076,520,1177694508
941831818,IbSpsP(PB17)_R3/4/5,IbSpsP,IbSpsP,Traced,725,204,279,204,421257315
941939879,PFL3(PB12c)_L6_C8,PB1-7FB1245LAL,PFL3,Traced,2359,485,374,2,1137135613
941944026,,,,Assign,3,2,3,2,1651976
942172835,PFL3(PB12c)_R4_C4,PB1-7FB1245LAL,PFL3,Traced,2327,5,406,1,885694660
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,864,1,661259565
942254492,PFNp_e(PB01a)_L4_C3,PFNp_e,PFNp_e,Traced,212,56,81,1,169830327
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,293,213,1236585592
942522378,Delta7(PB15)_L2R7_R,Delta7,Delta7,Traced,1059,508,1052,497,1143605864
942539535,PFNp_d(PB01a)_R3_C8,PFNp_d,PFNp_d,Traced,163,26,32,1,115263488
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,1051,2,737594409
942946361,,,,Orphan,11,1,11,1,435442
942959557,IbSpsP(PB17)_L6/7,IbSpsP,IbSpsP,Traced,896,244,360,236,491442720
943269573,IbSpsP(PB17)_L2/4,IbSpsP,IbSpsP,Traced,542,160,226,159,340079469
943921162,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1588,471,85,2,571821666
943955813,PFR_b(PB11b)_L3_C3,PFR_b,PFR_b,Traced,1910,324,328,74,666717755
948333783,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,3219,320,535,2,1090467478
971506655,PFNa(PB03)_R7_C4,PFNa,PFNa,Traced,864,188,394,2,481997001
971817711,PFNv(PB05)_R7_C3,PFNv,PFNv,Traced,1415,342,511,43,589230506
972513129,P6-8P9(PB14)_R,P6-8P9,P6-8P9,Traced,684,104,683,104,353607495
972858260,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1410,394,85,1,458466164
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,438,1,848941665
972975013,,,,Assign,3,2,3,2,59841
973319802,,,,Orphan,4,5,4,5,2103386
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,1037,2,832431327
973626434,,,,Orphan,14,3,14,3,3415255
973894912,IbSpsP(PB17)_R4,IbSpsP,IbSpsP,Traced,803,187,222,187,395411183
973954598,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1987,576,67,1,608509959
973959177,Delta7(PB15)_L6R3_L,Delta7,Delta7,Traced,1071,496,1059,483,1149652995
973963898,IbSpsP(PB17)_L3/4,IbSpsP,IbSpsP,Traced,527,163,230,162,349477117
973972487,,,,Orphan,3,2,3,2,153872
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,1133,4,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,922,2,785035775
974645472,PFR_a(PB11a)_L3_C3,PFR_a,PFR_a,Traced,1829,589,99,2,523810983
976997968,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1223,357,79,1,438963855
979752365,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,2750,307,572,1,1104413493
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,565,1,1065119131
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,231,218,1316105284
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,505,6,1127535523
1002848124,PFNd(PB04)_R7_C3,PFNd,PFNd,Traced,1443,299,528,1,682555606
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,239,211,1209456657
1002999221,PFR_b(PB11b)_L6_C7,PFR_b,PFR_b,Traced,1293,288,153,13,625872511
1003184670,,,,Orphan,4,4,4,4,1486431
1003318634,PFNd(PB04)_L7_C6,,PFNd,Traced,1336,307,350,1,637846497
1003531130,,,,Orphan,13,1,13,1,1143710
1003659595,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,196,84,16,1,175868484
1003672766,PFL1(PB12a)_L7_C9,PFLC,PFL1,Traced,1149,312,315,2,964632002
1003672833,IbSpsP(PB17)_L6/7,IbSpsP,IbSpsP,Traced,607,182,193,177,380386662
1003902029,,,,Assign,2,2,2,2,227598
1004010190,,,,Assign,4,2,4,2,159460
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,490,3,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,188,144,965411401
1004018344,P6-8P9(PB14)_L,P6-8P9,P6-8P9,Traced,436,92,434,92,164957624
1004307201,,,,Assign,10,1,10,1,2011356
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,184,18,761416202
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,75,1,513227795
1033887446,PFGs(PB10)_R7_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2917,574,226,11,1085894735
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,176,178,1185019251
1034711992,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,224,67,56,4,148000552
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,226,208,1027118663
1035640810,IbSpsP(PB17)_R2/3,IbSpsP,IbSpsP,Traced,782,201,287,200,418316198
1035726620,,,,Orphan,1,2,1,2,863731
1035955516,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,392,93,136,2,212169182
1036033557,,,,Orphan,14,1,14,1,1272871
1036322412,,,,Orphan,9,3,9,3,3005559
1036330791,PFR_a(PB11a)_R2_C8,PFR_a,PFR_a,Traced,1492,390,48,1,440621040
1040393594,PFGs(PB10)_L3_C3,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,3123,690,165,7,1117514933
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,839,2,994963622
1064235814,,,,Assign,4,2,4,2,2178192
1064572879,,,,Orphan,7,2,7,2,2174946
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,173,15,745793303
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,530,1,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,197,153,836597415
1066084852,,,,Orphan,3,6,3,6,2491519
1066420480,PFR_b(PB11b)_L7_C8,PFR_b,PFR_b,Traced,1483,330,124,12,643479927
1066679746,,,,Orphan,2,2,2,2,265915
1066748608,IbSpsP(PB17)_L8,IbSpsP,IbSpsP,Traced,499,193,246,181,391016142
1067408697,,,,Orphan,12,1,12,1,430347
1069757725,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,156,36,27,1,113987135
1070439674,PFR_b(PB11b)_L3_C4,PFR_b,PFR_b,Traced,1855,315,128,9,778112832
1072503172,PFR_a(PB11a)_L6_C6,PFR_a,PFR_a,Traced,1566,422,49,1,523432208
1072844208,PFR_a(PB11a)_L6_C7,PFR_a,PFR_a,Traced,1497,389,68,1,490071744
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,203,20,737078778
1094934199,PFNd(PB04)_R8_C2,PFNd,PFNd,Traced,1410,281,570,1,683485050
1095271087,IbSpsP(PB17)_R7/8,IbSpsP,IbSpsP,Traced,560,129,184,129,295926134
1095275456,LPsP(PB13)_L,LPsP,LPsP,Traced,4180,1864,4154,1851,2232146645
1095279301,IbSpsP(PB17)_R7/9,IbSpsP,IbSpsP,Traced,547,241,308,199,522607761
1095953534,,,,Orphan,3,2,3,2,491112
1097407853,IbSpsP(PB17)_L2,IbSpsP,IbSpsP,Traced,619,150,213,149,342574455
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,451,1,868066626
1098098879,,,,Orphan,16,2,16,2,3297184
1098435772,,,,Assign,2,2,2,2,257351
1102191192,PFR_b(PB11b)_R3_C7,PFR_b,PFR_b,Traced,1630,98,197,15,573043300
1103810192,PFGs(PB10)_R8_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2140,424,172,23,949867971
1125964651,PFNv(PB05)_R8_C3,PFNv,PFNv,Traced,1191,347,407,53,607539930
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,185,164,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,766,9,612853083
1125969140,IbSpsP(PB17)_R8,IbSpsP,IbSpsP,Traced,495,136,206,136,311206776
