id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,#voxels
550780387,,,,Traced,43,18,24,8,20401054
550780613,,,,Traced,28,20,9,7,19993844
550780642,,,,Traced,35,28,15,9,20922223
551121526,,,,Traced,35,16,25,12,17918551
580105815,,,,Traced,14,9,12,8,7306885
580106415,,,,Traced,123,10,72,1,25170373
580106818,,,,Traced,74,44,66,32,35518793
580106851,,,,Traced,88,42,79,39,31320840
580109999,,,,Traced,16,10,16,10,9381028
580110031,,,,Traced,30,17,30,17,8547075
580110259,,,,Traced,89,49,85,44,36381522
580446796,,,,Traced,85,42,79,37,32839240
580446942,,,,Traced,95,40,93,40,33722224
580450994,,,,Traced,11,4,11,4,3982241
580451345,,,,Traced,9,7,9,7,3728072
580787798,,,,Traced,90,37,79,35,28165167
580787866,,,,Traced,77,36,72,34,28795212
580787883,,,,Traced,319,69,277,54,54087378
580788097,,,,Traced,22,2,21,2,2361449
580788391,,,,Traced,107,48,99,46,34035470
580788416,,,,Traced,55,30,51,25,24034168
580792261,,,,Traced,4,2,4,2,1244134
580792413,,,,Traced,9,2,9,2,3517620
581133204,,,,Traced,66,25,52,18,26288782
581133446,,,,Traced,47,28,38,22,16082411
581474206,,,,Traced,5,3,4,3,3510322
581474376,,,,Traced,53,25,42,21,23586615
581815284,,,,Traced,40,22,22,13,20637660
581815473,,,,Traced,54,28,38,22,27094384
581815589,,,,Traced,75,28,60,23,24112346
582156735,,,,Traced,41,19,23,14,22504627
609440545,,,,Traced,15,78,1,3,57040458
611145082,,,,Traced,3,2,3,2,1571805
611145230,,,,Traced,40,14,38,13,7474576
611477412,,,,Traced,59,38,51,33,32231482
611481764,,,,Traced,5,5,5,5,3202991
611482169,,,,Traced,12,4,12,4,2810501
611486158,,,,Traced,3,3,3,3,2714231
611823153,,,,Traced,47,1,47,1,3185959
611827043,,,,Traced,271,42,252,41,42011879
611827432,,,,Traced,10,6,10,6,3481037
612168068,,,,Traced,85,49,84,43,32254462
612509328,,,,Traced,10,2,5,1,3928703
612850111,,,,Traced,34,29,30,27,18051662
612850115,,,,Traced,47,25,39,23,18885995
612850256,,,,Traced,46,23,33,19,15921901
612850268,,,,Traced,49,21,39,17,25491491
612850293,,,,Traced,35,24,35,23,16637096
612850359,,,,Traced,44,29,29,22,22099083
612850380,,,,Traced,60,23,27,14,21401675
613191182,,,,Traced,34,17,15,8,19710188
613191341,,,,Traced,46,26,6,3,12431259
613191410,,,,Traced,34,15,28,11,18129553
641834717,,,,Traced,32,10,4,1,11563548
641835844,,,,Traced,84,27,7,1,27997210
642179893,,,,Traced,72,5,52,2,11306342
642516741,,,,Traced,9,6,9,6,4472268
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,372,121,1095641228
642516950,,,,Traced,20,3,20,3,3659149
642516965,,,,Traced,11,3,11,3,4065577
642517061,,,,Traced,4,3,4,2,2437441
642520988,,,,Traced,190,26,155,22,25056858
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,14,1,2023774583
642861943,,,,Traced,248,21,140,3,87205420
642861954,,,,Traced,2,2,2,2,642988
642862339,,,,Traced,61,32,58,31,25272568
643544003,,,,Traced,46,23,44,23,16578793
643885095,,,,Traced,243,38,192,37,34844282
643885096,,,,Traced,49,19,49,16,16767140
643885098,,,,Traced,38,16,37,15,14466356
643885103,,,,Traced,38,16,29,11,17848317
643885213,,,,Traced,57,21,57,20,17118369
643885285,,,,Traced,37,21,35,21,17953518
643885386,,,,Traced,73,38,68,34,27976972
643885450,,,,Traced,34,22,33,21,13658265
644226182,,,,Traced,48,26,18,9,21048631
644226236,,,,Traced,28,20,18,13,21313882
644226282,,,,Traced,40,16,34,15,18583633
644226334,,,,Traced,24,12,19,10,13227326
644226341,,,,Traced,47,19,25,13,18832030
672533634,,,,Traced,21,10,3,3,8205895
672874387,,,,Traced,25,23,3,3,14498758
673547381,,,,Traced,9,7,2,2,9009700
673555794,,,,Traced,5,5,4,1,3954876
673892838,,,,Traced,78,39,65,30,31069427
673892990,,,,Traced,93,46,87,43,33655280
673893063,,,,Traced,29,16,22,13,11042181
673896864,,,,Traced,9,3,9,2,908839
673896935,,,,Traced,6,2,6,2,856858
