id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,753,671,15,2,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,1,6,74,4,547536751
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,71,113,1,1,3369272816
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,1,2,3,8,2685199565
5813022163,SMP148(ADM10)_L,,SMP148,Traced,2308,543,418,477,30,1,1378985998
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,75,13,351,92,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,503,,1423,464,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,83,70,82,18,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,23,32,21,3,903566720
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,2,,49,4,3046434158
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,47,2,443,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,11,,32,18,3343482793
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,1,7,211,143,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,11,,142,10,2038784377
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,572,486,3315,4,1596324019
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,2,,341,118,444049069
