id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,#voxels
487187476,SIP087_R,,SIP087,Traced,10957,3440,31,37,4036468535
488922181,SMP048_R,,SMP048,Traced,5146,2705,67,182,5638174363
512212110,,,,Traced,324,77,148,38,404278247
514475106,SMP371_R,,SMP371,Traced,1578,758,3,8,1591467313
514958793,SMP371(PDM08)_L,,SMP371,Traced,932,500,8,24,901732203
517682957,CRE087(PDM13)_L,,CRE087,Traced,726,366,3,1,882992077
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,1,4,3738265959
518670779,MBON33(y2y3)(ADM05)_L,,MBON33,Traced,2990,390,159,12,1172280543
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,76,21,3103732460
519603027,,,,Traced,428,763,16,36,845562639
520617773,CL265_R,pIP6 candidates,CL265,Traced,2024,941,15,24,3090347718
544637659,SMP192(PDL05)_L,,SMP192,Traced,580,391,27,23,661247098
546196205,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,557,230,29,32,575525624
546641039,SMP052(ADM01)_L,,SMP052,Traced,2992,419,20,2,1278472777
548570973,CRE013_R,,CRE013,Traced,6593,820,289,237,2035120923
549722579,CRE040(ADM10)_L,CL-Sm(c),CRE040,Traced,8553,1786,1535,206,3413169368
550068041,CRE013(ADM05)_L,,CRE013,Traced,5254,1158,583,50,2008584360
550081666,SMP114_R,,SMP114,Traced,4841,773,31,4,2038760331
550404663,SMP154(ADM12)_L,,SMP154,Traced,3322,1232,57,5,2181381449
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,67,7,2914412525
550681259,CRE028_R,,CRE028,Traced,767,226,120,76,728641724
551043841,CRE033_L,,CRE033,Traced,754,252,1,6,706368295
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,11,7,307715800
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,227,88,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,259,130,979623989
575664331,IB048(PDM33)_L,CL-AtIb(b)2,IB048,Traced,741,610,219,15,1058645265
576566287,SMP008_R,aSP14a candidates,SMP008,Traced,765,356,41,106,679984196
576574889,SMP052_R,,SMP052,Traced,3931,454,4,5,1633772127
576898212,SMP007_R,aSP14d candidates,SMP007,Traced,496,247,13,27,624956237
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,72,82,1640712084
578254032,SMP151_R,,SMP151,Traced,1731,597,50,36,1457232811
579425252,Leaves Body,,,Traced,648,720,11,8,820954559
579575594,LHPV5e3_R,,LHPV5e3,Traced,6596,2163,48,144,3043835720
579946370,SMP009_R,,SMP009,Traced,743,308,12,5,625972361
579946915,,,,Traced,288,286,2,1,296736741
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,264,23,2075693705
581099105,SMP178(PDL05)_L,,SMP178,Traced,2970,972,45,21,1411394133
581121328,,,,Traced,890,139,49,1,851399266
581746661,SMP048(ADM01)_L,,SMP048,Traced,2927,2401,218,196,4038248023
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,2,1,324988292
583132200,SMP052(ADM01)_L,,SMP052,Traced,2833,417,16,3,1213845957
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,63,35,1801835068
606703149,SMP185(PDL05)_L,,SMP185,Traced,2206,737,74,83,1338085539
609778038,,,,Traced,566,177,25,4,192778848
610113424,SMP504(PDM22)_L,,SMP504,Traced,2201,1088,38,1,1559291163
610299911,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,626,233,45,39,616710720
610321522,SMP151_R,,SMP151,Traced,1801,578,47,46,1444829096
610731053,CRE027_R,,CRE027,Traced,1623,294,8,3,1208551353
610981584,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,726,323,1,6,665045439
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,687,29,1891978571
611452437,SMP155(ADM12)_L,CSmSi-(AoIb)(i)Si(c),SMP155,Traced,1286,311,10,4,1291043778
