id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,#voxels
981306774,AOTU038_R,,AOTU038,Traced,234,55,36,34,349769614
982540894,CRE090(PDM13)_L,pMP6c candidates,CRE090,Traced,557,209,84,3,672903100
983063787,,,,Traced,150,352,9,41,272758710
983064344,,,,Traced,123,266,33,69,195389314
983180483,,,,Traced,317,53,8,2,132518235
983202377,,,,Traced,270,315,105,71,213997005
983547757,,,,Traced,101,14,14,3,48269782
983767417,LAL175_R,,LAL175,Traced,885,116,7,1,603981792
983771898,,,,Traced,370,449,89,85,357394580
983888897,,,,Traced,280,25,3,1,76109091
983905438,,,,Traced,70,11,24,1,31962417
984536209,LAL100_R,,LAL100,Traced,3609,1173,58,62,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,29,31,540136093
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,45,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,73,85,2278694286
986089634,AOTU003_R,,AOTU003,Traced,506,175,16,35,450761383
986918760,CRE106(PVM14)_L,,CRE106,Traced,488,399,29,20,474668401
986974738,CRE010(ADM03)_L,,CRE010,Traced,649,333,15,7,627397855
988632865,VES045(PDM13)_L,,VES045,Traced,1849,90,86,1,1640753057
1002507170,PFL1(PB12a)_R7_C1,PFLC,PFL1,Traced,1392,85,5,39,1127535523
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,14,16,761416202
1005611449,ATL028(PDM13)_L,CL-IbAtl(b)1,ATL028,Traced,1308,615,427,85,1034935340
1006068474,DP1m_adPN_L,,DP1m_adPN,Traced,7798,1226,2,1,3393904105
1006072867,mPN_L,,,Traced,9,3,1,1,561800569
1008059095,,,,Traced,476,706,3,9,705804597
1010817979,AOTU064(SCB012)_L,,AOTU064,Traced,1941,157,60,85,981272182
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,6,8,4703423471
1012341321,AOTU038_R,,AOTU038,Traced,220,58,26,55,349894692
1013019093,AOTU039_R,,AOTU039,Traced,207,63,39,61,311202946
1013066710,CRE071_R,,CRE071,Traced,1410,623,21,7,1233966102
1013559132,,,,Traced,130,26,89,16,46018171
1013913101,,,,Traced,119,1,9,1,31974387
1014107332,,,,Traced,160,339,27,54,262794569
1014599271,,,,Traced,259,18,59,7,107958376
1014802430,LAL175_R,,LAL175,Traced,1878,450,427,316,924926310
1014936626,,,,Traced,177,38,37,6,94646888
1014936705,,,,Traced,220,13,62,3,98631387
1014940271,,,,Traced,124,4,49,1,89895347
1014940521,,,,Traced,63,9,27,5,49279607
1014940894,,,,Traced,39,10,32,6,41298555
1015138886,,,,Traced,85,98,10,15,132629721
1015143077,CRE024_L,,CRE024,Traced,4924,969,5,3,1768786393
1015264844,,,,Traced,162,36,7,3,67322379
1015281678,,,,Traced,121,16,35,7,58474276
1015281683,,,,Traced,86,7,19,3,47491017
1015479949,CRE003_a_R,aSP14b candidates,CRE003_a,Traced,769,309,20,30,656458777
1015484487,,,,Traced,623,710,30,18,523595977
1015570297,CRE059(AVM13)_L,,CRE059,Traced,667,563,41,17,593637995
1016248907,(PDM13)_L,,,Traced,646,241,29,6,955221841
1016506999,LAL198_R,,LAL198,Traced,2427,780,1,8,1609357758
1017617049,,,,Traced,1431,765,51,42,834504936
1017880794,,,,Traced,269,499,9,38,582186870
1018550022,,,,Traced,143,82,3,1,116601785
1019357327,SMP474(PDM13)_L,,SMP474,Traced,380,230,85,1,621529013
1036503560,LHPV3a1_R,,LHPV3a1,Traced,1254,229,3,2,502388494
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,2,2,5331729469
1037972384,WED127_R,,WED127,Traced,538,167,31,38,634203456
1039775880,FC2B(FQ7)_C6_R,FB1d356CRE,FC2B,Traced,2246,233,4,4,482810578
1043919973,,,,Traced,567,56,140,26,364338728
1044262482,,,,Traced,240,21,111,10,218531919
1044590094,,,,Traced,173,103,10,39,222399935
1045262699,,,,Traced,487,461,171,201,379508112
1045289401,,,,Traced,56,9,9,2,52613832
1045617093,,,,Traced,136,3,79,1,102250057
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,758,13,760736824
1046614416,,,,Traced,102,76,6,1,60873615
1046990664,,,,Traced,21,66,1,1,42783998
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,63,16,552011293
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,79,2,4211579375
1048250312,LAL155_R,,LAL155,Traced,2385,591,26,46,1317529596
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,16,2,699203176
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,409,260,959950008
1049351868,FB5V_L,CRELALFB5,FB5V,Traced,723,155,215,4,323417675
1049674502,FB5V_L,CRELALFB5,FB5V,Traced,906,285,101,14,432827534
1050024735,FB5V_L,CRELALFB5,FB5V,Traced,722,178,261,3,370605789
1050067438,,,,Traced,80,146,12,21,141775715
1050067540,,,,Traced,80,150,42,60,172299801
1050685061,ATL027(PDM13)_L,,ATL027,Traced,2106,587,622,41,974728644
1050707285,(PVL05)_L,,,Traced,83,135,41,77,120511544
1051311534,LAL176_R,,LAL176,Traced,1060,188,205,156,541040227
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,17,12,745793303
1070102904,FB5T_L,CRESMPFB5_6,FB5T,Traced,688,188,51,1,346991797
1070379357,PLP229_R,,PLP229,Traced,3041,476,3,6,1473463852
1073504644,PFR_b(PB11b)_R5_C4,PFR_b,PFR_b,Traced,2215,271,18,7,737078778
1075062749,AVLP157_R,,AVLP157,Traced,2129,844,4,2,1640064576
1076168044,,,,Traced,187,282,34,71,213330499
1076669203,,,,Traced,42,4,6,2,10626529
1076841388,,,,Traced,107,232,32,93,174454918
1077312884,,,,Traced,19,54,4,15,45630139
1077689062,,,,Assign,18,1,3,1,6939951
1079687209,(PVL05)_L,,,Traced,157,176,1,8,165023040
1080386873,,,,Traced,550,431,39,20,374813331
1080705988,(PVL05)_L,,,Traced,177,209,15,20,189135489
1081418267,(PVL05)_L,,,Traced,71,109,52,92,92245911
1081957306,CRE041_R,CL-L(c)2,CRE041,Traced,9609,533,255,287,2917394941
1097300368,IB072_R,,IB072,Traced,572,124,147,121,475577479
1097718901,PFL1(PB12a)_R2_C7,PFLC,PFL1,Traced,1417,9,5,3,868066626
1099808012,IB071(PVM03)_L,,IB071,Traced,393,209,1,1,326371007
1100796921,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2493,2346,1,2,1593973477
1100801075,FB4M(PPM3-FB3/4-NO-DAN)_L,CRENO2FB4_2,FB4M,Traced,2596,2354,1,1,1579340978
1101094884,LAL006_R,,LAL006,Traced,307,107,31,39,319576274
1101142279,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2700,526,175,10,713952917
1103577592,FC2C(FQ7)_C8_R,FB1d367CRE,FC2C,Traced,1482,149,1,2,352366383
1107332454,,,,Traced,179,29,25,4,51171284
1107345646,,,,Traced,211,8,99,4,78880124
1108036315,,,,Traced,18,1,10,1,9154334
1108041291,,,,Traced,62,16,35,11,24839666
1108045375,,,,Traced,112,210,29,68,169266302
1108136270,AOTU040_R,,AOTU040,Traced,240,49,40,47,251080743
1108222244,,,,Traced,145,308,27,85,230371781
1108382316,,,,Traced,61,8,28,5,27423368
1109025922,,,,Traced,131,8,3,1,73211844
1109707604,,,,Traced,116,17,23,1,94120769
1111439269,(PVL05)_L,,,Traced,85,110,16,27,105164671
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,526,56,1054960124
1111779767,(PVL05)_L,,,Traced,53,62,41,51,77374843
1111783821,(PVL05)_L,,,Traced,34,55,18,37,75739503
1112099400,SMP163(AVM04)_L,,SMP163,Traced,1362,125,427,41,751942117
1112431072,CRE028_R,,CRE028,Traced,1347,312,99,60,873325642
1112436285,,,,Traced,376,677,139,213,490334249
1112443807,LAL129(PDM13)_L,,LAL129,Traced,2988,1085,1426,252,1382344571
1112474319,,,,Traced,73,202,5,37,169187019
1112777131,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1404,354,112,1,582749115
1131836229,FB4C(NO2)_L,CRENO2FB4_1,FB4C,Traced,4730,917,27,5,1390563331
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,10,1,560532390
1133455474,CL333_R,,CL333,Traced,2675,304,58,198,2026670082
1135907207,PFR_b(PB11b)_R6_C3,PFR_b,PFR_b,Traced,2556,229,10,13,704924127
1137957299,ATL005(ADM02)_L,CL-AtIb(c)2,ATL005,Traced,1287,277,558,22,767461289
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,223,260,3708849906
1138713572,,,,Traced,15,15,1,2,17502196
1138730002,,,,Traced,162,32,93,19,52106418
1138937616,,,,Traced,95,145,2,1,167092902
1139079982,,,,Traced,16,4,4,1,7686756
1139265826,LAL075_R,L-LC(c)2,LAL075,Traced,4077,440,93,177,1200070323
1140440561,,,,Traced,118,113,11,10,50041353
1142452342,,,,Traced,69,6,17,2,61900953
1143129698,FB5V_L,CRELALFB5,FB5V,Traced,932,209,298,2,401889647
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,112,217,606324377
1143790253,,,,Traced,916,221,543,127,349015475
1143807196,,,,Traced,1241,1358,163,223,1094396908
1143811127,,,,Traced,146,345,65,143,253305228
1143815846,,,,Traced,331,21,110,1,143413228
1144756508,,,,Traced,78,523,8,58,572144725
1144761556,LAL129_R,,LAL129,Traced,4068,1156,124,97,1629782018
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,15,11,639370086
1160073701,LAL191_R,,LAL191,Traced,941,620,44,100,1138606987
1161117856,IB023_R,,IB023,Traced,1922,153,8,17,1118669888
1161429278,PS250_R,,PS250,Traced,502,143,18,37,704942298
1162944117,(ADM03)_L,,,Traced,113,349,3,11,244170335
1163190900,FB5V_L,CRELALFB5,FB5V,Traced,968,282,188,16,462718318
1163194940,FB4I_L,LALCREFB4,FB4I,Traced,1454,320,391,9,578397680
1163199311,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1690,678,135,4,817671200
1163228703,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1231,361,147,1,540522164
1163570493,FB5V_L,CRELALFB5,FB5V,Traced,1224,273,330,17,450487949
1164131530,CL033(ADL27)_L,,CL033,Traced,2105,2961,1,1,3406078343
1165823464,,,,Traced,193,238,2,1,266294180
1166695545,,,,Traced,43,47,15,10,49242196
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,48,160,1481422725
1167295853,ER4d(ring)_L,,ER4d,Traced,1847,538,3,2,736880426
1167295856,ER4d(ring)_L,,ER4d,Traced,1925,553,5,1,814085663
1167295872,ER4d(ring)_L,,ER4d,Traced,2193,621,5,3,786241461
1167295916,ER4d(ring)_R,,ER4d,Traced,2047,554,6,4,1212692476
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,7,2,795222199
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,3,1,1125394909
1167304403,ER4d(ring)_R,,ER4d,Traced,2039,552,1,2,1166760517
1167632513,ER4d(ring)_R,,ER4d,Traced,2037,590,4,1,1211989816
1167645523,ER4d(ring)_L,,ER4d,Traced,1875,527,4,5,773720688
1167891559,ER4d(ring)_R,,ER4d,Traced,2129,613,6,3,1292065740
1167982211,ER4d(ring)_L,,ER4d,Traced,1615,487,3,1,670334136
1168664512,FC1C(FQ6)_C9_L,FB2CRE,FC1C,Traced,488,110,2,1,223552690
1168724939,,,,Traced,27,76,9,45,71688562
1169079137,,,,Traced,86,10,71,6,27583274
1169752380,,,,Traced,75,9,28,5,23492202
1169753009,,,,Traced,75,124,40,61,78889959
1169907679,LAL088_R,,LAL088,Traced,767,125,103,106,444715060
1170352367,LAL008_R,,LAL008,Traced,1897,388,312,195,1094926658
1170891789,AOTU039_R,,AOTU039,Traced,199,66,37,65,290715475
1170935308,AOTU004_R,,AOTU004,Traced,440,189,69,108,370783828
1171785552,PAM13(B'1ap)_L,,PAM13,Traced,662,221,31,1,282949058
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,6,9,547627159
1189706008,PS203_R,,PS203,Traced,1637,331,230,273,1116180914
1190763066,IB074_R,,IB074,Traced,780,209,367,198,549179651
1192270061,,,,Traced,227,158,47,15,304491353
1194242354,FB4E_L,CRELALFB4_1,FB4E,Traced,754,194,66,1,306159092
1194562363,FB5V_L,CRELALFB5,FB5V,Traced,772,185,290,2,389750439
1198049989,FC2C(FQ7)_C9_R,FB1d367CRE,FC2C,Traced,1073,142,3,5,304289885
1198693217,ER4d(ring)_R,,ER4d,Traced,1926,558,9,3,1138756041
1198931241,ER4d(ring)_R,,ER4d,Traced,2230,596,5,4,1174302319
1200001508,LAL073(AVM07)_L,VeL-LVe(c)2,LAL073,Traced,1087,1237,948,1,1632152374
1200014419,LAL076(AVM07)_L,L-LC(c)1,LAL076,Traced,1993,794,1827,1,1085408939
1200032115,PFL3(PB12c)_R7_C1,PB1-7FB1245LAL,PFL3,Traced,4647,264,60,254,1365251696
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,56,175,1532312771
1200096117,,,,Traced,106,25,10,6,27087395
1200942398,AOTU037_R,,AOTU037,Traced,663,113,120,110,475960874
1201120453,,,,Traced,68,10,19,5,20570191
1201128268,,,,Traced,41,6,21,4,21731484
1201815507,,,,Traced,40,101,13,32,79794312
1202677966,,,,Traced,112,224,12,13,300144230
1220239834,(PVM09)_L,,,Traced,303,148,275,138,490667225
1222100337,VES070_R,,VES070,Traced,1233,462,125,290,1272093233
1223200775,IB062_R,,IB062,Traced,816,226,68,107,933486044
1223616241,VES078(PVM09)_L,,VES078,Traced,845,562,1,1,900592899
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,1,1,638450431
1225553531,IB078_R,,IB078,Traced,527,36,2,4,377830143
1229965474,ER4d(ring)_R,,ER4d,Traced,1948,575,8,6,1246980226
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,5,3,777031418
1230026402,ER4d(ring)_L,,ER4d,Traced,1845,537,6,1,760123557
1231044615,LAL076_R,L-LC(c)1,LAL076,Traced,4220,709,144,599,1394142188
1231070863,ER5(ring)_L,,ER5,Traced,922,549,1,1,718636091
1231481760,,,,Traced,79,120,37,72,99542366
1232038141,LAL123_R,VeLC-LVe(c)3,LAL123,Traced,6473,549,249,210,1842453375
1232041867,,,,Traced,84,85,1,1,79523241
1232163708,,,,Traced,200,82,148,49,90893574
1232867161,,,,Traced,82,20,5,2,39940481
1236579033,,,,Traced,406,140,305,118,237645724
1251810459,IB069_R,,IB069,Traced,418,97,4,6,665951153
1252836874,IB079_R,,IB079,Traced,445,48,4,4,404925099
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,52,124,622234921
1256800488,PVLP144_R,,PVLP144,Traced,356,250,4,2,610577877
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,4,2,1276005185
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1,1,720375603
1262170241,,,,Traced,794,59,95,6,419459575
1262183558,,,,Traced,5,10,2,4,10664662
1263197985,,,,Orphan,18,15,2,3,8524781
1263207332,,,,Traced,612,105,114,20,183950862
1263215589,,,,Traced,11,26,4,10,26701109
1263404948,,,,Traced,196,379,72,151,285776211
1265037070,AOTU040_R,,AOTU040,Traced,213,48,37,48,251272409
1283552888,IB072_R,,IB072,Traced,441,121,162,115,461643993
1283876743,IB084_R,,IB084,Traced,466,136,250,133,393716281
1291103485,ER1_a(ring)_L,,ER1_a,Traced,368,189,1,1,224377538
1292846965,ER4d(ring)_L,,ER4d,Traced,1823,554,4,1,793818583
1293547032,,,,Traced,62,70,29,41,47090988
1293564113,,,,Traced,6,21,1,7,19416464
1293564219,,,,Traced,12,23,4,9,27100654
1293567959,,,,Traced,87,88,87,88,66751895
1293892027,,,,Traced,689,108,202,66,279093265
1293896697,FB4F_a_L,CRELALFB4_2,FB4F_a,Traced,1739,451,157,2,631618150
1293896790,,,,Traced,94,7,72,5,42115064
1293900457,,,,Traced,61,9,13,5,18605412
1293909214,,,,Traced,26,34,1,4,21316160
1294102958,,,,Traced,166,375,59,159,267430258
1294233233,,,,Traced,93,336,59,245,265379610
1294237356,,,,Traced,416,455,374,404,245171513
1294237693,,,,Traced,62,4,46,2,20614487
1294595544,,,,Traced,85,46,39,10,57729064
1295260974,,,,Traced,79,50,8,2,46385800
1298476253,LAL086_R,AoL-L(c),LAL086,Traced,581,92,70,91,418017130
1298623653,,,,Traced,419,4,108,2,257906529
1298985697,CRE086(PDM13)_L,,CRE086,Traced,410,249,61,23,540457525
1298986046,,,,Traced,535,385,242,195,351298339
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,213,399,2323036998
1311125016,LAL158_R,,LAL158,Traced,971,19,1,14,1000029046
1313175597,PS203_R,,PS203,Traced,763,283,3,6,922972750
1315602702,IB080_R,,IB080,Traced,507,20,2,2,407534087
1315740244,,,,Traced,732,224,1,2,717772253
1316764020,,,,Traced,127,299,1,5,297262232
1317100547,,,,Traced,15,3,2,1,87840424
1321305063,PVLP144_R,,PVLP144,Traced,165,18,1,4,439701881
1322129724,ER1_b(ring)_L,,ER1_b,Traced,482,201,3,1,244246188
1322129730,ER1_b(ring)_L,,ER1_b,Traced,509,202,1,1,235331267
1322133531,ER1_b(ring)_L,,ER1_b,Traced,468,189,4,1,234150609
1322142804,ER1_b(ring)_L,,ER1_b,Traced,158,88,2,2,103711026
1323243472,(ADM03)_L,,,Traced,40,56,2,1,68502733
1323583955,(ADM03)_L,,,Traced,496,141,355,90,234732605
1323584038,(ADM03)_L,,,Traced,661,163,363,99,185412825
1323584584,(ADM03)_L,,,Traced,812,99,662,62,350475898
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,4,5,1148479791
1324581060,,,,Traced,90,110,42,65,67463568
1324590161,,,,Traced,26,104,7,49,71327710
1324932066,,,,Traced,31,7,24,6,36963897
1325133618,LAL045_R,VeL-L(c),LAL045,Traced,3392,1042,145,178,1863773445
1325138101,,,,Traced,174,388,79,185,232769293
1325138112,VES041(AVM21)_L,IbSpVeL-(LIb)(c)Sm(b),VES041,Traced,2482,2486,398,426,2676458550
1325138116,CRE002_R,,CRE002,Traced,1020,466,110,158,769437715
1325267493,,,,Traced,30,3,12,1,10133904
1325271872,,,,Traced,260,20,235,20,92083255
1325799453,LAL087_R,L-L(c)1,LAL087,Traced,361,51,37,49,279192876
1330008281,LAL191(PVM09)_L,,LAL191,Traced,346,530,62,174,558358802
1330370267,(PVL05)_L,,,Traced,77,95,17,22,138986330
1331311183,LAL163(PVM03)_L,VeL-LVeC(c),LAL163,Traced,562,536,288,105,795002234
1344918576,IB082_R,,IB082,Traced,444,99,8,14,342352379
1345972395,IB073_R,,IB073,Traced,381,142,215,138,460944847
1346028654,(ADM03)_L,,,Traced,555,24,78,2,396591798
1346628780,IB082_R,,IB082,Traced,519,44,4,5,328994997
1348131252,,,,Traced,29,128,4,48,241295922
1349740992,FB3C_L,LALSMPFB3,FB3C,Traced,673,240,3,1,349414689
1350034937,PS217_R,,PS217,Traced,1443,131,12,20,653614214
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,5,9,5492683352
1353168228,ER1_b(ring)_L,,ER1_b,Traced,211,82,3,3,105050398
1353246736,,,,Traced,39,20,2,4,49989216
1353359159,AVLP154_R,,AVLP154,Traced,2564,1155,1,4,1771062430
1354278235,(ADM03)_L,,,Traced,585,89,173,17,368511342
1354619071,(ADM03)_L,,,Traced,397,3,302,3,93007453
1354619086,(ADM03)_L,,,Traced,1,2,1,1,61940952
1354619148,(ADM03)_L,,,Traced,10,11,2,6,65249901
1354619186,(ADM03)_L,,,Traced,934,113,22,3,473777972
1354959984,(ADM03)_L,,,Traced,3,4,1,3,23239741
1355284031,,,,Traced,40,9,21,5,24080523
1355624749,,,,Traced,43,12,26,11,17309243
1355624884,,,,Traced,29,54,20,38,39146772
1355633378,,,,Traced,1,8,1,1,4768110
1355961919,,,,Traced,786,676,684,547,389587278
1355966777,,,,Traced,8,17,5,10,14119945
1355983256,,,,Traced,64,74,60,73,64950960
1356302982,,,,Traced,59,10,37,2,35739475
1356306853,,,,Traced,276,7,264,7,165050803
1356316624,,,,Traced,103,68,37,14,57122363
1356316699,,,,Traced,91,70,59,21,48998560
1356319994,,,,Traced,269,173,125,115,146839086
1356321424,,,,Traced,17,14,6,5,9647336
1356652960,,,,Traced,23,25,16,3,16613069
1356660985,,,,Traced,65,6,13,1,16045586
1356661342,,,,Traced,10,27,5,13,25674889
1356665379,,,,Traced,91,86,15,16,84106745
1356988874,,,,Traced,269,82,163,49,163762592
1356989828,,,,Traced,21,16,1,1,11823847
1356997835,,,,Traced,76,5,24,3,25503446
1357006837,,,,Traced,29,5,10,2,14578525
1360693580,,,,Orphan,19,27,4,5,34396078
1360719542,,,,Traced,355,105,238,66,209413394
1362674294,VES067(PVM01)_L,,VES067,Traced,534,580,125,23,1084170295
1375206889,CL309_R,,CL309,Traced,1647,356,3,1,1448439545
1376333614,IB075_R,,IB075,Traced,657,159,45,78,522147676
1377365394,IB083_R,,IB083,Traced,401,117,139,96,311346240
1378785906,,,,Traced,603,445,27,4,811507599
1378824779,,,,Traced,9,31,1,1,207845288
1380737049,IB077_R,,IB077,Traced,579,92,17,28,390032445
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,43,191,1437029317
1384286650,(ADM03)_L,,,Traced,343,97,68,25,272342089
1384971580,,,,Traced,65,87,5,7,63500290
1385433981,AVLP579_R,,AVLP579,Traced,629,299,148,204,797760873
1385653707,(ADM03)_L,,,Traced,2,2,2,2,8136733
1385653797,(ADM03)_L,,,Traced,6,5,5,2,12392737
1386327104,,,,Traced,43,56,39,49,53416508
1386331495,,,,Traced,16,3,2,2,6305568
1386659953,,,,Traced,26,48,14,28,25119398
1386659988,,,,Traced,51,12,25,5,23941840
1386660354,,,,Orphan,21,1,13,1,2938884
1386663799,,,,Traced,30,13,6,1,8882147
1386668634,,,,Traced,19,15,17,9,11869560
1386996608,,,,Traced,324,303,224,212,212319458
1387000557,,,,Traced,49,11,44,10,19098417
1387001187,,,,Traced,40,12,39,12,22205104
1387005476,,,,Traced,37,5,1,2,11775186
1387018139,,,,Traced,59,73,56,65,60587446
1387342451,,,,Traced,44,99,33,75,65582230
1387355817,,,,Traced,8,37,5,26,36114032
1387356493,,,,Traced,6,27,4,3,27839489
1387359294,,,,Traced,10,31,7,20,35647499
1387683286,,,,Traced,112,12,33,2,39098428
1387683981,,,,Traced,176,258,148,215,200688094
1387687146,LAL010(ADM03)_L,,LAL010,Traced,1465,294,1182,234,634639192
1388028344,,,,Traced,43,4,12,2,14779322
1388693159,,,,Traced,166,79,2,1,38659912
1391749643,,,,Traced,143,96,77,58,88500465
1392095068,,,,Traced,257,36,176,28,171527503
1392440010,LAL192(PVM09)_L,,LAL192,Traced,623,513,42,135,623847777
1404933332,SAD084_R,,SAD084,Traced,1657,312,30,111,1715727181
1405226806,PVLP138_R,,PVLP138,Traced,1659,115,21,49,1331952172
1405615693,WED125_R,,WED125,Traced,968,214,8,7,758292973
1405992348,PS231_R,,PS231,Traced,1855,440,5,1,1352005857
1406276743,LAL178_R,,LAL178,Traced,145,85,21,84,401804554
1407130999,LAL097_R,,LAL097,Traced,113,23,8,7,219914878
1409834321,,,,Traced,164,15,63,1,76100131
1410516394,IB078(PVM03)_L,,IB078,Traced,323,186,1,1,340875873
1416006838,,,,Traced,255,79,5,1,226077822
1416900410,ER4d(ring)_L,,ER4d,Traced,1931,562,7,3,783143047
1417030398,,,,Traced,165,196,158,191,141876527
1417030579,,,,Traced,187,214,186,208,163952693
1417556867,,,,Traced,122,133,9,15,141999686
1417690216,,,,Traced,29,49,25,44,42869869
1417694673,,,,Traced,24,57,18,49,27110138
1417699854,,,,Traced,30,10,30,8,16121416
1417699989,,,,Traced,35,1,10,1,16309740
1417700415,,,,Traced,18,3,8,2,6827399
1418022622,(PVL05)_L,,,Traced,108,110,7,9,104899227
1418031957,,,,Traced,215,147,104,66,138018352
1418035853,,,,Traced,100,32,79,28,36231661
1418036017,,,,Traced,78,8,69,5,34477746
1418036641,,,,Traced,41,97,22,55,45145684
1418049316,,,,Traced,14,15,9,9,11495709
1418052925,,,,Traced,1,5,1,5,5071399
1418372820,,,,Traced,29,40,26,35,32265199
1418386378,,,,Traced,73,66,40,48,43585655
1418386387,,,,Traced,23,125,21,105,111141117
1418390352,,,,Traced,47,84,36,59,79561615
1418390883,,,,Traced,1,10,1,8,7843824
1418391203,,,,Traced,7,26,5,13,17540814
1418731836,,,,Traced,3,11,1,2,9503957
1419266727,LAL152_R,,LAL152,Traced,1830,7,3,1,957562765
1419374057,,,,Traced,116,63,1,1,32406936
1419741047,,,,Traced,10,5,3,2,11085331
1419927105,,,,Traced,383,484,63,94,433339040
1420060490,,,,Traced,104,51,4,2,29834986
1420418437,,,,Traced,124,57,2,1,28468433
1436650486,LAL167_R,,LAL167,Traced,346,113,3,5,488690568
1436758299,VES056(PDM28)_L,,VES056,Traced,341,687,7,1,1039622256
1436987180,PS232_R,,PS232,Traced,3300,215,11,43,1495799448
1436991674,LAL168_R,,LAL168,Traced,518,236,5,1,634295719
1437492175,(PVM03)_L,,,Traced,178,243,16,1,341921529
1437492192,LAL090_R,L-Lic(c),LAL090,Traced,635,54,22,46,312375817
1437682098,LAL169_R,,LAL169,Traced,2778,701,115,75,1467699526
1437682133,LAL163_R,VeL-LVeC(c),LAL163,Traced,1867,558,183,227,997475900
1437833260,,,,Traced,31,91,14,16,134760659
1438804978,,,,Traced,146,103,77,66,124514763
1440462757,VES020_R,,VES020,Traced,706,206,4,8,482604588
1447724560,,,,Traced,69,53,47,37,92764497
1448064992,,,,Traced,95,147,47,78,142612880
1448065485,,,,Traced,115,206,57,100,152295170
1448388613,,,,Traced,81,139,77,123,71147707
1448388961,,,,Assign,10,1,10,1,2168999
1448393016,,,,Traced,36,18,29,13,11833578
1448393050,,,,Traced,102,72,54,41,44477459
1448393418,,,,Traced,61,67,44,48,47342193
1448393728,,,,Traced,16,56,13,49,27468384
1448397185,,,,Traced,89,147,62,115,128525929
1448397196,,,,Traced,9,74,9,74,50811358
1448397371,,,,Traced,3,2,3,2,3654323
1448544317,,,,Traced,146,278,2,5,267373547
1448587188,,,,Traced,144,155,46,62,143772560
1448721589,,,,Orphan,3,4,2,3,1865809
1448738694,,,,Traced,15,3,15,3,8995202
1448739309,,,,Orphan,16,2,16,2,5958189
1448739426,,,,Traced,286,38,280,38,127650173
1448742575,,,,Traced,78,15,78,15,33835980
1448743215,,,,Traced,59,71,59,71,55584019
1448743216,,,,Traced,8,2,8,2,3609833
1448929584,,,,Traced,72,137,3,1,131177633
1449070799,,,,Traced,94,34,91,28,47348339
1449079730,,,,Traced,15,11,15,11,9347953
1449080034,,,,Orphan,10,5,9,5,7139659
1449083551,,,,Traced,3,6,1,5,5423289
1449084398,,,,Traced,3,4,3,4,3826808
1449084442,,,,Traced,9,16,4,13,14037959
1449084616,,,,Traced,15,2,12,2,2312611
1449084658,,,,Traced,1,7,1,7,4734777
1449084981,,,,Traced,4,8,4,8,5998159
1449088039,,,,Traced,3,10,3,10,4178451
1449407374,,,,Traced,201,336,174,307,247018552
1449412013,,,,Traced,14,30,3,3,20440812
