id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,#voxels
1261086756,ER3d_a(ring)_R,,ER3d_a,Traced,1281,358,104,3,682688537
1261350111,,,,Orphan,9,2,9,2,3139577
1261419142,ER3d_c(ring)_R,,ER3d_c,Traced,1195,320,103,4,682692254
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,81,1,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,110,1,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,140,4,727214630
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,128,5,635382116
1261423534,ER3d_d(ring)_R,,ER3d_d,Traced,1187,317,100,4,648201843
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,118,1,741793195
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,94,4,596231811
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,100,5,572586665
1261432168,ER3d_d(ring)_R,,ER3d_d,Traced,1088,328,120,11,591625826
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,105,3,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,94,4,680933989
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,128,5,699809561
1261760187,ER3d_c(ring)_R,,ER3d_c,Traced,1163,321,144,5,690086716
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,48,9,472529807
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,121,6,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,137,2,568507214
1261768913,ER3m(ring)_R,,ER3m,Traced,1078,362,54,5,633547676
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,78,4,462734560
1261773304,ER3d_d(ring)_R,,ER3d_d,Traced,1134,300,98,2,657613914
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,112,5,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,34,2,494934893
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,77,3,457061603
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,54,1,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,56,4,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,52,2,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,105,5,671179407
