id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,73,84,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,181,89,5,3,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,8,4,5,4,449871654
518869459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,557,242,2,,10,5,418664355
518930199,MBON35(y2)_R,,MBON35,Traced,21335,1746,5,,3848,9,3839917924
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,4,2,8,6,435315429
519214622,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,659,259,1,,26,12,446204773
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,4,7,2,455019134
519564501,KCab-s_R,,KCab-s,Traced,496,193,214,106,2,1,245598444
539975122,KC(incomplete?),,,Traced,671,213,1,,208,81,394579982
540389646,KCg-m_R,,KCg-m,Traced,845,252,1,1,534,194,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,13,2,470,204,378955754
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,8,4,2,2,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,6,4,12,8,429727313
549226277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,1,,4,2,387491401
549899821,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,254,2,,7,5,438957339
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,1,1,17,11,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,3,1,11,7,433385122
550599514,KCab-s_R,,KCab-s,Traced,599,207,233,95,1,1,274655094
570742599,KCg-m_R,,KCg-m,Traced,800,259,1,,523,209,409027498
571424636,KCg-m_R,,KCg-m,Traced,802,249,3,2,507,200,364253672
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,22,11,3,2,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,14,1,17,10,417324948
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,3,1,9,7,391955328
580934661,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,657,275,2,,11,8,452235552
581678043,CRE051_R,,CRE051,Traced,1335,185,8,,9,2,433534708
601725569,KCg-d_R,,KCg-d,Traced,562,227,5,2,290,152,333188141
602459213,KCg-m_R,,KCg-m,Traced,755,246,2,,455,193,399181449
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,1,,4,3,427745414
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,2,,10,8,406286707
611323175,mALB1_L,,mALB1,Traced,3606,1903,1,,4,1,3507551623
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,3,2,11,5,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,27,14,2,1,405985069
630731599,KCg-t_R,,KCg-t,Traced,649,228,3,2,340,165,307105674
632808044,KCg-m_R,,KCg-m,Traced,821,239,1,,439,186,391614106
633148704,KCg-m_R,,KCg-m,Traced,848,237,1,,508,199,360958036
633148716,KCg-m_R,,KCg-m,Traced,869,253,13,3,486,214,387890610
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,2,1,3,2,424988147
643362770,KCab-s_R,,KCab-s,Traced,596,243,246,107,2,3,320018612
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,18,3,3,3,388134264
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,4,3,11,4,426186749
662452625,KCg-m_R,,KCg-m,Traced,855,287,6,3,537,221,420547401
662802782,KCg-m_R,,KCg-m,Traced,821,234,2,,510,192,343032811
663134970,KCg-m_R,,KCg-m,Traced,784,259,1,1,468,196,392525010
664511977,KCg-d_R,,KCg-d,Traced,1251,454,5,1,864,403,629975750
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,1,1,8,5,436340617
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,50,9,17,5,251389374
692810011,KCg-m_R,,KCg-m,Traced,874,280,2,3,544,228,423745211
