id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,13,6,3,1,331043517
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,11,10,5,2,425938168
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,7,5,7,3,365482537
5812982514,KCab-s_R,,KCab-s,Traced,589,237,3,1,155,62,363758686
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,8,4,13,4,418473741
5812982780,KCab-p_R,,KCab-p,Traced,700,235,3,1,225,78,384605451
5812983009,KCg-m_R,,KCg-m,Traced,757,230,450,176,,2,354509134
5812983012,KCab-s_R,,KCab-s,Traced,609,228,6,3,191,73,329761289
5812983147,KCg-m_R,,KCg-m,Traced,919,285,638,252,1,2,351871022
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,8,4,12,6,386511183
5812983213,KCab-s_R,,KCab-s,Traced,621,216,1,1,189,73,325890550
5813019609,KCab-s_R,,KCab-s,Traced,620,266,1,,187,102,318658265
5813021033,KCab-p_R,,KCab-p,Traced,804,252,1,,284,97,410859481
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,17,9,,3,467946092
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,3,3,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,7725,12,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,5,1,3288021127
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,1010,471,1,1,975624467
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,10,6,,1,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,3,6,263,78,339903729
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,45,11,8,1,281021176
5813033226,KCg-m_R,,KCg-m,Traced,772,210,462,173,2,2,340972646
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,19,6,,1,420504766
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,,162,72,322349102
5813060643,KCab-p_R,,KCab-p,Traced,681,264,2,2,243,87,369871738
5813062850,KCab-s_R,,KCab-s,Traced,547,228,2,1,146,87,346545830
5813077575,KCg-d_R,,KCg-d,Traced,625,242,470,205,,1,361698810
5813078053,KCab-s_R,,KCab-s,Traced,691,238,2,2,181,66,268635703
5813105172,DPM_R,,DPM,Traced,77269,17628,24376,5774,8630,1738,15191654896
5813110639,KCg-m_R,,KCg-m,Traced,734,225,466,199,,1,350925855
