id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
394755632,KCab-c_R,,KCab-c,Traced,376,132,173,62,91,38,96103161
394755645,KCab-c_R,,KCab-c,Traced,398,138,159,51,108,39,120273170
394755742,KCab-c_R,,KCab-c,Traced,369,146,167,67,106,44,125954986
394755782,KCab-c_R,,KCab-c,Traced,387,156,105,51,136,54,177047918
394759626,KCab-c_R,,KCab-c,Traced,482,167,171,61,117,53,153076898
394759837,KCab-m_R,,KCab-m,Traced,525,179,201,87,128,48,268892626
394764082,KCab-m_R,,KCab-m,Traced,541,212,178,78,174,82,308206119
394768379,KCab-s_R,,KCab-s,Traced,700,241,260,106,211,78,392955797
395105113,KCab-m_R,,KCab-m,Traced,534,202,217,96,122,59,259213714
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,2037,513,17924,199,3157840413
424754530,KCab-s_R,,KCab-s,Traced,612,241,250,111,157,77,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,651,177,320,65,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,1,10037,18,4356555624
425086839,KCab-p_R,,KCab-p,Traced,623,278,199,101,192,82,248480964
425086851,KCab-p_R,,KCab-p,Traced,737,269,253,96,250,88,382647663
425104113,KCab-m_R,,KCab-m,Traced,545,229,218,108,154,70,210871137
425104216,KCab-m_R,,KCab-m,Traced,579,208,201,89,164,65,185589062
425112506,KCab-s_R,,KCab-s,Traced,628,266,272,119,191,95,308889289
425431837,KCab-s_R,,KCab-s,Traced,606,235,227,124,163,77,248439472
425436170,KCab-m_R,,KCab-m,Traced,566,202,221,93,154,67,263682119
425445301,KCab-c_R,,KCab-c,Traced,545,196,164,63,144,60,251281217
425768768,KCab-s_R,,KCab-s,Traced,609,237,211,106,160,84,355693478
425768822,KCab-s_R,,KCab-s,Traced,719,254,241,111,248,89,350843815
425790257,APL_R,,APL,Traced,127151,16190,14634,1644,14938,1215,23360457066
426139965,KCab-s_R,,KCab-s,Traced,643,242,260,119,162,74,331273116
426464004,KCab-s_R,,KCab-s,Traced,567,218,203,99,187,85,314329970
426477089,KCab-s_R,,KCab-s,Traced,577,232,201,100,203,87,316376045
426818061,KCab-p_R,,KCab-p,Traced,642,263,212,94,196,85,271653563
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,22,4,662,182,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1,,1134,335,846161332
455793621,KCab-s_R,,KCab-s,Traced,617,233,263,115,161,75,311395618
455793743,KCab-s_R,,KCab-s,Traced,634,244,266,126,176,76,300619269
455793827,KCab-s_R,,KCab-s,Traced,575,252,227,119,156,81,322219018
456121649,KCab-s_R,,KCab-s,Traced,555,221,200,113,163,68,309280336
456134692,KCab-s_R,,KCab-s,Traced,644,234,257,121,181,72,298223764
456458549,KCab-s_R,,KCab-s,Traced,580,235,237,116,164,84,347471525
456462835,KCab-p_R,,KCab-p,Traced,646,277,206,104,212,100,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,255,115,192,82,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,167,96,172,76,332313427
456808311,KCab-s_R,,KCab-s,Traced,513,211,189,113,160,71,286533135
456820863,KCab-m_R,,KCab-m,Traced,525,175,165,75,136,48,277933606
457507485,KCab-s_R,,KCab-s,Traced,582,229,240,106,145,61,293388420
476545134,KCab-m_R,,KCab-m,Traced,564,185,202,77,135,58,295647038
477262101,KCab-c_R,,KCab-c,Traced,405,148,148,63,107,32,235537019
477861840,KCab-p_R,,KCab-p,Traced,723,243,182,84,289,91,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,632,209,2,2,555872978
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,41,17,3,4,404232661
