id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,bL(R) #post,bL(R) #pre,#voxels
693927941,ALIN1_R,,ALIN1,Traced,1553,406,22,22,138,37,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,12,2,256,59,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,11,,624,125,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,3,,291,108,357006298
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,11,6,4,1,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,11,3,157,56,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,24,3,849,182,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,13,4,191,55,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,143,32,107,36,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,14,7,134,35,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,9,1,1055,205,486729507
923787513,FB4K_L,CRESMPFB4_3,FB4K,Traced,1756,470,1,,5,1,1395825196
984453829,,,,Traced,659,689,12,1,,1,584836699
1016805008,KCab-p_R,,KCab-p,Traced,703,242,1,,228,80,378892564
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,10,,1616,276,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,11,4,9,4,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,22,5,220,79,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,7,3,451,131,430816435
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,17,4,17,4,551823489
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,18,2,953,186,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,4,1,155,42,135784276
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,17,4,133,41,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,17,5,9,2,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,331,60,8,2,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,4,1243,291,720192159
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,20,1,458,92,258964557
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,9,4,1273,219,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,23,5,695,173,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,8,1,847,155,408798680
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,317,30,4,1,324421746
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,360,58,17,2,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,11,2,1307,236,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,13,1,1230,239,444720536
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,6,,8,2,320100027
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,15,3,52,9,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,44,10,241,53,239327987
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,21,7,176,42,145351462
1293516024,KCa'B'_L?,,,Traced,261,110,187,78,4,1,93745473
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,9,,67,16,225739136
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,298,60,7,2,317425488
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,8,1,1015,286,472380184
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,19,2,955,290,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,12,3,765,239,355086914
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,13,3,109,36,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,40,14,107,35,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,2,1,183,65,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,48,28,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,10,1,828,157,383407340
5812979168,PAM06_b(B'2m)_L,,PAM06_b,Traced,1195,248,671,179,8,2,394753648
5812979693,KCa'B'_L?,,,Traced,375,122,305,92,1,2,107809791
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,4,1,142,53,431109241
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,14,3,257,61,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,10,3,1,1,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,33,18,105,32,151824685
5812996052,,,,Traced,609,368,11,13,102,36,688274394
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,3,3,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,806,4,7725,12,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,3,5,5,1,3288021127
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,679,63,8,1,281021176
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,12,3,329,94,547363626
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,174,77,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,18,2,648,118,324522133
