id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(R) #post,gL(R) #pre,#voxels
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,165,21,55,1,3621432113
5813063137,SMP577(PVL06)_L,,SMP577,Traced,1468,778,10,9,28,3,1253278210
5813068769,CRE004_R,,CRE004,Traced,4808,1432,749,161,53,1,4486456977
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,11,3,,1,1770276774
5813078641,PLP162_R,,PLP162,Traced,1080,417,1,5,14,3,1009190514
5813079192,LAL185_R,pIP11 candidates,LAL185,Traced,1799,639,1144,173,20,2,1111782721
5813083779,CRE022_R,,CRE022,Traced,8464,1155,85,78,370,3,2658194530
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,2,,361,104,444049069
5813105172,DPM_R,,DPM,Traced,77269,17628,1,,24376,5774,15191654896
5813105778,LAL100(AVM14)_L,,LAL100,Traced,971,815,66,62,25,4,799850664
5813117385,MBON27(y5d)_R,,MBON27,Traced,8021,668,175,14,4012,8,1674077310
5813123804,AOTU036_R,,AOTU036,Traced,353,1,39,,,1,508079298
5901193671,CRE080_R,pMP6b candidates,CRE080,Traced,1561,277,106,13,121,4,1200274635
5901213440,CRE011_R,,CRE011,Traced,19674,2149,1724,648,193,8,5844952800
5901225361,KCg-m_R,,KCg-m,Traced,757,235,1,1,455,183,318598209
